accession_id	language	author	title	title_en	year	pages	description	subject_narrow	subject_broad	origin	bio_chrono	category	location	condition	registrar	donation_no	acquisition_date	donor	notes	source_pages
G-B-1361	de	קלוגר רות		Weiter leben - Eine Jugend	1994	283		No Image		Deutsche Taschenbuch verlag		ביוגרפיות / שואה	ביוגרפיות K /		נילי דוידסון					2449
G-B-1362	de	כוכבי חוה	Kochavi Chava		1993	68		No Image		Institut für Geschichte der Juden in Österreich		ביוגרפיות / שואה	ביוגרפיות K /		נילי דוידסון	2003.258		חוה כוכבי )המחברת( ,קיבוץ דורות		2450
G-B-1363	de	קפר זיגפריד		Prager Ghetto Sagen	?	96		No Image		Jakob Brandeis ,Prag		פרוזה	פרוזה K /		נילי דוידסון					2451
G-B-1364	de	קלרמן ברנהרד		Ein Spaziergang in Japan	1920	272		No Image מהדורה 3		Paul Cassirer ,Berlin		פרוזה	פרוזה K /		נילי דוידסון					2452
G-B-1365	de	קפקא פרנץ		Gesammelte Schriften - Band II	1935	315		No Image		Schocken		פרוזה	פרוזה K /		נילי דוידסון					2453
G-B-1366	de	קפקא פרנץ		Gesammelte Schriften - Band III	1935	287		No Image		Schocken		פרוזה	פרוזב K /		נילי דוידסון					2454
G-B-1367	de	קפקא פרנץ		Gesammelte Schriften - Band V	1936 / 37	336		No Image		Schocken		פרוזה	פרוזה K /		נילי דוידסון					2455
G-B-1368	de	קפקא פרנץ		Eine Biographie	1937	287		No Image		Schocken		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2456
G-B-1369	de	קלטצקין יעקב		Probleme des modernen Judentums	1918	193		No Image		Jüdischer Verlag ,Berlin		מדעי היהדות	מדעי היהדות K /		נילי דוידסון					2457
G-B-1370	de	קליינקה פאול		Gobineau's Rassenphilosophie	1902	84	Dr. Kleinecke Paul	No Image		Hermann Walther Verlagsbuchhandlung		פילוסופיה	פילוסופיה K /		נילי דוידסון	2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן / ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2458
G-B-1371	de	קון הנס		Martin Buber sein Werk und seine Zeit	1929	411		No Image		Verlag von Jakob Hegner in Hellerau		פילוסופיה	פילוסופיה K /		נילי דוידסון				אקסליבריס:עזבון חנן הנדל 1887-1970 | Exlibris: Aus dem Nachlass von Chanan Hendel	2459
G-B-1372	de	קרלר דיטריך-היינריך		Jeneseits von Optimismus und Pessimismus	1914	80	Versuch einer deutung des Lebens aus den Tatsachen | einer impersonalistischen Ethik	No Image		Henrich Kerler Verlags-Konto ,Ulm		פילוסופיה	פילוסופיה K /		נילי דוידסון				אקסליבריס:עזבון חנן הנדל 1887-1970 | Exlibris: Aus dem Nachlass von Chanan Hendel	2460
G-B-1373	de	קינצלי ארנולד			1948	290	… dargestellt am Leben und Denken Kierkegaards	No Image מהדורה 3 - 1 :אלף		Rascher Verlag ,Zürich		פילוסופיה	פילוסופיה K /		נילי דוידסון				אקסליבריס:עזבון חנן הנדל 1887-1970 | Exlibris: Aus dem Nachlass von Chanan Hendel	2461
G-B-1374	de	קנטצנבך פרידריך וילהלם		Schleiermacher	1967	179		No Image		Rowohlt		פילוסופיה	פילוסופיה K /		נילי דוידסון				אקסליבריס:עזבון חנן הנדל 1887-1970 | Exlibris: Aus dem Nachlass von Chanan Hendel	2462
G-B-1375	de	קרמר הלמוט	Kramer Helmut		2000	40		No Image		WMIT Druck und Verlag		חברה / משפט	חברה K /		נילי דוידסון					2463
G-B-1376	de	קריגר מארן			?	146	צילומים מחיי ברלין בעבר	No Image		Berlin Museum ,Abteilung Jüdisches Museum		חברה / צילום	חברה K /		נילי דוידסון					2464
G-B-1377	de	היינה היינריך		Heinrich Heine in Jerusalem - Internationale Konferenz	2006	227	Hrsg.: Naomi Kaplansky & Elisheva Moatti | & Itta Shedletzky	No Image		Hoffmann und Campe		ביוגרפיות / פרוזה	ביוגרפיות H /		נילי דוידסון				הספר יצא לאור בעקבות כנס בינלאומי שנערך המשכנות שאננים בירושלים ב 2001-	2465
G-B-1378	de	תויטס ג'ון אנתוני		Ich hasse die moderne Kundt	1960	127	mit 27 ein - und mehrfarbigen Abbildungen	No Image		Ullstein Bücher		אמנות	אמנות T /		נילי דוידסון					2466
G-B-1379	de	קוטנר ברנהרד	Kuttner Bernhard		1920	72	ספר בעיקר לילדים	No Image		J .Kauffmann Verlag ,Frankfurt a .M		חינוך נוער וספורט	חינוך נוער וספורט K /		נילי דוידסון					2467
G-B-1380	de	קמינקא ארמנד גדעון		Schwieriges Israel - Erinnerungen 1935-1979	1980	195		No Image		Judaica Verlag ,Zürich		ביוגרפיות	ביוגרפיות K /		נילי דוידסון	2005.305		מיכל כצנלסון ,תל אביב		2468
G-B-1381	de	קשתי-קרוך יהודית	Kashti-Kroch Judith		1993	140		No Image		Sachsenbuch Verlag ,Leipzig		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2469
G-B-1382	de	קלקו מאשה	Kaleko Mascha		1978	78		No Image		Rowohlt Verlag		שירה	שירה K /		נילי דוידסון					2470
G-B-1383	de	קנובלוך היינץ		Herr Moses in Berlin	?	379	Ein Menschenfreund in Preussen - Das Leben des Moses | Mendelssohn	No Image		Das Arsenal in Berlin		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2471
G-B-1384	de	כץ ריכרד	Katz Richard		1930	238	הספר על האיים האינדונזיים עם תמונות ומפה	No Image		Im Ullstein Verlag ,Berlin		פרוזה	פרוזה K /		נילי דוידסון				אקסליבריס :מעיזבון לוטה ואריך ויטקובסקי ,כפר סבא | Exlibris: Aus dem Nachlass von Lotte und Erich Witkowsky	2472
G-B-1385	de	קלוגה מנפרד	Kluge Manfred		1981	94		No Image		Wilhelm Heyne Verlag ,München		פרוזה	פרוזה K /		נילי דוידסון				אקסליבריס :מעיזבון לוטה ואריך ויטקובסקי ,כפר סבא | Exlibris: Aus dem Nachlass von Lotte und Erich Witkowsky	2473
G-B-1386	de	קובלר פרנץ		Juden und Judentum in deutschen Briefen aus 3	1935	415	Hrsg.: Kobler Franz	No Image		Saturn Verlag ,Wien		היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון					2474
G-B-1387	de	קון הנס		Das Zwanzigste Jahrhundert	1950	254		No Image		Europa Verlag ,Zürich ,Wien ,Konstanz		היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון				אקסליבריס:עזבון חנן הנדל 1887-1970 | Exlibris: Aus dem Nachlass von Chanan Hendel	2475
G-B-1388	de	קלנבנץ הרמן		Sozial und Wirtschaftsgeschichte - Sefardim an der	1958	606		No Image		Franz Steiner Verlag ,Wiesbaden		היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון					2476
G-B-1389	de	קון הנס		Die Idee des Nationalismus	1962	573		No Image		S .Fischer Verlag		פוליטיקה	פוליטיקה K /		נילי דוידסון					2477
G-B-1390	de	קדה פרנץ		Versuchsarbeit in deutschen Landschulen	1932	281	Prof. Dr. Kade Franz	No Image		M .Diesterweg Verlag ,Frankfurt		חינוך נוער וספורט	חינוך נוער וספורט K /		נילי דוידסון					2478
G-B-1391	de	קיש גוידו	Kisch Guido		1963	441	Hrsg.: Kisch Guido	No Image		B .Mohr Verlag ,Tübingen		חינוך נוער וספורט	חינוך נוער וספורט K /		נילי דוידסון					2479
G-B-1392	de	קלטצל כ.צ.			1984	52		No Image		Verlag Verein Hamburgischer Geschichte		חינוך נוער וספורט	חינוך נוער וספורט K /		נילי דוידסון					2480
G-B-1393	de	קאופמן פריץ מרדכי	Kaufmann Fritz Mordechai		1920	100		No Image		Jüdischer Verlag ,Berlin		שירה	שירה K /		נילי דוידסון					2481
G-B-1394	de	קאהן בנימין	Kahn Benjamin		?	57		No Image		Art Institut Orell Füssli ,Zürich		דרמה	דרמה K /		נילי דוידסון					2482
G-B-1395	de	קירשהולטס הנס-דיטר		Cassela und die Weinbergs	1997	32	Hoffnung und Tragik einer jüdischen Industriellenfamilie	No Image		Frankfurter Sparkasse		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2483
G-B-1396	de	קרמר גרהרד		Salomon Heine in seiner Zeit	1968	22		No Image		Hans Christian Verlag ,Hamburg		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2484
G-B-1397	de	קון הנס	Kohn Hans		1962	72		No Image		J.C.B .Mohr Tübingen		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2485
G-B-1398	de	קהלברג יוסף ה.	Kahlberg Josef H.		2002	42		No Image		Fördernverein Haus des Lebens		ביוגרפיות	ביוגרפיות K /		נילי דוידסון					2486
G-B-1399	de	קיש אגון-ארווין		Paradies Amerika	1952	?		No Image		Verlag für Fremdsprachige Literatur ,Moskau		פרוזה	פרוזה K /		נילי דוידסון					2487
G-B-1400	de	קאופמן פריץ מרדכי	Kaufmann Fritz Mordechai		1919	31		No Image		Jüdischer Verlag ,Berlin		מדעי היהדות	מדעי היהדות K /		נילי דוידסון					2488
G-B-1401	de	קסטיין יוסף	Kastein Josef		1934	187		No Image		Palestine Publishing Company ,Jerusalem		היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2489
G-B-1402	de	קסטיין יוסף	Kastein Josef		1932	340		No Image		Rowohlt Verlag ,Berlin		ביוגרפיות	ביוגרפיות K /		נילי דוידסון )תוך קטלוג גדעון בוטש(				אקסליבריס :מעזבון לאו וארנה בלוך | Exlibris: Aus dem Nachlass von Leo und Erna Bloch	2490
G-B-1403	de	קסטיין יוסף		Wege und Irrwege - Drei Essays zur Kultur der	?	109		No Image		Edition Olympia ,Tel Aviv		פרוזה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2491
G-B-1404	de	קון ז.		Neue Ghettobilder	?	250		No Image		Albert Unflat Verlag ,Leipzig		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2536
G-B-1405	de	כץ אוטו	Katz Otto		1929	203		No Image		Universum-Bücherei für Alle ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2492
G-B-1406	de	כץ ריכרד		Begegnungen am Rio	1945	241		No Image		Eugen Rentsch Verlag ,Erlenbach-Zürich		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2493
G-B-1407	de	קייזר רודולף		Kant	1935	287		No Image		Phaidon Verlag ,Wien		ביוגרפיות	ביוגרפיות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(				"אקסליבריס :ד""ר מקס קרמר / ראה תמונה | בG.B.0980- | Exlibris : Dr. Max Cramer & Jenny geb. Hess"	2494
G-B-1408	de	קייזרלינג מ.		Moses Mendelssohn - sein Leben und sein Werk	1862	569		No Image		Hermann Mendelssohn Verlag ,Leipzig		פילוסופיה / ביוגרפיה	פילוסופיה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2495
G-B-1409	de	כצנלסון זיגמונד		Juden im deutschen Kulturbereich - Ein Sammelwerk	1959	1078	Hrsg.: Kaznelson Siegmund	No Image		Jüdischer Verlag ,Berlin	לא סומן בקטלוג כמצוי בספריה	היסטוריה יהודית	היסטוריה יהודית K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2496
G-B-1410	de	קלנר לאון	Kellner Leon		1914	67		No Image		Selbstverlag des Herausgeber ,Czernowitz		מדעי היהדות	מדעי היהדות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2497
G-B-1411	de	קלנר ויקטור	Kellner Victor		?	?		No Image		?	לא סומן בקטלוג כמצוי בספריה	חינוך נוער וספורט	חינוך נוער וספורט K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2498
G-B-1412	de	קמפנר רוברט		Edith Stein und Anne Frank - Zwei von Hunderttausend	1968	189	"die Enthüllungen über die NS-Verbrechen in Holand vor | dem Schwurgericht in München - Die Ermordung der | ""nichtarischen"" Mönche und Nonnen"	No Image		Herder Verlag I.Br .Freiburg		ביוגרפיות / שואה	ביוגרפיות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2499
G-B-1413	de	קר אלפרד		Caprichos - Strophen des Nebenstroms	1926	219		No Image		I.M .Spaeth Verlag ,Berlin		שירה	שירה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2500
G-B-1414	de	קר אלפרד	Kerr Alfred		1920	380		No Image		S.Fischer Verlag ,Berlin		פרוזה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2501
G-B-1415	de	קר אלפרד	Kerr Alfred		1920	392		No Image		S.Fischer Verlag ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2502
G-B-1416	de	קר אלפרד		O Spanien - Eine Reise	1924	141		No Image		S.Fischer Verlag ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2503
G-B-1417	de	קיי אלן		Rahel - Eine biographische Skizze	?	171		No Image		Edgar Tamm Verlag ,Halle a.S		ביוגרפיות	ביוגרפיות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2504
G-B-1418	de	קון הנס		Nationalismus und Imperialismus im vorderen Orient	1931	455		No Image		.Sicietäts-Verlag ,Frankfurt a.M		חברה	חברה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2535
G-B-1419	de	קירשהולטס הנס-דיטר	Kirchholtes Hans-Dieter		1969	79		No Image		W .Kramer Verlag ,Frankfurt a.M		קהילות	קהילות F /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2506
G-B-1420	de	קיש ברונו		Naturwissenschaft und Weltanschauung	1931	67	Festrede anlässlich des 25 järigen Bestehens des Vereins | für Natur- und Heimatkunde in Köln a. Rh.	No Image		Johannes Ambrosius Bsrth Verlag ,Leipzig		מדעי הטבע	מדעים K /		ילי דוידסון )תוך קטלוג גדעון בוטש((					2507
G-B-1421	de	קיש אגון-ארווין		Hetzjagd durch die Zeit	1926	359		No Image		Erich Reiss Verlag ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2508
G-B-1422	de	קיש אגון-ארווין		Marktplatz der Sensationen	1948	296		No Image		Aufbau Verlag ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2509
G-B-1423	de	קיש אגון-ארווין		Paradies Amerika	1930	347		No Image		Erich Riess Verlag ,Berlin		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2510
G-B-1424	de	קלאר אלפרד		Spinoza - Sein Leben und seine Lehre	1926	153		No Image		Ullstein Verlag ,Berlin		פילוסופיה / ביוגרפיה	פילוסופיה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2511
G-B-1425	de	קלאפק ריצ'		Die neue Synagoge in Essen a.d. Ruhr - Erbaut von	?	104	Architektur der 20Jahrhundert 13 Sonderheft	No Image		Ernst Wasmuth Verlag ,Berlin		קהילות	קהילות E /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2512
G-B-1426	de	קלר בנימין	Klar Benjamin		1936	240	Illustrierte Ausgabe	No Image		Josef Belf Verlag ,Wien		ביוגרפיות	ביוגרפיות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2513
G-B-1427	de	קלאוזנר יוסף	Klausner Joseph		1921	136		No Image		Jüdischer Verlag ,Berlin		היסטוריה יהודית	היסטוריה יהודית K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2514
G-B-1428	de	קלאוזנר מ.א.		Die Gedichte der Bibel in deutscher Sprache II	1904	306	Zweiter Teil: Der Psalter	No Image		Calvary Verlag ,Berlin		מדעי היהדות	מדעי היהדות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2515
G-B-1429	de	קלאוזנר מרגוט		Julius Klausner - Eine Biographie	1974	133		No Image		Klima Verlag ,Düsseldorf-Benrath	לא סומן בקטלוג כמצוי בספריה	ביוגרפיות	ביוגרפיות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2516
G-B-1430	de	קלאוזנר מרגוט		Sappho von Lesbos	1945	220		No Image		Alemann Verlag ,Buenos Aires		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2517
G-B-1431	de	קליין-הפרש יעקב	Klein-Haparash Jacob		1963	743		No Image		Büchergilde Gutenberg Verlag ,Frankfurt a.M. ,Wien	לא סומן בקטלוג כמצוי בספריה	פרוזה	פרוזה		ילי דוידסון )תוך קטלוג גדעון בוטש(					2518
G-B-1432	de	קלטצל כ.צ.		Indien in Schmelztiegel	1930	285		No Image		F.A .Brockhaus Verlag ,Leipzig		היסטוריה כללית	היסטוריה כללית K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2519
G-B-1433	de	קנאוס ארווין	Knauss Erwin		1974	152	Selbstverlag der Kommission für die Geschichte der | Juden in Hessen	No Image		ראה בתיאור היצירה		קהילות	קהילות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2520
G-B-1434	de	קנופף הרי	Knopf Harry		1961	85	.. Unter besonderer Berücksichtigung der 11 | Durchführungsverordnung	No Image		Lidor Verlag ,Jerusalem		מדעי המשפט	מדעים K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2521
G-B-1435	de	קנופף הרי	Knopf Harry		1966	116		No Image		Achduth Verlag ,Tel-Aviv		מדעי המשפט	מדעים K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2522
G-B-1436	de	קוסטלר ארתור		Ein spanisches Testament	1938	240		No Image		Europa Verlag ,Zürich		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2523
G-B-1437	de	קוסטלר ארתור		Sonnenfinsternis	1946	222		No Image		Hamish Hamilton Verlag ,London		פרוזה	פרוזה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2524
G-B-1438	de	קולר קאופמן		Grundriss einer systhematischen Theologie des	1910	383	grundriss der Gesamtwissenschaft des Judentuns 4 - | Gesellschaft zur Förderung der Wissenschaft des | Judentums	No Image		Gustav Fock Verlag ,Leipzig		מדעי היהדות	מדעי היהדות K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2526
G-B-1439	de	קון הנס		Der Nationalismus in der Sovjetunion	1932	150		No Image		Societäts-Verlag ,Frankfurt a.M		חברה	חברה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(				"אקסליבריס :מספרי ד""ר מאיר אלק | Exlibris: Aus den Büchern von Dr. Meir Elk"	2532
G-B-1440	de	קון הנס	Kohn Hans		1934	356		No Image		Schocken Verlag ,Berlin		חברה	חברה K /		ילי דוידסון )תוך קטלוג גדעון בוטש(					2533
G-B-1441	de	קויגן דוד		Das Haus Israel, aus den Schriften von David Koigen	1934	89		No Image		Schocken Verlag ,Berlin		שוקן	שוקן 8 /		מרים פולין )תוך קטלוג גדעון בוטש(					2538
G-B-1442	de	קומפרט לאופולד		Aus dem Ghetto	1887	298		No Image		K.F.Koehler Verlag ,Leipzig		פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2539
G-B-1443	de	קומפרט לאופולד		Franzi und Heini - Geschichten zweier Wiener Kinder	1887	308		No Image		K.F.Koehler Verlag		פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2540
G-B-1444	de	קומפרט לאופולד	Kompert Leopold		?	354		No Image		Hesse und Becker Verlag ,Leipzig		פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2541
G-B-1445	de	קורטנר פריץ		Aller Tage Abend	1959	570		No Image		Kindler Verlag ,München		ביוגרפיה	ביוגרפיה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2542
G-B-1446	de	קוטיק יחזקאל		Das Haus meiner Grosseltern	?	95		No Image		Schocken Verlag ,Berlin		שוקן	שוקן 64 /		מרים פולין )תוך קטלוג גדעון בוטש(					2543
G-B-1447	de	קרקאואר י.		Geschichte der Juden in Frankfurt a.M.(1150 - 1824) I	1925	453		No Image		.J.Kauffmann Verlag ,Frankfurt a.M		קהילות	קהילות F /		מרים פולין )תוך קטלוג גדעון בוטש(					2544
G-B-1448	de	קרקאואר י.		Geschichte der Juden in Frankfurt a M. 1150 - 1824 ) II	1927	553		No Image		.J.Kauffmann Verlag ,Frankfurt a.M		קהילות	קהילות F /		מרים פולין )תוך קטלוג גדעון בוטש(					2545
G-B-1449	de	קרהה			?	368		No Image		ohne Verlag	לא סומן בקטלוג במצוי בסםריה	היסטוריה יהודית	היסטוריה יהודית K /		מרים פולין )תוך קטלוג גדעון בוטש(					2546
G-B-1450	de	קרמר ולדמר		Frankfurt - Lexikon	1970	159	Hrsg.: Kramer Waldemar	No Image		.W.Kramer Verlag ,Frankfurt a.M		קהילות	קהילות F /		מרים פולין )תוך קטלוג גדעון בוטש(					2547
G-B-1451	de	קראוז קרל		Die letzten Tage der Menschheit	1922	792		No Image		Die Fackel Verlag ,Wien / Leipzig		דרמה	דרמה K /		מרים פולין )תוך קטלוג גדעון בוטש(				אקסליבריס:מעזבון אבא אורדובר | לספר  2 עותקים | Exslibris: Aus dem Nachlass von Abba Ordower	2548
G-B-1452	de	קראוז קרל		Die Sprache	1969	335		No Image		Deutscher Taschenbuch Verlag ,München		פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2549
G-B-1453	de	קראוז קרל	Kraus Karl		?	23		No Image		Die Fackel Verlag ,Wien / Leipzig		שירה	שירה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2550
G-B-1454	de	קרל מקס		Das alles gab es einmal	1965	220		No Image		Rowohlt Verlag ,)Reinbek b .Hamburg		פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2552
G-B-1455	de	קרויאנקר גוסטב		Juden in der deutschen Literatur	1922	359	Essays über zeitgenössische Schriftsteller | Hrsg.: Krojanker Gustav	No Image		Welt-Verlag,Berlin	לא סומן בקטלוג כמצוי בספריה	מחקרים בספרות	מחקרים בספרות K /		מרים פולין )תוך קטלוג גדעון בוטש(				לספר 2 עותקים	2553
G-B-1456	de	קרויאנקר גוסטב		Zum Problem des neuen deutschen Nationalismus	1932	43	Eine Zionistische Orientierung gegenüber den | nationalistischen Strömungen unserer Zeit	No Image		Jüdische Rundschau Verlag ,Berlin	לא סומן בקטלוג במצוי בספריה	ציונות	ציונות K /		מרים פולין )תוך קטלוג גדעון בוטש(					2554
G-B-1457	de	קרפט ורנר		Spiegelung der Jugend	1973	163		No Image		Suhrkamp Verlag ,Frankfurt a.M		פרוזה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2555
G-B-1458	de	קרון ר.		Le Petit Parisien	1903	192		No Image		J .Bielefeld Verlag ,Karlsruhe		מילונים	מילונים ולקסיקונים		נילי דוידסון )תוך קטלוג גדעון בוטש(					2556
G-B-1459	de	קרונברג מקס	Kronberg Max		1948	293		No Image		Deutsche Buchvertrieb und Verlaggesellschaft ,Berl	לא סומן בקטלוג במצוי בספריה	פרוזה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2557
G-B-1460	de	קרונר תאודור	Kroner Theodor		1899	16	Für Volksschulen und höhere Lehranstalten	No Image		J .Kauffmann Verlag ,Frankfurt a.M	לא סומן בקטלוג במצוי בספריה	קהילות	קהילות W /		ננילי דוידסון )תוך קטלוג גדעון בוטש(					2558
G-B-1461	de	קרונפלד ארתור		Psychotherapie	1924	260	Charakterlehre - Psychoanlyse - Psychagogik	\Dr. Arthur Sterney GB1574 אוסף אקסליבריס\backup\Tchelet_data\Rachel		Julius Springer Verlag ,Berlin		פסיכולוגיה	פסיכולוגיה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(				"אקסליבריס :ד""ר ארתור שטרני / אמנותי -רק טקסט | Exlibris: Dr. Arthur Sterny / künstlerich - nur Text"	2559
G-B-1462	de	קרופוטקין פטר	Kropotkin Peter		?	282	Die Ereignisse bis zu den septembertagen des Jahres | 1792	No Image		Theod .Thomas Verlag ,Leipzig		היסטוריה כללית / פוליטיקה	פוליטיקה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2560
G-B-1463	de	קופפרברג אלפרד	Kupferberg Alfred		1934	174	Palästinabericht eines jüdischen Journallisten	No Image		M .Lessmann Verlag ,Hamburg		ארץ ישראל	ארץ ישראל K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2561
G-B-1464	de	קורטציג היינריך		Ostdeutsche Judentum - Traditionen einer Familie				No Image		Eulitz Verlag ,Stolp		ביוגרפיות	ביוגרפיות K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2562
G-B-1465	de	מינץ ל.			1905	64		No Image		Verlag von A.J .Hofmann		מדעי היהדות	מדעי היהדות M /		נילי דוידסון	2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן / ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2674
G-B-1466	de	לובלינסקי סמואל		Die Entstehung des Judentums	1903	71	עם ציורים של ליליין	No Image		Jüdischer Verlag ,Berlin		מדעי היהדות	מדעי היהדות L /		נילי דוידסון )תוך קטלוג גדעון בוטש(				"אקסליבריס :ד""ר מקס יונגמן / ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2565
G-B-1467	de	לובה היינריך	Loewe Heinrich		1894	99	Dr. Loewe Heinrich	No Image		Verlag von Max Niemeyer ,Halle	לא סומן בקטלוג כמצוי בספריה	היסטוריה כללית	היסטוריה כללית L /		נילי דוידסון )תוך קטלוג גדעון בוטש(				"אקסליבריס :ד""ר מקס יונגמן / ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2566
G-B-1468	de	לובה היינריך	Loewe Heinrich		1929	18		No Image		Berlin	לא סומן בקטלוג כמצוי בספריה	פרוזה	פרוזה L /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2567
G-B-1469	de	ליכטהיים ריכרד		Revision der zionistische Politik	1930	64		No Image		Kommissionverlag Ewer-Buchhandlung ,Berlin		ציונות	ציונות L /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2568
G-B-1470	de	לוי ג'וזפה	Levi Giuseppe		1921	394	Gesammelt von Levi Giuseppe	No Image		R .Löwit Verlag , Wien &Leipzig	לא סומן בקטלוג כמצוי בספריה	פרוזה	פרוזה L /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2569
G-B-1471	de	קראוז קרל		Unsterblicher Witz	1961	341	Werke von Karl Kraus 9 Heinrich Fischer	No Image		Kösel Verlag ,München	לא סומן בקטלוג כמצוי בספריה	פרוזה	פרוזה K /		מרים פולין )תוך קטלוג גדעון בוטש(					2551
G-B-1472	de	לינקאוס )פופר( יוסף		Phantasieen eines Realisten	1909	237	לינקאוס שם העט של יוסף פופר | Lynkeus = Josef Popper	\Lynkeus GB1559.jpgאוסף אקסליבריס\:\backup\Tchelet_data\Rachel		Verlag von Carl Reissner , Dresden &Leipzig	לא סומן בקטלוג כמצוי בספריה	פרוזה	פרוזה L /		נילי דוידסון )תוך קטלוג גדעון בוטש(				אקסליבריס :ככל הנראה של לינקאוס )יוסף פופר ,השם האמיתי( / אמנותי) .אמן לא מזוהה( | ראה תמונה. | Exlibris: Wahscheinlich von Lynkeus / künstelich. Künstler unbekannt. Siehe Bild.	2570
G-B-1473	de	לושה פטר		Vor dem Vergessen bewahren	1988	408	Lösche Peter & Scholing Michael & Walter Fraz	No Image		Colloquium Verlag ,Berlin		חברה / פוליטיקה	חברה L /		נילי דוידסון )תוך קטלוג גדעון בוטש(				אקסליבריס :חוה אופויזר -ניקולאי | Exlibris: Chava Aufhäuser - Nikolai	2571
