accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0188	G.F.0188	לשניטצר אדולף	Leschnitzer Adolf										No Image										2003.239		אורן חנה ,תל אביב	הסכם תרומה נחתם ב 04.04.2013-	1026
G-F-0189	G.F.0189	פרוינד איזמר	Freund Ismar										No Image														1027
G-F-0190	G.F.0190	פיליפ	Philip										No Image										2003.238		עדנה הדס ,יסוד המעלה		1028
G-F-0191	G.F.0191	פרנקל & שוונק											No Image														1029
G-F-0192	G.F.0192	האזה הוגו	Haase Hugo	פירסומים / ספרים				מקור ,העתק	Original, Copy	"גב' מירה סובר היא נכדתו של הוגו האזה. | קטגוריות: | .1 ביוגרפיות | .2 תולדות משפחה | .3 פוליטיקה *הרפובליקה הויימארית בגרמניה | .4 מלח""ע I"			No Image	שני ספרים בגרמנית שמתייחסים לחייו ופועלו של הוגו					נרשם ב 01.05.2012-		נילי דוידסון		אוסף שילוני & 2012.734		אוסף שילוני & מירה סובר ,הנכדה ,מעיין צבי	קשרי משפחה :ראה תיק G.F.0370 | גרטרוד דרזל לבית האזה ,בתו של הוגו האזה ,אמה של המפקידה ,מירה סובר.	1030,1031
G-F-0193	G.F.0193	פלץ דוד	Pelz David										No Image														1032
G-F-0194	G.F.0194	בלוך אריך	Bloch Erich										No Image														1033
G-F-0195	G.F.0195	קינן שלמה											No Image														1034
G-F-0196	G.F.0196	פלנטר מטה											No Image										2003.253		אסנת מור	ראה קרבה משפחתית לתיק G.F.0294	1035
G-F-0197	G.F.0197	עופר-ויטקובסקי	Ofer-Wittkowsky										No Image										2003.257		רות עופר ,הרצליה		1036
G-F-0198	G.F.0198	שצמן-המבורגר	Schatzmann-Hamburger										No Image										2003.260		מיכל שצמן ,הבת ,בנימינה	הסכם תרומה נחתם ב 14.04.2013-	1037
G-F-0199	G.F.0199	שטרן מקס	Stern Max										No Image										2003.236		בתיה אקרמן ,ק .ביאליק		1038
G-F-0200	G.F.0200	פויכטוונגר	Feuchtwanger										No Image														1039
G-F-0201	G.F.0201	וולך משה	Wallach Moses										No Image													"ד""ר משה וולך -רופא"	1040
G-F-0202-1	G.F. 0202 / 1	זליגמן ולי	Seligmann Wally	מזוודה עם מסמכים		מזוודה עם מסמכים		מקור	Original	ולי ,חנה ,זליגמן לבית גרזון ילידת ,1913 אחותם של | מרטין ומנפרד גרזון .בנה גרשון זליגמן מסר את העיזבון | למוזיאון .בין היתר סיפר שאמו הגיע ב 1939-לארץ עם | גיטרה ,אקורדיון ופטיפון .הבן לא דובר גרמנית ,לא ידע | על המסמכים האישיים של אמו אלא לאחר מותה .לדבריו | גילה באמצעותם דברים שאמו לא ספרה אף פעם. | מתוך העיזבון למד לדעת שאמו היתה מאוהבת | בצעירותה ,בארץ ,בגדליה קורניצר שעברת את שמו | לנהוראיי .גדליה ,עלה לארץ מבלגיה כפי הנראה כבר | בתחילת שנות ה 30-למאה ה .20-גרדון זליגמן מספר | שגדליה סבל מהתקפים אפילפטים והרופא אסר עליו | להתחתן ,הוא שם קץ לחייו. | הבן ,גרשון ,מצא בבית אמו אחרי מותה ,בין היתר ,מזודה | קטנה עם מכתבים ותמונות וכו' .עם המזודה הזאת הגיעה | ולי מגרמניה .כל המזודה על תכולתה נמסרה למוזיאון. | קטגוריות: | .1 הנצחה | .2 תמונות | .3 שירה | .4 חגים | .5 מדעים | .6 שואה *מכתב הצלב האדום			No Image	תכולת המזודה:					29.09.2003	1 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 6874217-08	התרגום העברי לשם Wallyכתוב בשני אופנים :ולי ,ואלי -מתיחס תמיד לאותה האישה דהיינו שהעיזבון הוא שלה. | הסכם תרומה נחתם ב 09.04.2013-	249,250,251
G-F-0202-10	G.F. 0202 / 10	זליגמן ולי	Seligmann Wally	קלרה גרונולד				העתק ,הדפסה ,תרגום לעברית	Copy, Printing, Translation to Hebrew	קטגוריות: | .1 התכתבות | .2 פירסומים | .3 תמונות | .4 שואה | .5 הנצחה | .6 הכשרה			No Image	"-חוברת ""מכתבי קלרה 2) ""1941-1944 עותקים(."					08.12.2003	10 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	חיים היינץ גירון )גיא-רון( Chaim Heinz Geron - | הוא אחיה של קלרה גרונולד  -שמו מופיע לעיתים במסמכי העיזבון.	276,277
G-F-0202-11	G.F. 0202 / 11	זליגמן ולי	Seligmann Wally	נהוראי גדליה	Nehorai Gedalia			מקור ,העתק	Original, Copy	נהוראי גדליה Nahorai Gedaliaנולד כגדליה קורניצר | Kornitzerבאנטוורפן ,בלגיה .גדליה עלה לפלשתינה | בראשית שנות ה 30-למאה ה .20-ככל שידוע מדווחיו של | התורם,גרשון זליגמן בנה של ולי ,היה רומן בין גדליה לבין | ולי ,חנה גרזון .הסיפור הזה מקבל חיזוקים מהחומר | בעזבון .גדליה סבל כפי הנראה מהתקפים אפילפטים , | לא יכול היה להשלים עם הנכות הזאת ושם קץ לחייו. | קטגוריות: | .1 עליה | .2 התישבות | .3 התכתבות | .4 תמונות | .5 משפחה			The file: {T:\backup\Tchelet_data\Rachel\G.F.0202 11.JPG} is missing	-פנקס ללימודי כימיה וחקלאות של גדליה קורניצר מ-					09.12.2003	11 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217		278,279
G-F-0202-12	G.F. 0202 / 12	זליגמן ולי	Seligmann Wally	מכתבים שכותב ארנסט זליגמן לולי ,חנה גרזון				מקור	Original	"ארנסט זליגמן Ernst Seligmannיליד 1910 בקרלסרואה, | נשלח ב 1940-למחנה ריכוז בצרפת ,שוחרר ב ,1944-עלה | לפלשתינה לגבעת ברנר .התגייס לצבא הבריטי ושרת | במצרים. | קטגוריות: | .1 התכתבות | .2 צבא | .3 מלח""ע II | .4 מנהגים | .5 מעטפות דואר"			No Image	-המכתבים נכתבו אל ולי בגרמנית בתקופה :מאי - 1945					09.12.2003	12 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	ארנסט זליגמן בעלה של ולי גרזון.	280,281
G-F-0202-13	G.F. 0202 / 13	זליגמן ולי	Seligmann Wally			מכתבים ועוד		מקור ,הדפסה	Original, Printing	"קטגוריות: | .1 התכתבות | .2 מחנות מעצר | .3 מלח""ע II | .4 מנהגים | .5 שירה | .6 מסחר"			No Image	-גלויה ומכתב אל ולי מאת קורט פישר Kurt Fischer					09.12.2003	13 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217		282,283
G-F-0202-14	G.F. 0202 / 14	זליגמן ולי	Seligmann Wally			מכתבים							No Image							14 מתוך 14							284
G-F-0202-2	G.F. 0202 / 2	זליגמן ולי	Seligmann Wally	ספרי לימוד		ספר		מקור	Original	"ספר בגרמנית לימוד ענף הפירות. | קטגוריות: | .1 חקלאות | Die Praris des Obstbaues / Muth-Junge / 1937 / Verlag | Paul Parey in Berlin / 12 Band des ""Pareys Handbücher | ""des praktischen Gartenbaues"			The file: {T:\backup\Tchelet_data\Rachel\G.F.0202 2.JPG} is missing	בספר הקדשה משנת 1937 של מרטין גרזון אל אחותו					29.10.2003	2 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	הספר רשום גם בקטלוג הספרייה של המוזיאון	252,253
G-F-0202-3	G.F. 0202 / 3	זליגמן ולי	Seligmann Wally	ספרי לימוד		חוברת 2 + ספרים 2				:קטגוריות | חקלאות.1 | מדעי הרוח.2 | מדעים.3 | 1. Lehrbuch der Botanik / Prof. Dr. Otto Schmeil / 1908 / | Verlag von Erwin Nägele Leipzig | 2. Citrusfrüchte / J.D. Oppenheim / 1932 / Deutscher | Auslandverlag Walter Bangert Leipzig / mit eine | Widmung von Martin Gerson | 3. Humanismus und Technik - Zeitschrift zur Erforschung | und Pflege der Menschlichkeit. | 4.Anorganiesche Chemie			The file: {T:\backup\Tchelet_data\Rachel\GF0202 3.JPG} is missing	בוטניקה+ שני ספרי לימוד בגרמנית בנושא הדרים					29.10.2003	3 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	הספרים רשומים גם בקטלוג הספריה.	254,255
G-F-0202-4	G.F. 0202 / 4	זליגמן ולי	Seligmann Wally	אנטרופוזופיה	Anthroposophie	2 ספרים 2 +מאמרים		מקור ,העתק	Original, Copy	"-שני ספרים בגרמנית בנושא אנטרופוזופיה. | -קטלוג קטן בגרמנית על ה""גתאנום"" בדורנך שוייץ. | -צילום מאמר באנגלית על אנטרופוזופיה בישראל. | 1. Die Aufgabe der Geisteswissenschaft und deren Bau in | Dornach / Dr. Rudolf Steiner / 1921 / Philosophisch- | Anthroposophischer Verlag Berlin | 2. Die Anthroposophie Rudolf Steiners - Ein Hinweis / Dr. | Otto Fränkel-Lundborg / 1957 / Philosophisch- | Anthroposophischer Verlag am Goetheanum Dornach | Schweiz."			No Image	בתוך ספרי האנטרופוזופיה רשומים השמות ולי זליגמן					29.10.2003	4 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	הספרים רשומים גם בקטלוג הספריה.	256,257
G-F-0202-5	G.F. 0202 / 5	זליגמן ולי	Seligmann Wally	מנוסקריפט הספר של מנפרד ,משה גרזון				העתק ,הדפסה	Copy, Printing	"285 דפים של המנוסקריפט לספר שכתב מנפרד ,משה | גרזון )אחיה של ולי( בגרמנית עם הכותרת: | "" חיים במאה ה""20- | קטגוריות: | .1 תולדות משפחה | .2 אדריכלות נוף | .3 חינוך | .4 חקלאות | .5 ציונות | .6 הכשרה | .7 הרייך השלישי | .8 פלסטינה | .9 התיישבות | .10 מלח""ע II | .11 צבא | .12 הגירה | Manuskript: | Ein Leben in 20 Jahrhundert - ein Zeitdokument - von | ""Ben Adam"" / Manfred Mosche Gerson"			No Image	"הפרקים במנוסקריפט )מופרדים ע""י נייר בצבע תכלת(:"					29.10.2003	5 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	הספר יצא ב 2001-לאור בגרמניה .הספר נמצא בספריית המוזיאון.	258,259
G-F-0202-6	G.F. 0202 / 6	זליגמן ולי	Seligmann Wally	אחוזת נויינדורף	Gut Neuendorf			מקור ,העתק ,הדפסה ,תרגום לעברית	Original, Copy, Translation to Hebrew	צילום של הדפסה בגרמנית בנושא: | המחנה היהודי לההכשרה חקלאית באחוזת נויינדורף | .1939-1943 ראה ממול פרוט הפרקים בגרמנית. | קטגוריות: | .1 חינוך | .2 חקלאות | .3 נוער | .4 ציונות | .5 אנטישמיות | .6 הנצחה | .7 הרייך השלישי | .8 התיישבות | 1. Das jüdische landwirtschaftliche Umschulungslager | Gut Neuendorf 1939-1943 | 2. Das Landgut Neuendorf als eine Heimstätte für die | vom Naziregime verfolgten jüdische Bürger. | Zur Geschichte der jüdischen Pädagogin Clara Grunwald | und ihrer Kinder im Gut Neuendorf. | 4. Der deutsche Melkermeister Erich Martin - Freund der | Juden - und sein tragisches Schicksal.			No Image	-החומר צולם מתוך חוברת זיכרון לאנשי נויינדורף מ 9-					17.11.2003	6 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217		268,269
G-F-0202-7	G.F. 0202 / 7	זליגמן ולי	Seligmann Wally	פרסומים שכתב אדולף גרזון				מקור ,העתק	Original, Copy	"אדולף גרזון אביה של ולי זליגמן כתב בין היתר )ראה | עיזבון מנפרד גרזון( את תרגום: | .1 חילופי דורות והפרדה מינית -מחקר על התנהגותם | החברתית של חרקים .1928 | .2 כאב ופחד ב.1917- | .3 החכם קוהלת ב.1905- | .4 אברהם אגדה פוליטית ב.1908- | .5 הנצחה לשונית מהעבר הגרמני )+סריקה של | החומר(.1920 | .6 העתק יומן שכתב אדולף גרזון בעת שרותו הצבאי | במלח""ע  1914-1915 בגרמנית  +תרגום לעברית. | 1. Eine Veröffentlichung von Adolf Gerson aus dem Jahr | 1928. | ""Generationswechsel und Geschlechtennung"". | 2. Journal für Psychologie und Neurologie / | Schmerz und Schreck von Adolf Gerson / 1917 | 3. Der Chacham Kohelet als Phillosoph und Politiker von | Adolf Gerson / 1905 | 4. Abraham eine politische Legende von Adolf Gerson / | 1908. | 5. Zeitschrift für Sexualwissenchaft / Sprachdenkmale | aus deutscher Vorzeit von Adolf Gerson / 1920"			No Image					פרסומים	30.11.2003	7 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	חלק מהחומרים בתיק זה נמצאים גם בתיק מנפרד משה גרזון.	270,271
G-F-0202-8	G.F. 0202 / 8	זליגמן ולי	Seligmann Wally	תולדות משפחת גרזון	Familie Gerson			העתק ,הדפסה	Copy, Printing	"תולדות משפחת גרזון בגרמנית. | ""Familie Gerson"" Aufzeichnungen aus Gesprächen mit | Wally Channah Seligmann geb. Gerson, Kibbuz Givat | Brenner, 2000, bei Fr. Silke Schaeper."			No Image	-זילקה שפר Silke Schaeperראיינה את ולי זליגמן לבית				תולדות משפחה	30.11.2003	8 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	2 -עותקים של תולדות משפחת גרזון. | -החומר נמצא גם על דיסקט בתיק הזה.	272,273
G-F-0202-9	G.F. 0202 / 9	זליגמן ולי	Seligmann Wally	מרטין גרזון	Martin Gerson, clara Grunwald								The file: {T:\backup\Tchelet_data\Rachel\GF0202 9.JPG} is missing	-רשימה עם שמות הנרצחים בשואה ממשפחת גרזון.					דצמבר 2003	כרטיס 9 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	חיים היינץ גירון )גיא-רון( Chaim Heinz Geron - | הוא אחיה של קלרה גרונולד  -שמו מופיע לעיתים במסמכי העיזבון.	274,275
G-F-0203	G.F.0203	שוקן אלכסנדר וולפגנג	Schocken Alexander Wolfgang										No Image										2003.266		איילה סחרוב ,הרצלה		1041
G-F-0204	G.F.0204	גויטיין שלמה דב	Goitein Shlomo Dov										No Image										2003.267		אלון גויטיין ,הרצליה		1042
G-F-0205	G.F.0205	רוזנברג & פלדהיים											No Image										2003.238		חוה וכטל ,חמדיה		1043
G-F-0206	G.F.0206	וילנר פריץ	Wilner Fritz										No Image										2003.271		מרים חוזק ,תל מונד -פרוטאה בכפר	הסכם תרומה נחתם ב 03.04.2013-	1044
G-F-0207-1	G.F. 0207 / 1	רודנברג ,ליטן	Rudenberg, Litan	מכתבים גלויות				מקור	Original	"רודנברג פרידריך ,טייס יהודי גרמני ,נלחם במלח""ע .I | שולח מכתבים וגלויות משדה הקרב אל משפחתו ,בעיקר | אל אחיו ריינהולד בברלין. | גברת אלישבע ליטן בתו של פרידריך רודנברג השאילה | לזמן ארוך את המכתבים למוזיאון. | גב' ליטן תרגמה את מכתבי אביה לעיברית וערכה אותם | לספר שיצא לאור ב .2003-בספריית המוזיאון נמצא עותק | של הספר. | קטגוריות: | .1 צבא | .2 מלח""ע I | .3 קהילה | 2003"			No Image	המכתבים נכתבו בשנים .1915-1918 מתארים את				התכתבות	12.11.2003	1 מתוך 3	נילי דוידסון		2007.472 & 2003.272		אלישבע ליטן ,רח' נורדאו ,26 נהריה	לבקשתה קבלה גב' ליטן חומר סרוק של כל המכתבים. | הסכם תרומה נחתם ב 05.04.2013-	260,261
G-F-0207-2	G.F. 0207 / 2	רודנברג ,ליטן	Rudenberg, Litan	חוברת באנגלית				העתק	Copy	"צילומים של דפי חוברת באנגלית על החייל-טייס פרידריך | רודנברג. | קטגוריות: | .1 צבא | .2 מלח""ע I | .3 קהילה"			No Image	מתוך חוברת בנושאי צבא וחילות שיוצאת בבריטניה,				פרסום	12.11.2003	2 מתוך 3	נילי דוידסון		2003.229		אלישבע ליטן ,רח' נורדאו ,נהריה		262,263
G-F-0207-3	G.F. 0207 / 3	רודנברג ,ליטן	Rudenberg, Litan	חוברת				מקור	Original	"חוברת להנצחת זכרו של גילי ליטן ,בנם של אלישבע ואיזי | ליטן שנהרג במלחמת יום כיפור. | החוברת נערכה ע""י האם ,אלישבע ליטן 20 ,שנה אחרי | נפילתו של הבן גילי. | קטגוריות: | .1 הנצחה | .2 התיישבות | .3 משפחה | .4 חינוך | .5 צבא"			No Image	חוברת מרגשת להנצחת זכרו של גילי ליטן שנהרג				הנצחה	12.11.2003	3 מתוך 3	נילי דוידסון		2003.272		אלישבע ליטן ,רח' נורדאו ,26 נהריה		264,265
G-F-0207-4	G.F. 0207 / 4	רודנברג ,ליטן	Rudenberg, Litan	אלבום / ספר מתכונים מהמחצית השניה למאה ה 19-				מקור	Original	"הספר בהוצאה מכובדת ויפיפיה ,כל עמוד לבן ממוסגר | במסגרת אדומה .כל מספר דפים ריקים/כתובים יש עמוד | מאויר ציורים בצבע ועליו משפט ""חכמת חיים"" כל שהי. | קטגוריות: | .1 המאה ה 19- | .2 מנהגים | .3 משפחה"			No Image	-ספר לרישום מתכונים שקבלה אמה שטוקהיים Emma					נרשם ב 16.12.2009-		נילי דוידסון		2009.593		אלישבע ליטן ,רח' נורדאו ,26 נהריה	הספר קיבל חשיפה תקשורתית בינואר ,2011 ראה קטע מעיתון מעריב מיום 06.01.2011 צורף לתיק .כמו כן ראה כתבה ביקינתון מס 243 .עמ' כד' )(24	6259,6260
G-F-0208	G.F.0208	נוסבאום פליקס	Nussbaum Felix										No Image														1045
G-F-0209	G.F.0209	פיין & מיכאלזון											No Image										2003.278		נורית גלילי ,חיפה	המפקידה מצאה במקרה את החומרים -איל לה קשר משפחתי או אחר לבעלי העיזבון.	1046
G-F-0210	G.F.0210	ערן מרדכי	Eran Mordechai										No Image														1047
G-F-0211	G.F.0211	גולן )גוטשלק( אפרים	Golan (Gottschalk) Ephraim										No Image														1048
G-F-0212	G.F.0212	אדלר איזידור	Adler Isidor										No Image														1049
G-F-0213	G.F.0213	רייס	Reiss										No Image														1050
G-F-0214-1	G.F. 0214 / 1	פולין מרים & אושי		זיכרונות				מקור ,העתק	Original, Copy	קטגוריות: | .1 משפחה | .2 ילדים | .3 נוער | .4 כתיבה אישית *לאירוסין | .5 הגירה | .6 הרייך השלישי | .7 העפלה			No Image	-ספר זיכרונות של מרים פולין מ 1938-					נרשם ב 13.06.2010 & 10.06-	כרטיס 1 מתוך	נילי דוידסון		2010.611		מרים פולין ,כפר ורדים	הסכם תרומה נחתם ב 07.04.2013-	1051,1052
G-F-0214-2	G.F. 0214 / 2	פולין מרים & אושי		מכתבים				מקור	Original	"תיאה קורצברט Thea Kurzbartלימים מרים פולין היגרה | בסוף  1938 לשבדיה. | אחותה סוזי היגרה ,לפני תיאה ,ב 1938-לארה""ב | אחיה הנס )מיכה( היה בהכשרה במוסד אהבה בברלין | בהיותו בן  ,15 באותה שנה ב 1936-עלה לארץ ,למוסד | אהבה בקרית ביאליק .שרת בצבא הבריטי במלה""ע .II | האב ג'ורג' קורץ),1894-1976 ,קיצר באנגליה את שמו | מקורצברט( היגר ב 1939-עם רעייתו השניה מרתה -1908 | 1998 לבית מנזור  .Mensorב 1945-נולד בנם פרנק 1946 . | היגרו לארה""ב ואחרי התאקלמות לא קלה של שנתיים, | התנהלו חייהם על מי מנוחות. | אמו ,מרי )סבתה של מרים( עלתה לארץ עם בתה ,זלמה, | ובעלה של הבת הוגו .היא גרה אצלם בפרדס חנה עד סוף | ימיה. | 1893-1945         האם הגרושה ,אלזה לבית טיכאואר | Else Tichauerנולדה באופלן  , Oppelnאמם של תיאה | סוזי והנס ,נרצחה בריגה. | המכתבים הם הקשר היחיד בין שלושת האחים :תיאה | )מרים( סוזי והנס ) מיכה( . | תיאה/מרים פגשה שוב את אחיה הנס בפלשתינה ב- | .1948 את האחות סוזי אחרי  20 שנה ב 1958-בארה""ב. | קטגוריות: | .1 התכתבות | .2 מלה""ע II | .3 צבא *הבריגדה היהודית | .4 הגירה *סוזי מתאקלמת בארה""ב | .5 משפחה *איחוי המשפחה באמצעות המכתבים"			No Image	סוזי כותבת מניו-יורק אל אחותה תיאה )מרים( בשבדיה:					נרשם ב 16.06.2010-		נילי דוידסון		2010.631		מרים פולין ,כפר ורדים		6627,6628,6629
G-F-0214-3	G.F. 0214 / 3	פולין מרים & אושי		מסמכים משפחות קורצברט & יוספזון				העתק	Copy	"הסבים של מרים פולין לבית קורצברט מצד האב ,גאורג | קורצברט ,יעקב קורצברט 1857-1929 ,ומרי לבית | יוספזון .1861-1949 ,הסבתא מרי הגיעה לפלשתינה וחיה | בפרדס חנה. | קטגוריות: | .1 תעודות אישיות | .2 המאה ה 19- | .3 מלה""ע * Iצלב הברזל לגאורג קורצברט | .4 תמונות | .5 הגירה *אנגליה ,ארה""ב | .6 משפחה"			No Image	-צילום ,תעודת נישואין של הסוחר יעקב קורצברט					נרשם ב 12.08.2010-	כרטיס 3 מתוך	נילי דוידסון		2010.639		מרים פולין ,כפר ורדים		6759,6760,6761
G-F-0214-4	G.F. 0214 / 4	פולין מרים & אושי		מכתבים ומסמכים משפחת פני & אסתר & אושי &				מקור	Original	האחים אושי ,דב פולין והאחות הבכורה אסתר לימים | מאייר )רעיתו של אנדריאס מאייר( ילדיה של פני Fanny | פולין .הבת אסתר מבעלה הראשון )גרמני( ,שני הבנים | מבעלה השני ,פולין. | דב פולין נהרג במלחמת העצמאות .בעת נפילתו היה | בהליכי גירושין מרעיתו זהבה. | קטגוריות: | .1 משפחה | .2 צבא | .3 התיישבות | .4 פלשתינה			No Image	אוסף מכתבים כרוכים ,מעשה ידי האם פני ,ששלח					נרשם ב 17.02.2011 & 29.08.2010-	כרטיס 4 מתוך	נילי דוידסון		2010.639		מרים פולין ,כפר ורדים	"-מכתבה )גרמנית( של אסתר פולין בפלשתינה אל אחיה אושי בשבדיה ,08.03.1943 ,פותח )בתרגום לעברית( את המאמר של נילי דוידסון ""היסטוריה של סיפורים אישיים"" בספר | המוזיאון."	6764,6765,6766
G-F-0214-5	G.F. 0214 / 5	פולין מרים & אושי		מכתבים לאוה ורבורג				העתק	Copy	"ב 1998 / 9-לרגל יום הולדתה ה 86 / 7-של אוה ורבורג | )ילידת  ,(1912 התארגנו ""הנערים והנערות"" ,שניצלו | בזכותה ,וערכו לה אוסף מכתבים ותמונות .האוסף חולק | בין ""הניצולים"" ,מרים פולין הפקידה את זה שלה במוזיאון. | קטגוריות: | .1 ילדים | .2 מלה""ע II | .3 שואה | .4 ציונות | .5 חינוך | .6 הכשרה"			No Image	המכתבים כתובים בגרמנית ובעברית ,חלקם בכתב יד					נרשם ב 29.08.2010-	כרטיס 5 מתוך	נילי דוידסון		2010.639		מרים פולין ,כפר ורדים	ראה חומרים נוספים בתיקי ארכיון ,G.F.0103 משפחת ורבורג )בנקאים(.	6770,6771
G-F-0214-6	G.F. 0214 / 6	פולין מרים & אושי		מכתבים אל תאה קורצברט לימים מרים פולין				מקור	Original	קטגוריות: | .1 התכתבות | .2 פלשתינה | .3 ארץ ישראל | .4 עליה			No Image	מכתבים מתל אביב אל תאה קורצברט ,לימים מרים פולין,					נרשם ב 19.02.2011 & 17.02.2011-		נילי דוידסון		2010.639		מרים פולין ,כפר ורדים		6936,6937
G-F-0214-7	G.F. 0214 / 7	פולין מרים & אושי		מכתבים אל תאה / מרים מאת אביה גאורג / ג'ורג' ורעייתו				מקור	Original	"גאורג / ג'ורג' קורצברט הצליח בסוף 1939 להגר עם רעייתו | השנהי מרתה ,לאנגליה .הוא שומר על קשר מכתבים | הדוק עם ילדיו :תיאה/מרים בשבדיה ,סוזי בארה""ב | והנס/מיכה בפלשתינה. | הוא מתעניין מאד ,מעביר מידע מהאחד לשני ,רוצה לאחד | שוב את המשפחה באנגליה .ב 1945-נולד לו ולמרתה בן | באנגליה ,פרנק. | אמו של גאורג חיה בפרדס חנה בפלשתינה."			No Image	-גלויות שגאורג קורצברט שולח מהמבורג לבתו					נרשם ב 23.02.2011-		נילי דוידסון		2010.639		מרים פולין ,כפר ורדים		6939,6940
G-F-0214-8	G.F. 0214 / 8	פולין מרים & אושי		מכתבים מהאם ,אלזה ,אל הבת ,תאה / מרים				העתק	Copy	"המכתבים המקוריים שמורים במוזיאון היהודי בשטוקהולם. | אחרי שנים רבות אספה מרים כוחות נפשיים ובקשה | מהמוזיאון לשלוח לה צילומים של המכתבים .אחרי 70 | שנה קראה מרים את המכתבים מחדש ,התמודדות רגשית | לא קלה .מרים קראה את המכתבים וסכמה אותם בכתב | ידה ,בגרמנית .את העבודה עשתה בארכיון המוזיאון. | אנחנו ,צוות המוזיאון ,היינו שותפות לתהליך המרגש | והעצוב הזה. | אלזה קורצברט לבית טיכאואר ,אמה של מרים וגרושה | מאביה של מרים ,נשלחה בטרנספורט בנובמבר ,1941 | נספתה במחנה השמדה במינסק. | קטגוריות: | .1 משפחה | .2 קהילה | .3 הרייך השלישי | .4 מלח""ע II | .5 שואה | .6 הגירה"			No Image	"המכתבים והגלויות נשלחו ע""י אלזה ,בהמבורג ,אל בתה"					נרשם ב 04.07.2011-		נילי דוידסון		2010.639		מרים פולין ,כפר ורדים		7005,7006,7007
G-F-0215	G.F.0215	פיטריך יעקב											No Image														1053
G-F-0216	G.F.0216	אלקן רות	Elkan Ruth										No Image														1054
G-F-0217	G.F.0217	סלומון סימון	Salomon Simon										No Image														1055
G-F-0218	G.F.0218	זוננפלד לוי											No Image														1056
G-F-0219-1	G.F. 0219 / 1	אולמן & קאופמן & בר & פינאס		התכתבות				מקור ,הדפסה	Original, Printing	"מכתבים ומסמכים מעזבון משפחת אולמן וקאופמן, | שנשתמרו אצל הצאצאים ,משפחת בר  Baerהמכתבים | מהמחצית הראשונה למאה ה .19-מהמכתבים ניתן ללמוד | בין היתר על החייל היהודי בצבא הגרמני .ע""י קיפול הדף | הכתוב נוצרה מגב המכתב המעטפת שנחתמה בשעווה. | יצחק אולמן ורעייתו רגינה לבית קאופמן היו הסבים של | ארנו ורולף )אחים( בר. | קטגוריות: | .1 המאה ה 19- | .2 צבא | .3 קהילה"			No Image	עמוד עם הסברים לחומר המופקד ולאילן היוחסין של					נרשם ב 12.07.2009-	כרטיס 1 מתוך 2	נילי דוידסון		2009.566		ארנו בר ,הבן / הנכד ,כפר נטף	"להפקדה מ 2004-לא ניתן מספר ולא נכתב מכתב תודה "" -פיספוס"" שקרה בתקופת העיצוב החדש של המוזיאון. | הסכם תרומה נחתם ב 16.04.2013-"	1057,1058
G-F-0219-2	G.F. 0219 / 2	אולמן & קאופמן & בר & פינאס		תעודות אישיות של וילהלם בר ורעייתו סופי לבית פינאס				מקור ,העתק	Original, Copy	וילהלם וסופי בר ,הוריו של ארנו ורולף בר. | קטגוריות: | .1 תעודות אישיות			No Image	2 -אישורים משטרתיים להעתקת המגורים מקלן למילנו,					נרשם ב 12.07.2009-	כרטיס 2 מתוך 2	נילי דוידסון		2009.566		ארנו בר ,הבן / הנכד ,כפר נטף	הסברים לאילן המשפחתי ראה כתיבה של ארנו בר בתיק G.F. 0219 / 1	5982,5983
G-F-0220	G.F.0220	הירשברג & אפרתי											No Image														1059
G-F-0221	G.F.0221	מזור גד & מוזס יוליוס											No Image													גד מזור הנכד של יוליוס מוזס	1060
G-F-0222	G.F.0222	שטרן רודי	Stern Rudi										No Image														1061
G-F-0223	G.F.0223	דוד חנן & אלישבע											No Image										2004.281		נורית עידו ,קיבוץ יחיעם	הסכם תרומה חתום 8.7.04 ,	1062
