accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0104-5	G.F. 0104 / 5	קלוורי הדסה & משה & גדעון		מכתבי הדסה אל אחיה נתן אחותה רבקה				מקור	Original	"את מכתביה אל נתן אחיה היא מסיימת בחתימת שמה, | שמותיה ,שאינם תמיד אותם השמות ,כך מופעים השמותף | אסתר ,אלה ,הדסה. | מרבית המכתבים נכתבים במלח""ע  Iכאשר נתן,האח, | משרת כחיל בצבא הגרמני. | קטגוריות: | .1 התכתבות | .2 צבא | .3 מלח""ע I | .4 אנטישמיות *בצבא הגרמני *ברחובות ברלין | .5 ציונות *הדסה מתייחסת לעשיה ולאי עשייה | .6 נוער"			No Image	מכתבים אל האח נתן:					נרשם ב 27.11.2011-	כרטיס 5 מתוך 16	נילי דוידסון		2011.692 & 2001.134		גדעון קלוורי ב 2001-ותומר & רותי קלוורי ,הבן של גדעון,		7091,7092,7093,7094
G-F-0104-6	G.F. 0104 / 6	קלוורי הדסה & משה & גדעון		ארגון הנשים היהודיות למען עבודות תרבות בפלשתינה,				מקור ,העתק	Original, Copy	"חילופי מכתבים בין הדסה קלוורי לבין נציגות ארגון | הנשים היהודיות למען עבודות תרבות בפלשתינה בין | השנים  .1914-1920 מהמכתבים ניתן ללמוד על המצוקה | הקשה ששררה בבתי הספר לתחרה ובתי המלאכה | לתחרה בפלשתינה .הדסה מנסה לגייס עזרה ,מציעה | הצעות ומעבירה ביקורת .מצד הארגון יודעים שדבריה | נכונים אך אין בידם להושיע. | קטגוריות: | .1 התכתבות | .2 מלח""ע I | .3 פלשתינה  /ארץ ישראל | .4 תעשיה *בתי מלאכה לתחרה | .5 מסחר *מכירת תחרות בחו""ל | .6 חינוך *בתי ספר לתחרה | .7 חברה *תנאי מחייה קשים בפלשתינה | .8 ארגונים *הנשים היהודיות למען עבודות תרבות | בפלשתינה. | .9 ציונות *הדסה שולחת יהודים לארץ"			No Image	-מכתב אל הדסה מאת גב' מנון הופיין Hoofien Manon					נרשם ב 11.03.2012 & 04.12.2011-	כרטיס 6 מתוך 16	נילי דוידסון		2011.692 & 2001.134		גדעון קלוורי ב 2001-ותומר & רותי קלוורי ,הבן של גדעון,		7118,7119,7120,7121,7122
G-F-0104-7	G.F. 0104 / 7	קלוורי הדסה & משה & גדעון		מכתבים אל הדסה 1907-1923				מקור	Original	"קטגוריות: | .1 התכתבות | .2 מלח""ע I | .3 הכשרה *אנה לוין לומדת רפתנות | .4 נוער *נערות יהודיות בגרמניה ,מכתבי ג'ני. | .5 קהילות/מנהגים *מכתבי ג'ני"			No Image	-שלושה מכתבים אל הדסה מאת ג'ני Jennyחיה בכפר					נרשם ב 06.03.2012 & 11.12.2011-	כרטיס 7 מתוך 16	נילי דוידסון		2011.692 & 2001.134		גדעון קלוורי ב 2001-ותומר & רותי קלוורי ,הבן של גדעון,		7133,7134,7135,7136
G-F-0108	G.F.0108	אוסף מסמכים	Sammelarium	כל מיני מסמכים בודדים						"קטגוריות: | .1 תעודות אישיות | .2 מלח""ע I | .3 שירה | .4 הנצחה | .5 חינוך | .6 הגירה | .7 כתיבה אישית | .8 פלשתינה | .9 הרייך השלישי | .10 מנהגים | .11 אנטישמיות | .12 קהילה | .13 ארץ ישראל *תלוש אוכל למעמד בינוני"			No Image	1928 .1 תעודת הוקרה לרופא Julius Nussbaumחתומה					נרשם ב 09.05.2006-	כרטיס 1 מתוך 1	נילי דוידסון					"מסמך מס 11 .מוצג בתצוגת המוזיאון בשולחן ""ההגירה""."	2901,2902,2903
G-F-0109	G.F.0109	קליפרי & לנדסברג											No Image														939
G-F-0137	G.F.0137	וולפסון נתן	Wolffsohn Nathan										No Image													"ד""ר נתן וולפסון | Dr. Nathan Wolffsohn"	968
G-F-0142-1	G.F. 0142 / 1	יעקבוביץ' לאו ונלי & מקס זומרפלד						מקור ,העתק ,הדפסה	Original, Copy, Printing	"ד""ר לאו יעקבוביץ' עלה לארץ ישראל בשנת 1935 רעיתו | נלי לבית זומרפלד והבת דינה עלו ב .1936-המשפחה | התישבה בתל-אביב שם טיפל הרופא באליטה התל- | אביבית ,היה לו שם חיבה ""יקו""  .Jacoנלי שהיתה | פסנתרנית ,למדה מוזיקה בביה""ס הגבוהה למוזיקה | במינכן ,נגנה לפני חיילים אנגלים ומאוחר יותר לחיילים | ישראלים בכל רחבי הארץ .פרטים ביוגרפים נוספים  -ראה | בתיק ארכיון. | קטגוריות: | .1 כתיבה אישית | .2 התכתבות | .3 תעודות אישיות"			No Image	"-סיכום בעברית )נכתב ע""י תמר זגר( לדמותה של נלי"					נרשם ביוני 2005	כרטיס 1 מתוך 2	נילי דוידסון		2005.357		דינה כרמי ,גבעת חיים איחוד	הסכם תרומה נחתם ב 9.3.2013-	974,975,976
G-F-0145-2	G.F. 0145 / 2	ארליך לילי לואיזה & יוליוס		צילום תרגום לעברית של העבודה בתיק G.F. 0145 / 1				העתק	Copy	לפרטים ראה תיק G.F. 0145 / 1 | קטגוריות: | .1 ביוגרפיה | .2 ילדים | .3 חינוך | .4 נוער | .5 עליה | .6 התיישבות | .7 הכשרה | .8 מנהגים | .9 תולדות משפחה | .10 הרייך השלישי | .11 אנטישמיות			No Image	תוכן זהה כמו בתיק / כרטיס G.F. 0145 / 1					נרשם ב 24.10.2012-	כרטיס 2 מתוך 3	נילי דוידסון		2002.182		פרץ ,הבן ,ורחל ארליך ,תל עדשים		7324,7325
G-F-0151	G.F.0151	דיטרסדורף לודויג	Dietersdorf Ludwig	"עבודת שורשים ,נכתב ע""י הנכדה."						דיטרסדורף ריצ'רד לודוויג אליעזר ,1919-2002 ,אילן | יוחסין של משפחתו שמתחיל במאה ה 17-וקורות חייו. | '			No Image	שנים ,1919-2002 אילן יוחסין שמתחיל במאה ה ,17-שם									2002.194		שולי גלייכמן ,הבת ,מעלות		988
G-F-0153	G.F.0153	קלנבך הרמן	Kallenbach Hermann										No Image														990
G-F-0162	G.F.0162	אלטרתום מרטין	Alterthum Martin										No Image														999
G-F-0172	G.F.0172	פרי & מרכוזה לורה											No Image														1013
G-F-0173	G.F.0173	שרייבר סוניה	Schreiber Sonja										No Image														1014
G-F-0174	G.F.0174	בר עמנואל	Baer Emanuel										No Image														1015
G-F-0175	G.F.0175	לוינסון תאה	Levinsohn Thea										No Image														1016
G-F-0176	G.F.0176	שונשטדט											No Image														1017
G-F-0177	G.F.0177	פייזר	Peiser										No Image														1018
G-F-0178	G.F.0178	בלום יוליוס & ארנה											No Image														1019
G-F-0179	G.F.0179	אונא ברורית	Unna Clair										No Image														1020
G-F-0181	G.F.0181	ברנהיים אלפרד	Bernheim Alfred										No Image														1022
G-F-0182	G.F.0182	שרון עדי	Sharon Adi										No Image														1023
G-F-0189	G.F.0189	פרוינד איזמר	Freund Ismar										No Image														1027
G-F-0191	G.F.0191	פרנקל & שוונק											No Image														1029
G-F-0193	G.F.0193	פלץ דוד	Pelz David										No Image														1032
G-F-0194	G.F.0194	בלוך אריך	Bloch Erich										No Image														1033
G-F-0195	G.F.0195	קינן שלמה											No Image														1034
G-F-0197	G.F.0197	עופר-ויטקובסקי	Ofer-Wittkowsky										No Image										2003.257		רות עופר ,הרצליה		1036
G-F-0199	G.F.0199	שטרן מקס	Stern Max										No Image										2003.236		בתיה אקרמן ,ק .ביאליק		1038
G-F-0200	G.F.0200	פויכטוונגר	Feuchtwanger										No Image														1039
G-F-0201	G.F.0201	וולך משה	Wallach Moses										No Image													"ד""ר משה וולך -רופא"	1040
G-F-0202-5	G.F. 0202 / 5	זליגמן ולי	Seligmann Wally	מנוסקריפט הספר של מנפרד ,משה גרזון				העתק ,הדפסה	Copy, Printing	"285 דפים של המנוסקריפט לספר שכתב מנפרד ,משה | גרזון )אחיה של ולי( בגרמנית עם הכותרת: | "" חיים במאה ה""20- | קטגוריות: | .1 תולדות משפחה | .2 אדריכלות נוף | .3 חינוך | .4 חקלאות | .5 ציונות | .6 הכשרה | .7 הרייך השלישי | .8 פלסטינה | .9 התיישבות | .10 מלח""ע II | .11 צבא | .12 הגירה | Manuskript: | Ein Leben in 20 Jahrhundert - ein Zeitdokument - von | ""Ben Adam"" / Manfred Mosche Gerson"			No Image	"הפרקים במנוסקריפט )מופרדים ע""י נייר בצבע תכלת(:"					29.10.2003	5 מתוך 14	נילי דוידסון		2003.265		גרשון זליגמן ,קיבוץ בית גוברין 4217	הספר יצא ב 2001-לאור בגרמניה .הספר נמצא בספריית המוזיאון.	258,259
G-F-0203	G.F.0203	שוקן אלכסנדר וולפגנג	Schocken Alexander Wolfgang										No Image										2003.266		איילה סחרוב ,הרצלה		1041
G-F-0204	G.F.0204	גויטיין שלמה דב	Goitein Shlomo Dov										No Image										2003.267		אלון גויטיין ,הרצליה		1042
G-F-0205	G.F.0205	רוזנברג & פלדהיים											No Image										2003.238		חוה וכטל ,חמדיה		1043
G-F-0206	G.F.0206	וילנר פריץ	Wilner Fritz										No Image										2003.271		מרים חוזק ,תל מונד -פרוטאה בכפר	הסכם תרומה נחתם ב 03.04.2013-	1044
G-F-0208	G.F.0208	נוסבאום פליקס	Nussbaum Felix										No Image														1045
G-F-0209	G.F.0209	פיין & מיכאלזון											No Image										2003.278		נורית גלילי ,חיפה	המפקידה מצאה במקרה את החומרים -איל לה קשר משפחתי או אחר לבעלי העיזבון.	1046
G-F-0211	G.F.0211	גולן )גוטשלק( אפרים	Golan (Gottschalk) Ephraim										No Image														1048
G-F-0212	G.F.0212	אדלר איזידור	Adler Isidor										No Image														1049
G-F-0213	G.F.0213	רייס	Reiss										No Image														1050
G-F-0214-2	G.F. 0214 / 2	פולין מרים & אושי		מכתבים				מקור	Original	"תיאה קורצברט Thea Kurzbartלימים מרים פולין היגרה | בסוף  1938 לשבדיה. | אחותה סוזי היגרה ,לפני תיאה ,ב 1938-לארה""ב | אחיה הנס )מיכה( היה בהכשרה במוסד אהבה בברלין | בהיותו בן  ,15 באותה שנה ב 1936-עלה לארץ ,למוסד | אהבה בקרית ביאליק .שרת בצבא הבריטי במלה""ע .II | האב ג'ורג' קורץ),1894-1976 ,קיצר באנגליה את שמו | מקורצברט( היגר ב 1939-עם רעייתו השניה מרתה -1908 | 1998 לבית מנזור  .Mensorב 1945-נולד בנם פרנק 1946 . | היגרו לארה""ב ואחרי התאקלמות לא קלה של שנתיים, | התנהלו חייהם על מי מנוחות. | אמו ,מרי )סבתה של מרים( עלתה לארץ עם בתה ,זלמה, | ובעלה של הבת הוגו .היא גרה אצלם בפרדס חנה עד סוף | ימיה. | 1893-1945         האם הגרושה ,אלזה לבית טיכאואר | Else Tichauerנולדה באופלן  , Oppelnאמם של תיאה | סוזי והנס ,נרצחה בריגה. | המכתבים הם הקשר היחיד בין שלושת האחים :תיאה | )מרים( סוזי והנס ) מיכה( . | תיאה/מרים פגשה שוב את אחיה הנס בפלשתינה ב- | .1948 את האחות סוזי אחרי  20 שנה ב 1958-בארה""ב. | קטגוריות: | .1 התכתבות | .2 מלה""ע II | .3 צבא *הבריגדה היהודית | .4 הגירה *סוזי מתאקלמת בארה""ב | .5 משפחה *איחוי המשפחה באמצעות המכתבים"			No Image	סוזי כותבת מניו-יורק אל אחותה תיאה )מרים( בשבדיה:					נרשם ב 16.06.2010-		נילי דוידסון		2010.631		מרים פולין ,כפר ורדים		6627,6628,6629
G-F-0214-5	G.F. 0214 / 5	פולין מרים & אושי		מכתבים לאוה ורבורג				העתק	Copy	"ב 1998 / 9-לרגל יום הולדתה ה 86 / 7-של אוה ורבורג | )ילידת  ,(1912 התארגנו ""הנערים והנערות"" ,שניצלו | בזכותה ,וערכו לה אוסף מכתבים ותמונות .האוסף חולק | בין ""הניצולים"" ,מרים פולין הפקידה את זה שלה במוזיאון. | קטגוריות: | .1 ילדים | .2 מלה""ע II | .3 שואה | .4 ציונות | .5 חינוך | .6 הכשרה"			No Image	המכתבים כתובים בגרמנית ובעברית ,חלקם בכתב יד					נרשם ב 29.08.2010-	כרטיס 5 מתוך	נילי דוידסון		2010.639		מרים פולין ,כפר ורדים	ראה חומרים נוספים בתיקי ארכיון ,G.F.0103 משפחת ורבורג )בנקאים(.	6770,6771
G-F-0215	G.F.0215	פיטריך יעקב											No Image														1053
G-F-0216	G.F.0216	אלקן רות	Elkan Ruth										No Image														1054
G-F-0217	G.F.0217	סלומון סימון	Salomon Simon										No Image														1055
G-F-0218	G.F.0218	זוננפלד לוי											No Image														1056
G-F-0220	G.F.0220	הירשברג & אפרתי											No Image														1059
G-F-0221	G.F.0221	מזור גד & מוזס יוליוס											No Image													גד מזור הנכד של יוליוס מוזס	1060
G-F-0222	G.F.0222	שטרן רודי	Stern Rudi										No Image														1061
G-F-0224-1	G.F. 0224 / 1	ויינהאוזן פאול & קתה		התכתבות בתקופת הרייך השלישי אירופה / פלשתינה				מקור ,העתק	Original, Copy	"המפקידה ,חוה שפירא לבית ויינהאוזן. | ההורים :פאול ויינהאוזן וקתה לבית פרידלנדר. | פאול  ,1915-2000 נולד ברטינגן .Ratingen | הוריו של פאול :יוסף ויינהאוזן & הלנה לבית לוי .יוסף | ויינהאוזן נהרג במלח""ע .I | קתה לבית פרידלנדר  ,1916-2003 נולדה בעיר טייצין )אז | קולוניה גרמנית( ,סין .אביה של קתה ,מיכאל פרידלנדר, | היה פקיד אצל סוחר בטייצין .האמא של קתה ,עמליה | Amalieלבית וולף .Wolf | פאול וקתה הכירו בהכשרה בנויינדורף ב ,1937-נישאו ב- | .1938 | עלו לארץ בינואר  1939 עם חוה ,תינוקת בת חצי שנה. | התיישבו בקיבוץ משמר היום ,ששינה שמו לקיבוץ אפק .ב- | 1960 עברה המשפחה לקרית מוצקין. | סלי פרידלנדר ,אחיו של מיכאל פרידלנדר ,רעייתו מרי- | לואיזה ,פריס. | אגתה ,אחותם של מיכאל וסלי פרידלנדר ובעלה פריץ, | בפלשתינה. | קטגוריות: | .1 התכתבות | .2 הרייך השלישי | .3 אנטישמיות | .4 הגירה *יהודים גרמנים חיים ומתפרנסים בסין. | .5 משפחה *משפ .פרידלנדר פזורה על  3 יבשות | .6 פלשתינה | .7 התיישבות"		והקשיים הכרוכים בכך .גרמנית הדפסה וכתב יד	No Image	-תמונה ממוסגרת עם דיוקן של קתה פרידלנדר Käthe					נרשם ב 19.11.2012 & 15.11.2012-	כרטיס 1 מתוך 2	נילי דוידסון		2004.283		חוה שפירא ,הבת ,קרית אונו	תמונת הדיוקן של קתה בת ה 12-הוצאה מהארכיון ונמסרה לחוה שפירא אישית ,ביום ה' ,22.11.2012 על פי בקשתה. | הסכם תרומה חתום מיום 22.11.2012	1063,1064,1065
G-F-0225	G.F.0225	רוזנפלד יעקב	Rosenfeld Jakob										No Image													"ד""ר יעקב רוזנפלד"	1066
G-F-0227	G.F.0227	בן-חורין יהודה											No Image														1069
G-F-0228	G.F.0228	המרשמידט דגוברט דניאל	Hammerschmidt Dagobert Daniel										No Image														1070
G-F-0229	G.F.0229	בירם ארתור	Biram Arthur										No Image														1071
G-F-0230	G.F.0230	אלסברג פאול	Alsberg Paul										No Image													פרופ' פאול אלסברג | חומרים ארכיוניים נוספים שמורים: | .1 בגנזך המדינה | .2 בבית הספרים הלאומי ,ירושלים.	1072
G-F-0231	G.F.0231	פרידלנדר שאול											No Image										2004.297		עליזה פרידלנדר ,להבות הבשן		1073
G-F-0233	G.F.0233	צ'צ'קס א.	Czackes A.										No Image										2004.298		שלום גינת ,קיבוץ כברי	"בן משפחתו של ש""י עגנון"	1076
G-F-0234	G.F.0234	סמבורסקי דניאל & שמואל											No Image														1077
G-F-0235	G.F.0235	לייזרוביץ יוסף	Leiserowitsch Josef										No Image														1078
G-F-0237	G.F.0237	רפאל סטפן	Refael Stefan										No Image														1081
G-F-0238	G.F.0238	גרינבאום הנס											No Image													"ד""ר הנס גרינבאום"	1082
G-F-0241	G.F.0241	יעקובסון גרהרד	Jacobsohn Gerhard										No Image														1085
G-F-0242	G.F.0242			בולים שהוצאו מתצוגת המוזיאון									No Image														1086
G-F-0243	G.F.0243	ליפמן זאב	Lippmann Zeev										No Image														1087
G-F-0244	G.F.0244	לוי & עמנואל											No Image										2005.362 + 2005.312		יאיר עמנואל ,כפר ורדים & יגאל עמנואל ,כרכור	הסכם תרומה נחתם ב 15.03.2013-	1088
G-F-0246	G.F.0246	שינדלר & קלברג											No Image														1090
G-F-0249	G.F.0249	זיגמנד אסתר	Sygmand Esther										No Image														1093
G-F-0250-1	G.F. 0250 / 1	קוריין מקס	Kurrein Max	ספר אורחים				מקור ,העתק	Original, Copy	"פרופ' ד""ר מקס קורריין , Max Kurrein1878-1967 יליד | לינץ ,אוסטריה .עלה לארץ ב .1934-היה מומחה | לתחמושת וכלי נשק )מידע שמסרה בתו ,אינה דימון. | קטגוריות: | .1 חברה | .2 הנצחה | .3 משפחה | .4 תעשייה | .5 חינוך | .6 תמונות"			No Image	-ספר אורחים גדול מימדים ,שמקס קוריין קיבל ב.1930-					נרשם ב 30.07.2012-	כרטיס 1 מתוך 5	נילי דוידסון		2012.747		אינה דימון ,הבת ,פסגת אחוזה ,חיפה	מרבית העיזבון נמסר למכון לאו בק בניו יורק	1094,1095
G-F-0253	G.F.0253	יעקבי רוחמה & שלמה								שלמה יעקבי תרגם את ספר הילדים שאמו הקריאה לו | מגרמנית לעברית.			No Image	הספר תורגם מגרמנית לעברית תוך שימוש בציורים					נרשם ב 18.06.2012-		נילי דוידסון		2005.322		שלמה יעקבי ,חיפה	הספר מוצג בתערוכת החינוך מ.2009-	1098
G-F-0260	G.F.0260	וולף אני אביבה	Wolff Anni Aviva										No Image														1106
G-F-0265	G.F.0265	הירש פאול / קאן לאופולדו	Hirsch Paul / Kahn Leopoldo										No Image										2005.342		Kahn Leopoldo ,San Diego		1336
G-F-0267-16	G.F. 0267 / 16	ליליין אפרים משה & ליליין אוטו		מכתבים אל הלנה ליליין				מקור	Original	קטגוריות: | .1 התכתבות			No Image	אוסף מכתבים שכותב הבן ,אוטו ליליין ,אל אמו ,הלנה				התכתבות		כרטיס 16 מתוך 24	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1853
G-F-0267-17	G.F. 0267 / 17	ליליין אפרים משה & ליליין אוטו		מכתבים אל הלנה ליליין				מקור	Original	מכתבים כרוכים לפי שנות ההתכתבות -ראה בנושא | מורחב. | קטגוריות: | .1 התכתבות			No Image	אוספי מכתבים ,שכותב הבן ,אוטו ליליין ,אל אמו ,הלנה				התכתבות		כרטיס 17 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1854,1855
G-F-0267-18	G.F. 0267 / 18	ליליין אפרים משה & ליליין אוטו		מכתבים אל הלנה ליליין				מקור	Original	מכתבים כרוכים לפי שנות ההתכתבות -ראה בנושא | מורחב. | קטגוריות: | .1 התכתבות			No Image	אוספי מכתבים ,שכותב הבן ,אוטו ליליין ,אל אמו ,הלנה				התכתבות		כרטיס 18 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1856,1857
G-F-0267-20	G.F. 0267 / 20	ליליין אפרים משה & ליליין אוטו		מכתבים ,מסמכים אותיותA-J :				מקור ,העתק	Original, Copy	אוסף מכתבים ומסמכים מתויקים לפי האלף / בית הלועזי - | הרב התכתבות של אוטו ליליין בנושא אביו ויצירתו.			No Image	בתוך התיק ישנה חלוקה משנית ממספר 1 עד מספר 37						כרטיס 20 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1775,1776,1777,1778,1779
G-F-0267-21	G.F. 0267 / 21	ליליין אפרים משה & ליליין אוטו		מכתבים ,מסמכים אותיותK-Z :						אוסף מכתבים ומסמכים מתויקים לפי האלף / בית הלועזי . | הרוב התכתבות של אוטו ליליין בנושא אביו ויצירתו.		ספרון של א.מ .ליליין בנושא איורים בספרים	No Image	בתוך התיק ישנה חלוקה משנית ממספר 1 עד מספר 25					נרשם דצמבר / ינואר 2005 / 2006	21 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1860,1861,1862,1863,1864,1865,1866,1867,1868
G-F-0267-23	G.F. 0267 / 23	ליליין אפרים משה & ליליין אוטו		מסמכים על האמן א.מ .ליליין ויצירתו				מקור ,העתק	Original, Copy	החומר מחולק בתיק במספרים מ 1-עד 4 | קטגוריות: | .1 אמנות | .2 פרסומים | .3 פרוזה			No Image	1				אמנות	נרשם ב 25.06.2006-	כרטיס 23 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים	"החומר נמסר לארכיון כשהוא מתויק בתוך קלסרים עם מתכת ,חלקו ""מעובד""בסיכות מהדק ובניירות דבק .נעשה ככל שאפשר כדי לשמרו בצורה נאותה יותר ,לכן הועבר לתיקים עם | החזקת פלסטיק כדי לעצור את תהליך החלודה."	3064,3065,3066,3067
G-F-0267-24	G.F. 0267 / 24	ליליין אפרים משה & ליליין אוטו		מסמכים על האמן א.מ .ליליין ויצירתו				מקור ,העתק	Original, Copy	החומר מחולק בתיק במספרים מ 1-עד 34 | התכנים מתוך העיתון  Ost und Westמלווים ביצירותיו של | א.מ .ליליין. | קטגוריות: | .1 פרסומים | .2 התכתבות | .3 אמנות  /ציור | .4 חינוך | .5 ציונות | .6 הסטוריה יהודית | .7 הנצחה | .8 תולדות משפחה | .9 ביוגרפיה			No Image	.1 צילום של העיתון West und Ostעם מאמר ,1901 ,של					סיום רישום ב 13.07.2006-	כרטיס 24 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים	"בסוף התיק שמורות הטיוטות הממוספרות | מ 1-עד  34 של מיון החומר שנעשה ונכתב ע""י תמר זגר. | החומר נמסר לארכיון כשהוא מתויק בתוך קלסרים עם מתכת ,חלקו ""מעובד""בסיכות מהדק ובניירות דבק .נעשה ככל שאפשר כדי לשמרו בצורה נאותה יותר ,לכן הועבר לתיקים עם | החזקת פלסטיק כדי לעצור את תהליך החלודה."	3169,3170,3171,3172,3173
G-F-0267-7	G.F. 0267 / 7	ליליין אפרים משה & ליליין אוטו		מסמכים שונים ותמונות				מקור ,הדפסה	Original, Printing	"קטגוריות: | -תמונות | -תעודות אישיות | -שירה | -כתיבה אישית | -מלח""ע I | -ספורט | -מנהגים | -קהילה"			No Image	-כתיבה אישית ושירה נכתב בסוף המאה ה ,19-לא ידוע						כרטיס 7 מתוך 25	נילי דוידסון		2005.343 נחתם הסכם תרומה		ליליין-קיפניס חנה ,כפר ורדים		1467,1468,1469,1470
G-F-0269	G.F.0269	יפתח-אל אסתר	Iphtach-El Esther	קטלוג				העתק ,הדפסה	Copy, Printing	גב' אסתר יפתח אל אספה חומר על יקים ותרומתם | בישראל .ערכה רשימה שמית ,מא' עד ת' ,של יקים בארץ | ישראל אשר נשאו את תרומתם לחברה ולמדינה ,תוך ציון | מקצועם ,מישור עשייתם ,ארץ/עיר הולדתם ברשימתה היא | ציינה גם את כל אלה שקבלו את פרס ישראל.			No Image						נרשם ב 10.04.2013-		נילי דוידסון		2005.346		אסתר יפתח-אל ,מצובה	הסכם תרומה נחתם ב 8.3.2013- | מסמכים מעיזבון משפחתה  -ראה תיק G.F.0236	1474
G-F-0276-10	G.F. 0276 / 10	שופלר היינריך צבי & שרה		"פעילות תרבותית ""ארגון יוצאי קלן וריינלנד"""				מקור ,העתק	Original, Copy	חוזרים של ארגון יוצאי קלן וריינלנד ,חיפה ,שנשלחו | לחברי הארגון .החוזרים מהשנים 1969-2001 :			No Image	בחוזרים יש מידע על הפעילות התרבותית-חברתית של				פעילות תרבותית	נרשם ב 24.01.2006-	כרטיס 10 מתוך 23	נילי דוידסון		2005.363		רבקה ארזי-שופלר ,חיפה		2046,2047
G-F-0276-12	G.F. 0276 / 12	שופלר היינריך צבי & שרה		עיתונים				מקור	Original	דפים וקטעים מתוך עיתונות בשפה הגרמנית מהשנים | 1970-2001			No Image					פרסומים	נרשם ב 24.01.2006-	כרטיס 12 מתוך 23	נילי דוידסון		2005.363		רבקה ארזי-שופלר ,חיפה		2050
G-F-0276-21	G.F. 0276 / 21	שופלר היינריך צבי & שרה		הודעות לעיתונות של שגרירות גרמניה				מקור	Original	היינריך צבי שופלר קיבל בדואר את ההודעות לעיתונות | של שגרירות גרמניה בישראל )ראה לוגו( בשנים -1970 | 1984 | קטגוריות: | .1 הנצחה | .2 פוליטיקה | .3 פעילות תרבותית			No Image	ההודעות מודפסות בגרמנית לעיתים בעברית ובאנגלית.					נרשם ב 29.03.2006-	כרטיס 21 מתוך 23	נילי דוידסון		2005.363		רבקה ארזי-שופלר ,חיפה		2578,2579
G-F-0276-4	G.F. 0276 / 4	שופלר היינריך צבי & שרה								התכתבות עם אירגונים ומוסדות בשנים 1968-1985 | קטגוריות: | .1 אירגונים | .2 מנהגים | .3 חגים | .4 חינוך | .5 נוער			No Image	התכתבות בין היתר עם האירגונים:					נרשם ב 18.01.2006-	כרטיס 4 מתוך 23	נילי דוידסון		2005.363		רבקה ארזי-שופלר ,חיפה		2040,2041,2042,2043
G-F-0284	G.F.0284	מאיר ניצה & אלברט		ספר בעברית				מקור	Original	"קטגוריות: | .1 תולדות משפחה | .2 המאה ה 18- | .3 המאה ה 19- | .4 הרייך השלישי | .5 מלח""ע II | .6 שואה | .7 מחנות מעצר | .8 עלייה | .9 התישבות"	382	2001	No Image	הספר מתחיל עם אבות המשפחה (?)1750 ומסתיים בארץ				ראה בתיאור היצירה	נרשם ב 05.03.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.376		גיל-מאיר ורדה ,פרדס-חנה	ורדה גיל-מאיר ספרה ,שפרויקט הספר היה משותף :האם ,ניצה ,שהיא אמנית ציור ,אחותה,חנה ,שהיא צלמת והיא עצמה ,ורדה ,שערכה את הספר. | ראה הגבלות פרסום כפי שנרשם בהסכם תרומה חתום מ 23.3.2012-	2278,2279
G-F-0307	G.F.0307	"דונרה & מחנות מעצר באנגליה ואוסטרליה במלח""ע II"											No Image	-שכפול ,הגדה לפסח ,כתובה בקליגרפיה עברית בכתב													3068
G-F-0313-1	G.F. 0313 / 1	שילוני ישראל & מרים		מכתבים				מקור ,העתק	Original, Copy	"לפני שעיברת את שמו היה שמו :הנס הרברט | המרשטיין Hans Herbert Hammerstein - | יליד  1901 בברלין לאביו Felix Hammerstein | ולאמו  , Lucia Maria geb .Haagenמאוחר יותר התוסף | השם שרה  .Saraלישראל  2 אחים  Walter &Fritzואחות | אחת) Alice)Ani | קטגוריות: | .1 מלח""ע II | .2 הגירה | .3 חינוך | .4 מחנות מעצר"			No Image	-מכתב / תעודה ל Cäcilia Cohn -משנת 1938 בו מהללים					נרשם ב 10 / 11.09.2006-	כרטיס 1 מתוך 53	נילי דוידסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני	בפנקס ,שנמצא בתיק G.F. 0313 / 25 רשם שילוני את הורי אמו: | Rosalie geb .Liebenthal , 1845-1905          & Siegmund Haagen1846-1904	3315,3316,3317
