accession_id	accession_raw	artist	artist_en	work_title	work_title_en	technique	technique_en	description	item_type	item_type_en	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-B-1268	G.B.1268	יוסף ארתור	Joseph Artur		Meines Vater Haus			סיפור משפחת יוסף  -בעלי רשת לחנויות נעליים			143	1960	No Image		Cotta Verlag			ביוגרפיות	ביוגרפיות J /		נילי דוידסון						2354
G-B-1269	G.B.1269	יונגמן מקס	Jungmann Max		Jochanan von Giskala			יוחנן מנהיג צבאי בגליל בתקופת המרד ברומאים ,לפני | חורבן הבית השני. | המחבר הקדיש את הספר לרעיתו | Dr. Max Jungmann			?	?	No Image		Horodisch &Marx ,Berlin			דרמה	דרמה J /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2355
G-B-1270	G.B.1270	יודאוז						"שם הסופר מסתתר מאחורי הכינוי ""יודאוז"""			518	1907	No Image		Verlag von Sänger &Friedberg ,Frankfurt a .M			פרוזה	פרוזה J /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2356
G-B-1271	G.B.1271	יעקובובסקי לודוויג	Jacobowski Ludwig					בספר איורים של Hermann Hirzel | Dr. Ludwig Jacobowski					No Image		Verlag von M .Liemann ,Berlin			שירה	שירה J /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2357
G-B-1272	G.B.1272	יעקובזון אגון	Jacobsohn Egon					Jacobsohn Egon & Leo Hirsch			103	1936	No Image		Vortrupp Verlag ,Berlin			מדעי היהדות  /חברה  /נשים  /היסטוריה	מדעי היהדות J /		נילי דוידסון		2001.141		אנדראס מאייר ,כפר ורדים		2358
G-B-1273	G.B.1273	יוכמן ורנר	Jochmann Werner		Gesellschaftskrise und Judenfeindschaft in Deitschland						443	1991	No Image                                                          מהדורה 2		Christians			היסטוריה יהודית	היסטוריה יהודית J /		נילי דוידסון		2001.163		מרים פולין ,כפר ורדים		2359
G-B-1274	G.B.1274	יעקב פ .ולטר	Jacob P. Walter		Jacques Offenbach 1880-1980						114	1980	No Image		Inter Nationes Bonn			ביוגרפיות	ביוגרפיות J /		נילי דוידסון						2360
G-B-1275	G.B.1275	יעקובובסקי לודוויג	Jacobowski Ludwig		Im Lichte des Lebens						157	?	No Image		Schlesische Verlag-Anstalt von S .Schottländer ,Br			פרוזה	פרוזה J /		נילי דוידסון						2361
G-B-1276	G.B.1276	יאנקה קרל-היינץ	Jahnke Karl-Heinz		Weisse Rose kontra Hackenkreuz						96	1969	No Image		Röderberg Verlag			היסטוריה כללית  /הרייך השלישי	היסטוריה כללית J /		נילי דוידסון						2362
G-B-1277	G.B.1277	יראבק ל.	Jerabek L.		Der Alte Prager Juden Friedhof			Dr. L. Jerabek			?	?	No Image		?			קהילות	קהילות P /		נילי דוידסון						2363
G-B-1278	G.B.1278	יונגמן מקס	Jungmann Max		Inwiefern beeinflussen innere Krankheiten den Charakter			Dr. Max Jungmann			34	1900	No Image		Speyer u .Kaerner , Freiburg -Leipzig			מדעי הרפואה  /פסיכולוגיה	מדעים J /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2364
G-B-1279	G.B.1279	ירוזלם וילהלם	Jerusalem Wilhelm		Einleitung in die Philosophie						385	1919	No Image		Wilhelm Brandmüller Wien &Leipzig			פילוסופיה	פילוסופיה J /		נילי דוידסון					אקסליבריס :מעזבון חנן הנדל | Exlibris: Aus dem Nachlass von Chanan Hendel	2365
G-B-1280	G.B.1280	אילזר יחיאל	Ilsar Yehiel					Stationen im Leben des Hermann Badt			399	1992	No Image		transit Buchverlag ,Berlin			ביוגרפיות	ביוגרפיות I /		נילי דוידסון						2366
G-B-1281	G.B.1281	יצחקי פלה	Yizchaki Fela		Der Kibbuz von damals						79	1993	No Image		Edition Hentrich			ארץ ישראל	ארץ ישראל Y /		נילי דוידסון						2367
G-B-1282	G.B.1282	קוהוט אדולף	Kohut Adolf								הספר אינו שלם )חסרים דפים(	1875	No Image		Verlagshandlung von Julius buddens			מדעי היהדות	מדעי היהדות K /		נילי דוידסון						2368
G-B-1283	G.B.1283	קלאוזנר מרגוט	Klausner Margot								112	1964	No Image		Ner-Tamid-Verlag ,Frankfurt a .M			פרוזה	פרוזה K /		נילי דוידסון					אקסליבריס :ישראל שילוני | לספר  2 עותקים בספריה | Exlibris: Yisrael Shiloni	2369
G-B-1284	G.B.1284	קנט עמנואל	Kant Immanuel		Die Religion innerhalb der Grenzen der blosen Vernunft						701	1879	No Image		Bei Friedrich Nicolovius			פילוסופיה	פילוסופיה K /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2370
G-B-1285	G.B.1285	קאהן פריץ	Kahn Fritz		Die Juden als Rasse und Kulturvolk						251	1922	No Image                                                                     מהדורה 2		Welt-Verlag-Berlin			מדעי היהדות	מדעי היהדות K /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2371
G-B-1286	G.B.1286	קאופמן פריץ מרדכי	Kaufmann Fritz Mordechai								63	1919	No Image		Welt-Verlag-Berlin			פרוזה	פרוזה K /		נילי דוידסון					אקסליבריס :היינץ ולטר | Exlibris: Heinz Walter	2372
G-B-1287	G.B.1287	קמינקא ארמנד גדעון	Kaminka Armand Gideon								61	1989	No Image		Verlag von Hermann Engel ,Berlin			היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2373
G-B-1288	G.B.1288	קסטנברג לאו	Kestenberg Leo		Bewegte Zeiten - Musisch-Musikantische			עם תמונות			133	1961	No Image		Möseler Verlag ,Wolfenbüttel und Zürich			אמנות  /מוזיקה			נילי דוידסון				"ניקולאי ,מעזבון רעיתו חוה לבית אויפהויזר ז""ל ,קיבוץ"	אקסליבריס :חוה אופויזר  -ניקולאי | Exlibris: Chava Aufhäuser - Nikolai	2374
G-B-1289	G.B.1289	כצנלסון זיגמונד	Kaznelson Siegmund					משוררים יהודים מפורסמים | berühmte jüd. Dichtern			523	1959	No Image		Jüdischer Verlag ,Berlin			שירה	שירה K /		נילי דוידסון					לספר  2 עותקים בספריה	2375
G-B-1290	G.B.1290	קאוטצקי לואיזה	Kautsky Luise		Luise Kautsky zum Gedenken						40	1945	No Image		Willard Publishing Company ,New York			יומנים ומכתבים	יומנים ומכתבים K /		נילי דוידסון						2376
G-B-1291	G.B.1291	קסטיין יוסף	Kastein Josef		Jeremias - Der Bericht von Schiksal einer Idee						463	1938	No Image		Der Jüdische Buch-Klub ,Wien			פרוזה	פרוזה K /		נילי דוידסון		אין		תאודור רוטבלום ,רמת חן	אקסליבריס :תאודור רוטבלום | Exlibris: Theodor Rotblum	2377
G-B-1292	G.B.1292	קנט עמנואל	Kant Immanuel								81	1900	No Image		Verlag von Wilhelm Engelmann ,Leipzig			פילוסופיה	פילוסופיה K /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2379
G-B-1293	G.B.1293	קוביש אולריך	Kubisch Ulrich		Automobile aus Berlin - Vom Tropenwagen zum Amphicar			… unterandere Rumplers Wunderkiste			192	1985	No Image		Nicolaische Verlagsbuchhandlung Beuermann ,Berlin			חברה  /טכניקה	חברה K /		נילי דוידסון						2380
G-B-1294	G.B.1294	קרפינוביץ' אברהם	Karpinowicz Abraham		Die Phantastische Theorie vom Schuster Prenzik			Erzählungen aus dem jüdischen Wilna			190	1995	No Image		Lambert Schneider			פרוזה	פרוזה K /		נילי דוידסון					אקסליבריס :חנה הולמה | Exlibris: Hanna Holme	2381
G-B-1295	G.B.1295	קרן אלזה	Keren Else		ImSand Deiner Gedanken						118	1997	No Image		Edition Mnemosyne ,Alekto Verlag ,Klagenfurt			שירה	שירה K /		נילי דוידסון						2382
G-B-1296	G.B.1296	כצנלסון זיגמונד	Kaznelson Siegmund		Beethovens Ferne und unsterbliche Geliebte			עם תמונות			463	1954	No Image		standard-Buch Verlags-AG ,Zürich			ביוגרפיות	ביוגרפיות K /		נילי דוידסון					אקסליבריס :ישראל שילוני | Exlibris: Yisrael Shiloni	2383
G-B-1297	G.B.1297	קמלמן הרי	Kemelman Harry		Am Freitag schlief der Rabbi lang - Roman						155	1964	No Image                                                       מהדורה 3		Rowohlt			פרוזה	פרוזה K /		נילי דוידסון					אקסליבריס :דרורה יפה | Exlibris: Drora Jaffe	2384
G-B-1298	G.B.1298	קמלמן הרי	Kemelman Harry		Am Samstag ass der Rabbi nichts - Roman						139	1967	No Image		Rowohlt			פרוזה	פרוזה K /		נילי דוידסון						2385
G-B-1299	G.B.1299	קפקא פרנץ	Kafka Franz		Das Schloss - Roman			Mit Nachwort von Max Brod			315	1958	No Image		S .Fischer Verlag			פרוזה	פרוזה K /		נילי דוידסון					אקסליבריס :ישראל שילוני | Exlibris: Yisrael Shiloni	2386
G-B-1300	G.B.1300	קלמן ארנסט	Kallmann Ernst								78	?	No Image		Otto Maier Verlag ,Ravensburg			אמנות  /טוויה	אמנות K /		נילי דוידסון						2387
G-B-1301	G.B.1301	קמינקא ארמנד גדעון	Kaminka Armand Gideon					Geschichte einer ruhigen Auswanderung in stürmische | Zeit			137	1977	No Image		Judaica Verlag ,Zürich			ביוגרפיות	ביוגרפיות K /		נילי דוידסון					הקדשה :מהמחבר אל החברה אוה מבלאו-וייס | Widmung: von Verfasser an Freundin Eva, aus Blau-Weiss	2388
G-B-1302	G.B.1302	קרפלס גוסטב	Karpeles Gustav								473	1921	No Image		Verlag M.Poppelauer ,Berlin			מחקרים בספרות	מחקרים בספרות K /		נילי דוידסון						2389
G-B-1303	G.B.1303	קלאוזנר מרגוט	Klausner Margot		Die Geschichte der Bibel						217	1904	No Image                                                     מהדורה 3 + 2		Verlag von S . Calvary &Co. ,Berlin			מדעי היהדות	מדעי היהדות K /		נילי דוידסון						2390
G-B-1304	G.B.1304	קלטצקין יעקב	Klatzkin Jakob		Krisis und Entscheidung - Der Probleme des Modernen						208	1921	No Image                                                מהדורה 2		Jüdischer Verlag ,Berlin			מדעי היהדות	מדעי היהדות K /		נילי דוידסון					אקסליבריס :גרטרוד & הנס כהן | Exlibris: Gertrud & Hans Cohn	2391
G-B-1305	G.B.1305	קיטל רוד.	Kittel Rud.		Geschichte des Volkes Israel - 2 Band - Das Volk in						587	1909	No Image		Gotha ,Friedrich Andreas Perthes			היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון					הקדשה :אל ישראל שילוני מאת אלברט בר | Widmung: von Yisrael Shiloni von Albert Baer	2392
G-B-1306	G.B.1306	קיס יוסף	Kiss Josef					Aus dem Magyarischen von Otto Hauser			27	1919	No Image		Alexander Duncker Verlag ,Weimar			שירה	שירה K /		נילי דוידסון						2393
G-B-1307	G.B.1307	קיש אגון-ארווין	Kisch Egon-Erwin		Zaren Poppen						314	1927	No Image		Erich Reiss Verlag ,Berlin			פרוזה	פרוזה K /		נילי דוידסון						2394
G-B-1308	G.B.1308	קוטנר ברנהרד	Kuttner Bernhard					Dr. Kuttner Bernhard | Der Verfasser Prof. an der Realschule Philanthropin, | Frankfurt a. M.			75	1904	No Image		Verlag von J .Kaufmann ,Frankfurt a .M			פרוזה	פרוזה K /		נילי דוידסון						2395
G-B-1309	G.B.1309	קוטנר אריך	Kuttner Erich					Mit Illustrationen			386	1937	No Image		Verlag Oprecht ,Zürich			ביוגרפיות	ביוגרפיות K /		נילי דוידסון						2396
G-B-1310	G.B.1310	קולנשר מקס	Kollenscher Max								223	1925	No Image		Verlag*Ewer *Buchhandlung Hans Werner ,Berlin			היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון						2397
G-B-1311	G.B.1311	קוסטלר ארתור	Koestler Arthur		Die Nachtwandler - Die Entstehungsgeschichte unserer			קפלר ,גלילאו ,ניוטון  -נתוח פילוסופי של ההתפתחות | הטכנית			557	1963	No Image		Scherz , Bern- Stuttgart -Wien			פילוסופיה  /היסטוריה  /מיתולוגיה	פילוסופיה K /		נילי דוידסון		2000.016		חיים וינטר ,חיפה		2398
G-B-1312	G.B.1312	קומפרט לאופולד	Kompert Leopold		Die Kinder des Randars			המחבר חי במאה ה 19-היה בין הראשונים שכתב על חיי | היהודים בגיטו  -בספר זה כתב על ילדים יהודים בגיטו			148	1998	No Image		Aleko Verlag ,Klagenfurt			פרוזה  /היסטוריה יהודית	פרוזה K /		נילי דוידסון					"ניתן במתנה ע""י ד""ר ארמין ולס ז""ל | Armin Wallas"	2399
G-B-1313	G.B.1313	כץ יוסף	Katz Josef					ביוגרפיה של ניצול שואה			264	1988	No Image		Malik Verlag			ביוגרפיות	ביוגרפיות K /		נילי דוידסון		אין		אברהם וטובה דותן ,רמת השרון		2400
G-B-1314	G.B.1314	קוגלר-ואימן היידמרי	Kugler-Weiemann Heidemarie		Spuren der Geschwister Prenski - Eine Schule gibt sich			"בתמונת הילדים בדף הראשי נמצאים שלשת האחים | פרנסקי  +אברהם דותן )מפקיד הספר במוזיאון( | בעיר קיל קראו בי""ס על שם האחים פרנסקי | Kugler-Weiemann Heidemarie & Lüder Hildegard"			?	1994	No Image		?			ביוגרפיות	ביוגרפיות K /		נילי דוידסון		אין		אברהם וטובה דותן ,רמת השרון		2401
G-B-1315	G.B.1315	קולנדר וולפגנג	Kolneder Wolfgang		Daffke - Die vier Leben der Inge Deutschkron			אינגה דויטשקרון ניצולת שואה | תמונות עם ראשי ממשלה בגרמניה | Hrsg.: Kolneder Wolfgang			237	1994	No Image                                                          מהדורה 1		Edition Hentrich			ביוגרפיות  /שואה	ביוגרפיות K /		נילי דוידסון						2402
G-B-1316	G.B.1316	קלישר הירש	Kallischer Hirsch		Drischath Zion oder Zions Herstellung			"ספר זה נכתב במקור בעברית ד""ר פופר תרגם אותו | לגרמנית."			96	1905	No Image                                                        מהדורה 2		Verlag von Luis Lamm ,Berlin			ציונות	ציונות K /		נילי דוידסון						2403
G-B-1317	G.B.1317	קלנר לאון	Kellner Leon		Theodor Herzls Lehrjahre 1860-1895			בסוף הספר תמונת הרצל עם שלשת ילדיו .בספר עוד | תמונות טובות של משפחת הרצל			160	1920	No Image		R .Löwit Verlag , Wien &Leipzig			ציונות  /ביוגרפיות	ציונות  /הרצל		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | הקדשה :המחבר ליונה )יוהן( קרמנצקי ליום הולדתו ה 70- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208 | Widmung: des Schreibers an Jona (Johann) Kremenetzky zu seinem 70 Geburtstag"	2404
G-B-1318	G.B.1318	קאהן לאופולד	Kahn Leopold		Die alte Lehre im Lichte neuer Katastrophen						39	?	No Image		?			ציונות	ציונות K /		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2405
G-B-1319	G.B.1319	קפלון-קוגן ולאד	Kaplun-Kogan Wlad		Die Wanderbewegungen der Juden			בחוברת צוין שהכתוב נלקח מספר של פרופץ אדולף ובר | בחוברת טבלאות מעניינות על התעסוקה הכלכלית של | יהודי מזרח אירופה. | Heft 2			164	1903	No Image		A .Marcus und E .Webers Verlag ,Bonn			חברה  /היסטוריה	חברה K /		נילי דוידסון						2406
G-B-1320	G.B.1320	קפקא פרנץ	Kafka Franz		Amerika			Aus der Reihe: Gesammelte Werke II | von Max Brod			315	1946	No Image		Schocken Books Verlag ,New York			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2407
G-B-1321	G.B.1321	קפקא פרנץ	Kafka Franz		Beschreibung eines Kampfes			Novellen, Skitzzen, Aphorismen aus dem Nachlass. | Aus der Reihe: Gesammelte Werke von Max Brod			336	1946	No Image		Schocken Books Verlag ,New York			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2408
G-B-1322	G.B.1322	קפקא פרנץ	Kafka Franz		Das Schloss			Aus der Reihe: Gesammelte Werke IV | von Max Brod			429	1946	No Image		Schocken Books verlag ,New York			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2409
G-B-1323	G.B.1323	קפקא פרנץ	Kafka Franz		Der Prozess			Aus der Reihe: Gesammelter Werke III | von Max Brod			287	1946	No Image		Schocken Books Verlag ,New York			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2410
G-B-1324	G.B.1324	קפקא פרנץ	Kafka Franz								85	1924	No Image		Die Schmiede Verlag ,Berlin			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2411
G-B-1325	G.B.1325	קפקא פרנץ	Kafka Franz								189	1919	No Image		Kurt Wolff Verlag , München /Leipzig			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2412
G-B-1326	G.B.1326	קפקא פרנץ	Kafka Franz					Aus der Reihe gesammelter Werke von Max Brod			734	1948/1949	No Image		Schocken Books Verlag ,New York			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2413
G-B-1327	G.B.1327	קפקא פרנץ	Kafka Franz		Vor dem Gesetz						80	1934	No Image		Schocken Verlag ,Berlin			פרוזה	שוקן 19 /		מרים פולין )מתוך קטלוג גדעון בוטש(					לספר  2 עותקים	2414
G-B-1328	G.B.1328	קאהן ארנסט	Kahn Ernst					Kahn Ernst & Naphtali Fritz			257	1926	No Image		.Frankfurter Societäts-Druckerei ,Frankfurt a.M			עיתונות	עיתונות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2415
G-B-1329	G.B.1329	קאהן פריץ	Kahn Fritz		Das Leben des Menschen III			Eine volkstümliche Anatomie, Biologie, Physiologie und | Entwicklungsgeschichte des Menschen			364	1926	No Image		Frankh'sche Verlagshandlung ,Stuttgart			מדעי הרפואה	מדעים K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2416
G-B-1330	G.B.1330	קאהן פריץ	Kahn Fritz		Die Juden als Rasse und Kulturvolk						249	1921	No Image		Die Welt Verlag ,Berlin			היסטוריה יהודית	היסטוריה יהודית K /		מרים פולין )מתוך קטלוג גדעון בוטש(		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר .מקס יונגמן | לספר  2 עותקים | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208"	2417
G-B-1331	G.B.1331	קאהן פריץ	Kahn Fritz		Unser Geschlechtsleben			Ein Führer und Berater für Jedermann			388	1937	No Image		Albert Müller Verlag ,Rüschlikon -Zch			מדעי רפואה	מדעים K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2418
G-B-1332	G.B.1332	קייזר הלמוט	Kaiser Hellmuth		Franz Kafkas Inferno			Eine psychologische Deutung seiner Strafphantasie			142 - 69	1973	No Image		Wissenschaftliche Buchgesellschaft ,Darmstadt			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2419
G-B-1333	G.B.1333	קלקו מאשה	Kaleko Mascha		Das lyrische Stenogrammbuch - Verse vom Alltag						79	1935	No Image		Rowohlt Verlag ,Berlin			שירה	שירה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2420
G-B-1334	G.B.1334	קליפרי )פוזנר( סלומון	Kaliphari (Posner) Salomon		Mein Lebensbild im Anschluss an sieben Ahnenbilder			Kaliphari genannt Posner			53	?	No Image		ohne Verlag ,Breslau			ביוגרפיות	ביוגרפיות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2421
G-B-1335	G.B.1335	קלישר הירש	Kallischer Hirsch		Drischat Zion oder Zions Herstellung						100	1905	No Image		Louis Lamm Verlag,Berlin			מדעי היהדות	מדעי היהדות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2422
G-B-1336	G.B.1336	קאן י .ה.	Kann J.H.								185	1909	No Image		Jüdischer Verlag ,Köln/Leipzig			ארץ ישראל	ארץ ישראל K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2423
G-B-1337	G.B.1337	קנוביץ זיגפריד	Kanowitz Siegfried					Kanowitz Siegfried			?	1958	No Image		Biaton Verlag ,Tel-Aviv			פסיכולוגיה	פסיכולוגיה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2424
G-B-1338	G.B.1338	קנטורוביץ אלפרד	Kantorowicz Alfred		Deutsches Tagebuch I						684	1959	No Image		Kindler Verlag ,München			יומנים ומכתבים	יומנים ומכתבים K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2425
G-B-1339	G.B.1339	קפלון-קוגן ולאד	Kaplun-Kogan Wlad		Die Wanderbewegung der Juden						146	1913	No Image		A.Marcus und E.Webers Verlag ,Berlin			היסטוריה יהודית	היסטוריה יהודית K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2426
G-B-1340	G.B.1340	קרלוייז מרתה	Karlweis Marta		Amor und Psyche auf Reisen			d.i. Wassermann			381	1928	No Image		Wegweiser Verlag ,Berlin			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2427
G-B-1341	G.B.1341	קרפלס גוסטב	Karpeles Gustav		Allgemeine Geschichte der Literatur I			von ihren Anfängen bis auf die Gegenwart			760	1901	No Image		Historischer Verlag Baumgärtel ,Berlin			מחקרים בסיפרות	מחקרים בסיפרות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2428
G-B-1342	G.B.1342	קרפלס גוסטב	Karpeles Gustav		Allgemeine Geschichte der Literatur II.1			von ihren Anfängen bis auf die Gegenwart			450	1901	No Image		Historischer Verlag Baumgärtel ,Berlin			מחקרים בסיפרות	מחקרים בסיפרות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2429
G-B-1343	G.B.1343	קרפלס גוסטב	Karpeles Gustav		Allgemeine Geschichte der Literatur II.2			von ihren Anfängen bis auf die Gegenwart			449-880	1901	No Image		Historischer Verlag Baumgärtel ,Berlin			מחקרים בסיפרות	מחקרים בסיפרות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2430
G-B-1344	G.B.1344	קרפלס גוסטב	Karpeles Gustav								477	1920	No Image		M.Poppelauer Verlag ,Berlin			מחקרים בספרות	מחקרים בספרות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2431
G-B-1345	G.B.1345	קרפלס גוסטב	Karpeles Gustav								473	1921	No Image		M.Poppelauer verlag ,Berlin			מחקרים בסיפרות	מחקרים בסיפרות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2432
G-B-1346	G.B.1346	קסטיין יוסף	Kastein Josef		Eine Geschichte der Juden						633	1931	No Image		Rowohlt Verlag ,Berlin			היסטוריה היהודית	היסטוריה היהודית K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2433
G-B-1347	G.B.1347	קסטיין יוסף	Kastein Josef								322	1942	No Image		Privat Ausgabe ,Haifa			פרוזה	פרוזה K /		מרים פולין )מתוך קטלוג גדעון בוטש(					לספר  2 עותקים	2434
G-B-1348	G.B.1348	קסטיין יוסף	Kastein Josef								387	1936	No Image		R.Löwith Verlag ,Wien/Jerusalem			היסטוריה היהודית	היסטוריה היהודית K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2435
G-B-1349	G.B.1349	קסטיין יוסף	Kastein Josef		Jerusale - Die Geschichte eines Landes						417	1937	No Image		R .Löwith Verlag ,Wien/Jerusalem			ארץ ישראל	ארץ ישדאל K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2436
G-B-1350	G.B.1350	קסטיין יוסף	Kastein Josef		Juden in Deutschland						153	1935	No Image		Löwith Verlag ,Wien			היסטוריה היהודית	היסטוריה היהודית K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2437
G-B-1351	G.B.1351	קסטיין יוסף	Kastein Josef		Sabbatai Zewi - Der Messias von Ismir						385	1930	No Image		Rowohlt Verlag ,Berlin			ביוגרפיות	ביוגרפיות K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2438
G-B-1352	G.B.1352	קרפלס גוסטב	Karpeles Gustav								598	1886	No Image		Robert Oppenheim Verlag ,Berlin			מחקרים בספרות	מחקרים בספרות K /		נילי דוידסון						2440
G-B-1353	G.B.1353	קורנר אדמונד			Neue Synagoge Essen Ruhr						104	1911	No Image		Verlag Ernst Wasmuth ,Berlin			קהילות	קהילות E /		נילי דוידסון						2441
G-B-1354	G.B.1354	קון טובי	Kohn Toby		Leitfaden der Elektrodiagnostil und Elektrotherapie			Für Praktiker und Studierende			139	1899	No Image		BerlinS.Karger Verlag ,			מדעי הרפואה	מדעים K /		מרים פולין )תוך קטלוג גדעון בוטש(						2537
G-B-1355	G.B.1355	קרפל קלאוס	Kreppel Klaus					דפים מצולמים מתוך ספר בגרמנית בשם: | ) Die Ortenauהספר בשלמותו נמצא בספריה( | Dr. Klaus Kreppel | 'Verlag des historischen Vereins für Mittelbaden | Offenburg/Baaden			25	2001	No Image		ראה בתיאור היצירה			ביוגרפיות	תיק ארכיון G.F. 0006 /1		נילי דוידסון				"ד""ר קלאוס קרפל ,קיפנהיים ,גרמניה"		2443
G-B-1356	G.B.1356	קרפל קלאוס	Kreppel Klaus					12 ביוגרפיות קצרות של יקים מנהריה | Dr. Klaus Kreppel			192	1999	No Image		Westfalen Verlag			ביוגרפיות	ביוגרפיות K /		נילי דוידסון				"ד""ר קלאוס קרפל ,קיפנהיים ,גרמניה"		2444
G-B-1357	G.B.1357	קוהוט אדולף	Kohut Adolf		Geschichte der deutschen Juden			עריכה מפוארת של הספר. | איורים מאת Christian Kutschmann | תמונות וציורים של אישים ויודאיקה ותעודות עתיקות | Ein Hausbuch für die jüdische Familie			809	?	No Image		Deutscher Verlag ,Berlin			היסטוריה יהודית	היסטוריה יהודית K /		נילי דוידסון					"אקסליבריס :ד""ר יואל ליבק | Exlibris: Dr. Med. Joel Lübeck"	2445
G-B-1358	G.B.1358	קסטיין יוסף	Kastein Josef								27	1935	No Image		R .Löwit Verlag ,Wien			ציונות	ציונות  /הרצל )או (K /		נילי דוידסון		2002.194		שולי גלייכמן ,מעלות ואחיה איתן	אקסליבריס :מעזבון האב ריכרד דיטרסדורף | Exlibris: Aus dem Nachlass von Richard Dietersdorf	2446
