doc_id	page_no	label	chars	confidence	model_description	opening_text
0444-3__0444-D05	230	chrome	74	1.00	issue header and publication name	"פנימי — גליון מס' 17‚ תשרי תשל""ח ""תלם"" ידיעון התנועה ליהדות מתקדמת בישראל"
0444-3__0444-D05	231	chrome	74	1.00	newsletter masthead	"פנימי -- גליון מס' 17‚ תשרי תשל""ח ""תלם"" ידיעון התנועה ליהדות מתקדמת בישראל"
0422-3__0422-S07	108	chrome	67	1.00	masthead, date, page number	Nummer 263 / Haller Tagblatt Seite 19 / Samstag, 12. November 1983
0422-3__0422-S07	145	chrome	67	1.00	newspaper masthead, date, and page number	Haller Tagblatt / Nummer 26. Samstag, 12. November 1988 / Seite 22
0422-3__0422-S18	314	chrome	66	1.00	footer with contact info	 2 Telefon 07 91/751-201 me Postfach 100180. 7170 Schwäbisch Hall
0422-3__0422-S07	109	drop	63	0.95	au-pair advertisement (part 2)	 parti } ten T 751-204 oder 751-2 06, in Verbindung zu setzen.
0422-3__0422-S07	124	chrome	63	1.00	newspaper section and date line	‘ Aus Stadt und Kreis Seite 17 / Donnerstag, 10. November 1988
0422-3__0422-S07	142	chrome	63	1.00	dateline and page header	Freitag, 11. November 1988 / Seite 4 Im Brennpunkt > Nummer 262
0422-3__0422-S18	351	chrome	59	1.00	date line and section header	Montag, 1. Juli 1985 er 148 / Seite 2} Aus Stadt und Kreis
0444-3__0444-D05	246	chrome	59	0.95	masthead date and junk text	fet ake eos len sich DIE ZEIT - ‏.זא‎ 14 - 29. März 1985
0444-3__0444-D05	234	chrome	58	1.00	clipping service or dateline	"Ausschnitt aus der ""Wormser Zeitung"" vom 30. November 1982"
0422-3__0422-S07	137	chrome	57	1.00	page number, dateline, and series masthead	22 HSt-Serie Dienstag, 8. November 1968 / Nummer 259 65
0444-3__0444-D05	232	chrome	57	1.00	clipping service stamp	"Ausschnitt aus der ""Wormser Zeitung"" vom 1. Dezember 1982"
0444-3__0444-D05	236	chrome	57	1.00	clipping service note and dateline	"Ausschnitt aus der ""Wormser Zeitung"" vom 7. Dezember 1982"
0422-3__0422-S07	134	chrome	55	1.00	series title, date and issue number	"HSt-Serie ""Donnerstag, 3. November 1988 / Nummer 255 -"
0422-3__0422-S07	136	chrome	55	1.00	page number, series title, date, issue number	"22 HSt-Serie ""Montag, 7. November 1988 / Nummer 258 4"
0422-3__0422-S18	348	chrome	54	1.00	page header and date	Aus Stadt und Kreis Nummer 148 / Montag, 1: Juli 1989
0422-3__0422-S18	314	chrome	53	1.00	letterhead	: | Stadt Der Oberbiirgermeister \% | Schwäbisch Hall
0422-3__0422-S07	131	chrome	51	1.00	date, page number, and header noise	Mittwoch, 9. November 1988 / Seite 4 Im Nummer ev
0276-6__0276-D04	4	chrome	50	1.00	masthead and date	STADT KOLN Kölner Stadt-Anzeiger - 25.5.4987 6 .
0422-3__0422-S07	138	chrome	50	1.00	masthead	HSt-Serie Mittwoch, 9. November 1988 / Nummer 260
0422-3__0422-S07	140	chrome	49	1.00	masthead and date line	| / ; Freitag, 11. November 1988 / Nummer 262 5
0422-3__0422-S18	352	chrome	49	1.00	page header	Aus Stadt und Kreis Seite 23 / Nummer 148 / ‏יי‎
0422-3__0422-S07	133	chrome	47	1.00	dateline and page header	Dienstag, 8. November 1988 / Nummer 259 - Stad
0422-3__0422-S07	152	chrome	47	1.00	dateline and issue number	Donnerstag, 10. November 1988 / Nummer 261 * |
0276-6__0276-D06	22	drop	46	0.85	OCR noise from graphic or footer	 DEN / \ AOLN71> COLOGNE IS 3 5S COLON 44 FE
0422-3__0422-S18	337	drop	46	0.80	map text fragments	 A jpaniische sıra®® z A Wworzsvac Ve RA aS
0276-6__0276-D04	8	chrome	45	0.95	masthead and clipping artifacts	7 Nr. STADT KOLN Kalner Wochen spcege L (J
0422-3__0422-S07	130	chrome	42	1.00	date, page number and section	Mittwoch, 9. November 1988 / Seite 8 Süd:
0276-6__0276-D06	24	chrome	41	1.00	page footer or decorative border	 KOLN:77L2COLOGNE:'s.3}-95-COLONIA 44 FE
0422-3__0422-S07	154	chrome	40	0.95	clipping noise and newspaper masthead	Tun dl schon Nummer 256 ANKE Rundschat
0276-6__0276-D15	58	chrome	39	0.80	clipping service stamp or date	"»7/ Wiedersehen “sc Indy ""Avansd 9861"
0422-3__0422-S07	160	drop	39	1.00	fragment of preceding article	.| meister wissen, daß er die ge- Ged -
0422-3__0422-S07	137	drop	38	0.95	OCR noise	 li Mm Hal i il 4 Eh qs IR aH HE
0276-6__0276-D04	7	chrome	37	1.00	masthead	KOLN Nr. Kölner Stadt-Anzeiger (d.
0422-3__0422-S07	135	chrome	37	1.00	newspaper date line and issue number	stag, 5. November 1988 / Nummer 257 #
0422-3__0422-S07	111	chrome	36	1.00	date and page number	Montag, 14. November 1988 / Seite 20
0422-3__0422-S16	282	drop	36	0.95	continuation of cinema announcement	" Uhr 1 is „Das ‏כ‎ h"" zu sehen ist."
0444-3__0444-D05	235	chrome	36	0.90	handwritten date/clipping note	 We2 AS. Mel e der 1380 teeth aM r
0276-6__0276-D06	18	chrome	33	0.90	OCR noise and pagination marks	 : 2 \ בש ₪ ‎SCOIONA-#+ 2K‏ 3 ו
0276-6__0276-D15	59	chrome	33	1.00	publication date and page number	 AUFBAU FRIDAY. April 25. 1986 5
0444-3__0444-D05	247	chrome	33	1.00	publication dateline	DIE ZEIT - Nr. 14 - 29. März 1985
0276-6__0276-D04	6	chrome	32	0.95	publication name and date	 Kölnische Rundschau ı8[29.5.87
0276-6__0276-D06	15	chrome	32	0.95	booklet header	| KÖLN- COLOGNE- KEULEN- COLONIA
0422-3__0422-S18	353	chrome	31	1.00	date and issue number	Montag, 1. Juli 1985 / Nummer 1
0276-6__0276-D06	19	chrome	30	0.95	header	KOLN- COLOGNE: KEULEN- COLONIA
0276-6__0276-D15	61	chrome	30	1.00	publication dateline	1986 AUFBAU FRIDAY. April 25.
0444-3__0444-D05	244	chrome	30	0.90	dateline and noise	 OSTERN 1979 שק ק ש--- ‎EEE‏
0422-3__0422-S07	112	chrome	28	1.00	newspaper masthead and issue number	Nummer 265 / Haller Tagblatt
0422-3__0422-S07	132	drop	27	0.95	sports results header	 Tischtennia-Kralakineea m
0444-3__0444-D05	225	drop	27	1.00	OCR noise	 N.» Ba ® N Ei le / ae
0276-6__0276-D06	21	chrome	26	1.00	page footer	 ‎COLOGNE‏ לו ₪ ו קלן ה ו
0444-3__0444-D05	243	chrome	23	1.00	date	 Freitag, 25. Mai 1979
0422-3__0422-S07	114	chrome	22	1.00	newspaper header	Nummer 264 Rundschau |
0276-6__0276-D06	28	chrome	21	0.80	archive stamping or page number artifact	 01009 = 10005 40072
0422-3__0422-S18	345	chrome	19	0.95	page header	Aus Stadt und Kreis
0422-3__0422-S18	350	chrome	19	1.00	section header	Aus Stadt und Kreis
0444-3__0444-D05	247	chrome	19	1.00	page header	22 POLITISCHES BUCH
0276-6__0276-D06	23	chrome	17	0.80	marginalia or stamp	 ‎LS, COLOCNE‏ ל
0276-6__0276-D06	25	drop	17	0.90	OCR noise or graphic elements	K A MGS P 5 3 E N
0422-3__0422-S16	282	chrome	17	0.90	OCR noise / page edge	וו וו ‎we‏ len 0
0422-3__0422-S07	151	chrome	16	0.95	page number and section header	0 Hohenlohekreis
0422-3__0422-S16	289	chrome	15	0.90	header noise	6 Pan 0 ₪ ‏לקד‎
0422-3__0422-S18	338	chrome	15	0.90	running header	Schwäbisch Hall
0444-3__0444-D05	245	chrome	12	1.00	date line	OSTERN 19,79
0422-3__0422-S07	108	drop	11	0.80	noise or cut-off fragment	Herbert Kot
0276-6__0276-D04	6	chrome	10	0.95	clipping service header	STADT KOLN
0444-3__0444-D05	237	chrome	10	0.90	date	Freitag, 1
0444-3__0444-D05	244	chrome	8	1.00	page number	Seite 14
