score	repo_id	repo	resource_id	title	creator	date	type_genre	genre	german	glang	emigre	return	home	personal	type	language	url
31	7	YIVO Institute for Jewish Research	3534	Papers of Joseph Buloff and Luba Kadison		1910-1996	0	4	2	3	0	1	0	0	Audiocassettes | Correspondence | Drawings (visual works) | Manuscripts (documents) | Clippings (information artifacts) 	eng | eng | yid | ger | rus | rom | heb | The collection is in English, Yiddish, German, Russian, Romanian, and Hebrew.	https://archives.cjh.org/repositories/7/resources/3534
31	7	YIVO Institute for Jewish Research	3610	Papers of Paul (Pesakh) Novick		1897-1991, 2006 | 1940-1988	0	2	1	3	3	1	0	0	Administrative reports | Brochures | Correspondence | Manuscripts (documents) | Memorandums | Clippings (information art	yid | yid | eng | rus | fre | heb | pol | spa | ger | rom | The collection is in Yiddish, English, Russian, French, Hebrew, Polish, Spanish, German and Romanian.	https://archives.cjh.org/repositories/7/resources/3610
31	7	YIVO Institute for Jewish Research	539	Records of the Krotoszyn Jewish Community Council	Krotoszyn Jewish Community Council	1828-1919	0	0	33	3	4	1	0	0	Announcements | Bylaws (administrative records) | Contracts | Correspondence | Financial records | Insurance policies | 	ger | Predominantly in German, with some Hebrew and Yiddish.	https://archives.cjh.org/repositories/7/resources/539
30	3	American Jewish Historical Society	15595	Adolf Lorch (1883-1971) Papers	Lorch, Adolf, 1883-1971	1896-2013 | 1934 -- 1941	0	1	10	1	0	1	0	3	Correspondence | Official documents	eng | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/15595
30	7	YIVO Institute for Jewish Research	19972	Simon Dubnow Papers	Dubnow, Simon, 1860-1941 | YIVO Archives	1632-1938 | bulk 1700-1900	0	1	11	2	1	1	0	1	Clippings (information artifacts) | Correspondence | Decrees | Ketubahs | Legal documents | Manuscripts (documents) | Mi	heb | yid | pol | rus | ger | The collection is in Yiddish and Hebrew, with some Polish, Russian, and German, and a small amount of Aramaic, Latin, and French.	https://archives.cjh.org/repositories/7/resources/19972
30	7	YIVO Institute for Jewish Research	20782	Papers of Oscar Graf	Graf, Oscar	1900s-1974	0	1	1	0	2	2	0	0		eng | yid | heb | pol	https://archives.cjh.org/repositories/7/resources/20782
30	7	YIVO Institute for Jewish Research	22639	Papers of Emanuel Scherer		1915-2012 | 1940s-1970s	0	3	1	1	10	1	0	0		yid | Hebr | pol | Latn | eng | Latn | fre | Latn | heb | Hebr | Materials predominantly in Yiddish, Polish, and English, with some items in French and Hebrew.	https://archives.cjh.org/repositories/7/resources/22639
30	7	YIVO Institute for Jewish Research	3505	Papers of Abraham Liessin		1894-1948	0	3	1	5	0	1	0	1	Correspondence | Manuscripts (documents) | Clippings (information artifacts)	yid | yid | rus | ger | eng | heb | fre | The collection is in Yiddish, Russian, German, English, Hebrew, and French.	https://archives.cjh.org/repositories/7/resources/3505
29	3	American Jewish Historical Society	13257	Louis Broido papers	Broido, Louis, 1896-1975	undated, 1922-1976	0	2	3	2	0	1	0	0	Affidavits | Annual reports | Articles | Correspondence | Financial records | Memorandums | Minutes (administrative reco	eng | Latn | fre | Latn | ger | Latn | yid | Hebr | The collection is in English, French, German, and Yiddish.	https://archives.cjh.org/repositories/3/resources/13257
29	7	YIVO Institute for Jewish Research	20695	Bel Kaufman Papers	Kaufman, Bel (19110510-20140725)	undated	0	1	2	1	0	1	1	0	Correspondence | Short stories	eng | Latn | rus | Cyrl | yid | Hebr | Materials are primarily in Russian, with some materials in Yiddish and English.	https://archives.cjh.org/repositories/7/resources/20695
29	7	YIVO Institute for Jewish Research	22586	Henryk Erlich and Victor Alter Collection		1912 -- 1998	0	0	1	0	3	2	0	0		yid | Hebr | pol | Latn | ger | Latn | rus | Cyrl | eng | Latn | spa | Latn | ita | Latn | swe | Latn | fre | Latn	https://archives.cjh.org/repositories/7/resources/22586
29	7	YIVO Institute for Jewish Research	3507	Records of the Vilna Jewish Community Council	Vilna Jewish Community Council	1800-1940	0	0	10	2	5	1	0	0		yid | heb | rus | pol | ger | Yiddish, Hebrew, Russian, Polish, German.	https://archives.cjh.org/repositories/7/resources/3507
29	7	YIVO Institute for Jewish Research	3595	National Refugee Service Records	National Refugee Service (U.S.)	1934-1952 | 1939-1946	0	0	18	2	62	1	0	0	Account books | Brochures | Clippings (information artifacts) | Correspondence | Financial records | Manuals (instructio	eng | The collection is predominantly in English, with scattered items in German, French, and Yiddish.	https://archives.cjh.org/repositories/7/resources/3595
28	3	American Jewish Historical Society	19959	Florence Lowenstein Marshall (1873-1916) Diaries, 1890-1916; 2019	Marshall, Florence Lowenstein, 1873-1916 | Schweitzer, Peter H., (Rabbi)	1894 -- 1916 | 2019	0	15	11	0	0	1	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/19959
28	3	American Jewish Historical Society	6101	Emma Lazarus Papers	Lazarus, Emma, 1849-1887	undated, 1876-1987 | undated, 1876-1987	0	3	5	0	0	1	0	0	Poetry | Articles | Correspondence | Notebooks | Obituaries | Poems | Scrapbooks	eng | Latn | heb | Hebr | The collection is in English and Hebrew.	https://archives.cjh.org/repositories/3/resources/6101
28	4	American Sephardi Federation	3789	Guide to the Isaac Bitton (1926- ) Papers		undated, 1986-1997	0	3	1	0	6	1	0	0	Clippings (information artifacts) | Photocopies | Correspondence | Speeches (documents) | Pamphlets	eng | eng | por | The collection is in English and Portuguese.	https://archives.cjh.org/repositories/4/resources/3789
27	3	American Jewish Historical Society	15562	Admiral Lewis Lichtenstein Strauss Papers		1908-1973	0	0	1	2	0	1	1	1		eng | Latn | ger | Latn | fre | Latn | heb | Hebr | yid | Hebr | The collection is in English, German, French, Hebrew, and Yiddish.	https://archives.cjh.org/repositories/3/resources/15562
27	3	American Jewish Historical Society	198	Adolphus Simeon Solomons, papers	Solomons, Adolphus S. (Adolphus Simeon), 1826-1910	undated, 1841-1966	0	7	2	0	0	0	1	2	Sermons | Articles | Clippings (information artifacts) | Correspondence | Eulogies (documents) | Obituaries | Photograph	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/198
27	3	American Jewish Historical Society	20995	American Jewish History Autograph and Documents Collection	Rosenbach, A. S. W. (Abraham Simon Wolf), 1876-1952	1700 -- 1910	1	4	0	0	0	1	0	0	Briefs (legal documents) | Wills | Indentures | Letters (correspondence)	eng | Latn	https://archives.cjh.org/repositories/3/resources/20995
27	3	American Jewish Historical Society	6735	Charles King Emma (1921-2014) Papers	Emma, Charles King, 1921-2014	undated 1941-2012 | 1943 -- 1945	1	3	0	0	0	1	0	0	Address books | Examinations (documents) | Lotteries | Short stories | Telegrams | Christmas cards | Patches (costume ac	eng | Latn	https://archives.cjh.org/repositories/3/resources/6735
27	7	YIVO Institute for Jewish Research	3277	Jacob Mestel Papers	Mestel, Jacob, 1884-1958	1910-1958	0	0	12	5	1	1	0	0	Photographic prints | Poems | Scripts (documents) | Prompt books	yid | yid | eng | ger | pol | The collection is in Yiddish, English, German, and Polish.	https://archives.cjh.org/repositories/7/resources/3277
26	3	American Jewish Historical Society	15554	Pamela B. Cohen Papers	Cohen, Pamela B.	undated, 1968-2005, 2007, 2009 | 1978 -- 1996	0	1	1	0	0	2	0	0	Audiocassettes | Broadsides (notices) | Case files | Clippings (information artifacts) | Correspondence | Commemorative 	eng | Latn | rus | Cyrl | heb | Hebr | ice | Latn	https://archives.cjh.org/repositories/3/resources/15554
26	3	American Jewish Historical Society	15610	Hebrew National Orphan Home Alumni Association Records	Hebrew National Orphan Home Alumni Association	undated, 1925-2014 | 1957 -- 1997	0	2	0	0	0	2	0	0	Audiocassettes | Clippings (information artifacts) | Correspondence | Newsletters | Photographs | Printed ephemera | Scr	eng | eng | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15610
26	3	American Jewish Historical Society	19721	National Jewish Welfare Board, Records	National Jewish Welfare Board	undated, 1889-1995 (bulk 1917-1990)	0	0	2	2	4	1	0	0	Armed Forces -- Prayers and devotions | Agendas (administrative records) | Annual reports | Application forms | Aprons (	eng | eng | heb | yid | spa | fre | ita | swe | ger | lat | hun | afr | The collection is in English, Hebrew, Yiddish, Spanish, French, Italian, Swedish, German, Latin, Hungarian and Afrikaans.	https://archives.cjh.org/repositories/3/resources/19721
26	3	American Jewish Historical Society	19997	John Langeloth Loeb and Frances Lehman Loeb Family Papers	Lehman family | Loeb family | Loeb, Frances Lehman, 1906-1996 | Loeb, John Langeloth, 1902-	1893 -- 1997 | 1926 -- 1998	0	1	6	0	0	0	1	5	Artifacts (object genre) | Correspondence | Legal correspondence | Photographs	eng | Latn	https://archives.cjh.org/repositories/3/resources/19997
26	3	American Jewish Historical Society	765	Brit Tzedek v'Shalom/Jewish Alliance for Justice and Peace Records		2002-2012	1	2	0	0	1	1	0	0	Petitions | Clippings (information artifacts) | Conferences | Circular letters | Compact discs | DVDs | VHS	eng | eng | The collection is in English.	https://archives.cjh.org/repositories/3/resources/765
26	7	YIVO Institute for Jewish Research	21290	Joseph Schwarz Papers	Schwarz, Joseph.	1938 -- 1969	0	1	1	2	2	1	0	1	Photographic prints	eng | Latg | yid | Hebr | heb | Hebr | ger | Latn | pol | Latn | ukr | Cyrl | rus | Cyrl | Materials are in Yiddish, English, Hebrew, German, Ukrainian, Polish, and Russian.	https://archives.cjh.org/repositories/7/resources/21290
26	7	YIVO Institute for Jewish Research	3512	Records of the Minsk Jewish Community Council	Minsk Jewish Community Council	1825-1917	0	1	3	1	1	1	0	0	Correspondence | Official documents | Petitions | Official reports | Decrees | Lists (document genres) | Birth registers	rus | rus | pol | heb | yid | Russian with some Polish, Hebrew, and Yiddish.	https://archives.cjh.org/repositories/7/resources/3512
25	3	American Jewish Historical Society	15649	Mordecai Manuel Noah, papers	Noah, M. M. (Mordecai Manuel), 1785-1851	undated, 1816-1851	0	7	2	0	0	1	0	0		eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15649
25	3	American Jewish Historical Society	1657	Samuel Oppenheim Papers	Oppenheim, Samuel, 1857-1928	undated, 1614-1938	0	7	2	1	0	0	1	0	Transcripts | Translations | Stats (copies) | Certificates of registry (ships' papers) | Ledgers (account books) | Minut	eng | Latn | dut | Latn | fre | Latn | por | Latn | yid | Hebr | The collection is in English, Dutch, French, Portuguese, and Yiddish.	https://archives.cjh.org/repositories/3/resources/1657
25	3	American Jewish Historical Society	19891	Russ & Daughters Business and Family Records		circa 1929-2019 | 1959-2014	0	0	4	0	0	1	0	3		eng	https://archives.cjh.org/repositories/3/resources/19891
25	7	YIVO Institute for Jewish Research	21067	Union Generale des Israelites de France Records		1942 -- 1944	0	0	6	0	5	1	0	0		fre | Latn	https://archives.cjh.org/repositories/7/resources/21067
25	7	YIVO Institute for Jewish Research	22468	Aron Zundelevich Collection	Zundelevich, Aron, 1852-1923	1889 -- 1933	0	0	1	0	2	1	1	0		rus | Cyrl | yid | Hebr | ger | Latn	https://archives.cjh.org/repositories/7/resources/22468
25	7	YIVO Institute for Jewish Research	3614	Abraham Moshe Bernstein Collection		1878-1936 | bulk 1898-1931	0	0	10	4	0	1	0	0	Jews -- Music | Sheet music | Clippings (information artifacts) | Correspondence | Essays | Hymns	heb | Hebr | yid | Hebr | rus | Cyrl | ger | Latn | pol | Latn | The collection is in Hebrew, Yiddish, with some Russian, Polish, and German.	https://archives.cjh.org/repositories/7/resources/3614
25	7	YIVO Institute for Jewish Research	525	Papers of Horace Meyer Kallen		1902-1970 | 1922-1952	0	1	2	2	1	1	0	0	Correspondence | Financial records | Manuscripts (documents) | Clippings (information artifacts) | Photographs	eng | eng | ger | fre | yid | ita | rom | spa | heb | chi | eng | The collection is in English, with some German, French and Yiddish, and with a small amount of Italian, Romanian, Spanish, Hebrew, Chinese and Shorthand. 	https://archives.cjh.org/repositories/7/resources/525
24	3	American Jewish Historical Society	13247	Hadassah Medical Organization Records in the Hadassah Archives	Hadassah, the Women's Zionist Organization of America	1918-2011 | 1940 -- 1990	0	0	0	1	1	2	0	0	Administrative records | Articles | Brochures | Correspondence | Financial records | Minutes (administrative records) | 	eng | Latn | ger | Latn | heb | Hebr | fre | Latn | This collection is predominantly in English with some material in German, Hebrew, and French. Some Hebrew documents have English language annotations and/or translations.	https://archives.cjh.org/repositories/3/resources/13247
24	3	American Jewish Historical Society	13261	Solender Family Papers	Solender family	1890-2003 | 1918 -- 1990	0	0	0	0	0	1	1	3	Correspondence | Minutes (administrative records) | Photographs | Publications (documents) | Clippings (information arti	eng | Latn	https://archives.cjh.org/repositories/3/resources/13261
24	3	American Jewish Historical Society	1655	Records of the National Jewish Welfare Board Military Chaplaincy	Lev, Aryeh, 1913-1975 | National Jewish Welfare Board	1917-1983	0	1	1	0	5	0	1	2	Annual reports | Clippings (information artifacts) | Correspondence | Memorandums | Minutes (administrative records) | N	eng | Latn | heb | Hebr | yid | Hebr | fre | Latn | ger | Latn | spa | Latn	https://archives.cjh.org/repositories/3/resources/1655
24	3	American Jewish Historical Society	19714	Nathan Perlmutter (1923-1987) Papers	Perlmutter, Nate	1934-1989 | 1949-1987	0	5	1	0	1	1	0	0	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Obituaries | Pamphlets | Programs (docume	eng | Latn | yid | Hebr | heb | Hebr | ger | Latn | spa | Latn | ita | Latn	https://archives.cjh.org/repositories/3/resources/19714
24	3	American Jewish Historical Society	5402	Franks Family Papers	Franks family	1711-1821, [1965-1968]	0	12	1	0	0	1	0	1	Correspondence | Business records | Legal documents | Warrants | Bibles | Ketubahs	eng | Latn | heb | Hebr | The collection is in English and Hebrew.	https://archives.cjh.org/repositories/3/resources/5402
24	7	YIVO Institute for Jewish Research	20099	Records of the Yidisher Artistn Fareyn (Yiddish Actors' Union)	Yidisher arṭisṭn-fareyn in Poyln | Weichert, Michał	1909-1940 | 1920-1938	0	0	2	3	1	1	0	0	Correspondence | Minutes (administrative records) | Membership cards	yid | pol | ger | rus | heb | eng | The collection is in Yiddish and Polish, with a few items in German, Russian, Hebrew, and English.	https://archives.cjh.org/repositories/7/resources/20099
23	3	American Jewish Historical Society	15511	Hadassah Archives on Long-term Deposit at the American Jewish Historical Society	Hadassah, the Women's Zionist Organization of America	undated, 1875, 1877, 1894, 1910-2015 | bulk 1920-2010	0	0	1	1	4	1	0	1	Correspondence | Administrative records | Ephemera (general object genre) | Minutes (administrative records) | Photograp	eng | Latn | ger | Latn | heb | Hebr | The Hadassah Archives are primarily in English, with small amounts of German and Hebrew. Other European languages appear very infrequently.	https://archives.cjh.org/repositories/3/resources/15511
23	3	American Jewish Historical Society	19723	Lt. Col. Rachel Diane (Rae) Landy Papers		undated, 1913-2000	0	0	1	0	0	2	0	0	Correspondence | Genealogies (histories)  | Maps (documents) | Photographs | Reminiscences	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/19723
23	3	American Jewish Historical Society	2955	Uriah P. Levy Collection		undated, 1787-1948, 1959, 1961, 1985, 2005	0	1	0	0	0	2	0	0	Deeds | Military records | Regulations (executive records) | Visiting cards | Pamphlets | Correspondence | Bills of sale	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/2955
23	4	American Sephardi Federation	188	Papers of Victor D. Sanua	Sanua, Victor D.	1938-2009 | 1960-2005	0	0	1	1	0	1	1	0	Financial records | Correspondence | Genealogical tables | Manuscripts (documents) | Clippings (information artifacts) |	eng | eng | fre | lad | ara | heb | spa | tur | ita | ger | por | The collection is in English and French with some Ladino, Arabic, Hebrew, Spanish, Turkish, Italian, German, and Portuguese.	https://archives.cjh.org/repositories/4/resources/188
22	3	American Jewish Historical Society	2664	Horowitz-Margareten family collection	Horowitz family | Margareten family	undated, 1921-1994	0	0	0	0	0	2	0	1		eng | Latn	https://archives.cjh.org/repositories/3/resources/2664
22	7	YIVO Institute for Jewish Research	21418	Felix and Judith Fibich Papers	Fibich, Felix, 1917-2014 | Berg, Judith	1930 -- 2014	0	0	0	0	1	2	0	0		eng | Latn	https://archives.cjh.org/repositories/7/resources/21418
21	3	American Jewish Historical Society	2953	Solomon Robert Kagan papers	Kagan, Solomon R. (Solomon Robert), 1889-1955	undated, 1920, 1928, 1938, 1940-1955	0	0	3	1	0	1	0	0	Clippings (information artifacts) | Correspondence | Pamphlets | Petitions	eng | Latn | heb | Hebr | ger | Latn | fre | Latn | The collection is predominantly in English, with some Hebrew, German, and French.	https://archives.cjh.org/repositories/3/resources/2953
21	3	American Jewish Historical Society	6378	Touro family (Newport, R.I.), Papers	Jacobs, Solomon, 1777-1827	late 1700s-1849	0	3	0	0	1	1	0	0	Correspondence | Official documents | Legal documents	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/6378
21	7	YIVO Institute for Jewish Research	20108	Music (Vilna Archives)		1892-1938	0	0	1	4	1	1	0	0		yid | Hebr | rus | Cyrl | pol | Latn | ger | Latn | heb | Hebr | The collection is in Yiddish, Russian, Polish, and some German and Hebrew.	https://archives.cjh.org/repositories/7/resources/20108
21	7	YIVO Institute for Jewish Research	21874	Wolkowysker Relief Society Records	Wolkowysker Relief Society	1920 -- 1922	1	1	0	0	0	1	0	0	Photographic prints | Passports | Diaries | Interviews	eng	https://archives.cjh.org/repositories/7/resources/21874
20	3	American Jewish Historical Society	2637	Abba Eban collection	Eban, Abba Solomon, 1915-2002	1955,1959, 1962, 1987	0	0	0	0	0	2	0	0		eng | Latn | English	https://archives.cjh.org/repositories/3/resources/2637
20	3	American Jewish Historical Society	2673	Family history newsletter collection		1929-1930, 1985-2006, 2012	0	0	0	0	0	2	0	0	Newsletters	eng | Latn | English	https://archives.cjh.org/repositories/3/resources/2673
20	3	American Jewish Historical Society	2876	Salomon P. Ratner Autobiography	Ratner, Salomon P.	undated	0	0	0	0	0	2	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/2876
20	3	American Jewish Historical Society	5505	Arthur A. Goren Papers	Goren, Arthur A., 1926-	1951-2007 | 1970 -- 2000	0	0	0	0	0	2	0	0	Articles | Bibliographies | Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Notes (docume	eng | Latn | heb | Hebr | yid | Hebr | ger | Latn	https://archives.cjh.org/repositories/3/resources/5505
20	6	Yeshiva University Museum	60	Papers of Kathryn M. Yochelson (1906-2006)		1910, 1948-2000	0	1	1	1	0	1	0	1	Correspondence | Manuscripts (documents) | Negatives (photographs) | Notes (documents) | Photographs | Slides (photograp	eng | eng | ger | fre | heb | pol | This collection is in English, German, French, Hebrew, and Polish.	https://archives.cjh.org/repositories/6/resources/60
19	3	American Jewish Historical Society	2886	Adah Isaacs Menken Collection	Menken, Adah Isaacs, 1835-1868	undated, 1862-1868	0	3	0	0	0	1	0	0	Correspondence | Photographs | Playbills	eng | Latn	https://archives.cjh.org/repositories/3/resources/2886
19	3	American Jewish Historical Society	5656	Seligman Solomon Society Records		1912-1922	0	1	2	0	0	1	0	0		eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/5656
19	3	American Jewish Historical Society	5725	Jewish Reconstructionist Foundation Records	Jewish Reconstructionist Foundation	Undated, 1920, 1928-1983 | 1943 -- 1976	0	6	0	0	0	1	0	0	Articles | Bylaws (administrative records) | Cantatas (musical compositions) | Clippings (information artifacts) | Corre	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | ita | Latn | rus | Cyrl | spa | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/5725
19	7	YIVO Institute for Jewish Research	20688	Allan S. Weinberg Collection	Weinberg, Allan S.	1942 -- 1996	0	0	3	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/20688
19	7	YIVO Institute for Jewish Research	21796	Zinkower Podolier Benevolent Association Records	Zinkower Podolier Benevolent Association	1924 -- 1974	0	1	0	0	3	1	0	0	Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21796
19	7	YIVO Institute for Jewish Research	21827	Papers of Ida Kaminska and Meir Melman	Kaminska, Ida, 1899-1980 | Melman, Meir, 1900-1978	1960s-1980	0	1	0	2	1	1	0	0	Photographic prints	eng | yid	https://archives.cjh.org/repositories/7/resources/21827
19	7	YIVO Institute for Jewish Research	22532	Papers of Shmuel Rothstein		1930 -- 1965 | undated	0	0	1	0	3	1	0	0		yid | heb | eng	https://archives.cjh.org/repositories/7/resources/22532
19	7	YIVO Institute for Jewish Research	22581	Papers of Y. Y. Trunk	Yivo Institute for Jewish Research	1940 -- 1961 | 1923, 1932-1988, 2003	0	0	1	5	1	0	1	0	Newspaper clippings | Correspondence | Manuscripts for publication	yid | Hebr | eng | Latn | pol | Latn | rus | Cyrl | lit | Latn | jpn | The collection is in Yiddish, with some English, Polish, and Russian and a small amount of Lithuanian and Japanese.	https://archives.cjh.org/repositories/7/resources/22581
19	7	YIVO Institute for Jewish Research	22619	Papers of Mordechai Bernstein		1946 -- 1949	0	0	5	0	0	1	0	0		ger	https://archives.cjh.org/repositories/7/resources/22619
19	7	YIVO Institute for Jewish Research	22651	Arthur Nunberg Papers		1939 -- 2005 | 1950-1992	0	0	1	0	4	1	0	0		yid | Hebr | eng | Latn | pol | Latn	https://archives.cjh.org/repositories/7/resources/22651
19	7	YIVO Institute for Jewish Research	3437	Papers of William Edlin		1894-1948, 1960-1969	0	0	1	4	0	1	0	0	Correspondence | Financial records | Manuscripts (documents) | Minutes (administrative records) | Clippings (information	eng | eng | yid | rus | fre | ger | heb | cze | The collection is in English, Yiddish and Russian, with some French, German, Hebrew, and Czech.	https://archives.cjh.org/repositories/7/resources/3437
19	7	YIVO Institute for Jewish Research	3529	Papers of Leon Feinberg		1906-1969 | 1920-1960	0	1	0	6	0	1	0	0	Correspondence | Manuscripts (documents) | Clippings (information artifacts) | Photographs	yid | yid | rus | eng | heb | The collection is in Yiddish, Russian, English, and Hebrew.	https://archives.cjh.org/repositories/7/resources/3529
18	3	American Jewish Historical Society	15597	Milton Weill Papers		undated, 1917-1954	0	1	1	1	0	1	0	0	World War, 1939-1945 -- Personal narratives | Correspondence | Scrapbooks | Clippings (information artifacts) | Speeches	eng | Latn | fre | Latn | yid | Hebr | heb | Hebr | The collection is in English, French, one item in Yiddish,  and one item in Hebrew.	https://archives.cjh.org/repositories/3/resources/15597
18	3	American Jewish Historical Society	21063	Hebrew Free Loan Society of New York City (HFLS) Records	Hebrew Free Loan Society of New York	undated, 1892-2010 | (bulk 1904-1998)	0	0	2	0	2	0	1	0	Promissory notes	eng | heb | yid	https://archives.cjh.org/repositories/3/resources/21063
18	3	American Jewish Historical Society	2623	Hebrew Sheltering Guardian Society (New York, N.Y.) records	Hebrew Sheltering Guardian Society	undated, 1879-1972, 1995	0	0	2	0	1	1	0	0	Announcements | Annual reports | Articles | Blueprints (reprographic copies) | Bylaws (administrative records) | Clippin	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/2623
18	7	YIVO Institute for Jewish Research	20784	Konstam and Brotter Family Papers	Konstam family | Brotter family	1885 -- 1978	0	2	0	0	0	1	0	1		eng | pol	https://archives.cjh.org/repositories/7/resources/20784
18	7	YIVO Institute for Jewish Research	21139	Papers of A. Litwin	Hurṿits, Sh., 1862-1943	1907-1940s	0	0	0	4	0	1	0	1	Jews -- Humor | Jews -- Folklore | Jews -- Anecdotes | Jews -- Music | Anecdotes | Photographic prints | Poetry	eng	https://archives.cjh.org/repositories/7/resources/21139
17	3	American Jewish Historical Society	15568	Isidore S Meyer Papers	Meyer, Isidore S.	1848-1992 | 1925 -- 1980	0	0	4	0	0	0	1	0	Clippings (information artifacts) | Correspondence | Drafts (documents) | Notes (documents) | Photographs | Speeches (do	eng | Latn | heb | Hebr | ger | Latn | yid | Hebr | dut | Latn | fre | Latn | ita | Latn | spa | Latn	https://archives.cjh.org/repositories/3/resources/15568
17	3	American Jewish Historical Society	15781	United States Holocaust Memorial Museum Collection	United States Holocaust Memorial Museum	1979-1996	0	0	1	0	30	0	1	0	Holocaust, Jewish (1939-1945) -- Sources | Curricula | Newsletters | Pamphlets | Press releases | Publications (document	eng | eng | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15781
17	3	American Jewish Historical Society	18226	Jacob Xenab Cohen, papers	Cohen, J. X. (Jacob Xenab), 1889-1955	undated, 1913-1978	0	0	1	0	2	1	0	0		eng | Latn | heb | Hebr | por | Latn | spa | Latn | The collection is in English, Hebrew, Portuguese, and Spanish.	https://archives.cjh.org/repositories/3/resources/18226
17	3	American Jewish Historical Society	18397	Shloyme Rosenberg Collection	Rosenberg, Shloyme, 1896-1975	undated, 1940-1977	0	0	1	2	0	1	0	0	Articles | Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Photographs | Speeches (docume	yid | Hebr | eng | Latn | fre | Latn | heb | Hebr | The collection is predominantly in Yiddish, with some English, French, and Hebrew.	https://archives.cjh.org/repositories/3/resources/18397
17	7	YIVO Institute for Jewish Research	19976	Papers of Zemach Shabad	Schabad, Z., 1864-1935	1907-1934	0	0	1	2	0	1	0	0	Annual reports | Correspondence | Medical records | Minutes (administrative records) | Poetry | Travel documents	und | rus | Cyrl | The collection is in Russian, with some Polish, Yiddish, and German.	https://archives.cjh.org/repositories/7/resources/19976
17	7	YIVO Institute for Jewish Research	21105	David Shub Collection	Shub, David, 1887-1973	1909 -- 1980	0	0	1	0	2	1	0	0		yid | Hebr | rus | Cyrl | eng | Latn | ger | Latn	https://archives.cjh.org/repositories/7/resources/21105
17	7	YIVO Institute for Jewish Research	21666	First Soroker Bessarabier Mutual Aid Society Records	First Soroker Bessarabier Mutual Aid Society	1910-1950s	0	1	0	0	2	1	0	0	Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21666
16	3	American Jewish Historical Society	19861	Records of Richard Cohen Associates, Inc. (1979-2000)		undated, 1961-1999	0	0	0	0	2	1	0	1		eng | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/19861
16	3	American Jewish Historical Society	227	Alan L. Cohen Papers	Cohen, Alan, L.	1989, 1993	0	0	2	0	0	1	0	0	Photographs | VHS	eng | Latn	https://archives.cjh.org/repositories/3/resources/227
16	3	American Jewish Historical Society	229	Augusta Ellis Johnson, papers	Johnson, Augusta Ellis 	1869	0	2	0	0	0	1	0	0		eng | Latn | spa | Latn | The collection is in English and Spanish.	https://archives.cjh.org/repositories/3/resources/229
16	3	American Jewish Historical Society	5650	Congregation Shearith Israel, Records	Congregation Shearith Israel (New York, N.Y.)	undated, 1755-1996	0	0	0	0	3	1	0	0		eng | Latn | heb | Hebr | por | Latn | dut | Latn | The collection is predominantly in English, with some Hebrew, Portuguese, and Dutch.	https://archives.cjh.org/repositories/3/resources/5650
16	4	American Sephardi Federation	189	Walter P. Zenner Papers	Zenner, Walter P.	1958-2001 | 1960-1988	0	1	1	0	0	1	0	0		eng | eng | eng | heb | This collection is in English and Hebrew.	https://archives.cjh.org/repositories/4/resources/189
16	7	YIVO Institute for Jewish Research	22589	Papers of Walter Korn		1920s-1970s	0	0	2	0	1	0	1	0		eng | heb | cze | ger	https://archives.cjh.org/repositories/7/resources/22589
15	3	American Jewish Historical Society	13282	Shad Polier Papers	Polier, Shad, 1906-1976	1916-1976 | 1940 -- 1970	0	0	1	0	0	1	0	1	Correspondence | Legal files | Minutes (administrative records) | Clippings (information artifacts) | Photographs | Vita	eng | Latn | yid | Hebr | heb | Hebr | fre | Latn	https://archives.cjh.org/repositories/3/resources/13282
15	3	American Jewish Historical Society	15780	Records of the Friends of Ida Kaminska Theatre Foundation, Inc.	Friends of Ida Kaminska Theatre Foundation, Inc.	1968-1975	0	1	0	1	0	1	0	0	Bank statements | Correspondence | Clippings (information artifacts) | Brochures | Contracts | Checks (bank checks) | In	eng | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15780
