score	repo_id	resource_id	title	origination	birth	death	max_year	birthplace	type_genre	genre_prose	ret_de	born_de	heimat	palestine_hit	ce_return_hit	german_places	emigre	langmaterial	geognames	genreform	snippet	url
14	4	3789	Guide to the Isaac Bitton (1926- ) Papers				1997	unknown	0	32	0	0	0	1	0	1	7	The collection is in English and Portuguese.	Spain | Portugal | Faro (Portugal) | Woodstock (Ill.) | Azores | Ponta Delgada (Azores)	clippings (information artifacts) | photocopies | Correspondence | speeches (documents) | Pamphlets		https://archives.cjh.org/repositories/4/resources/3789
14	7	22884	Gregor Raskin Collection				1950	unknown	0	1	0	0	0	0	0	2	2	English German German, Middle High (ca.1050-1500)				https://archives.cjh.org/repositories/7/resources/22884
13	3	13254	Cyrus Adler Papers	Adler, Cyrus, 1863-1940	1863	1940	1937	unknown	0	2	0	0	0	0	0	1	1	The collection is in English, with some Hebrew and Yiddish.	United States -- Emigration and immigration | United States -- History -- Sources | United States -- Statistics | Russia			https://archives.cjh.org/repositories/3/resources/13254
13	3	18376	Justine Wise Polier and Eleanor Roosevelt Correspondences	Polier, Justine Wise, 1903-1987 | Roosevelt, Eleanor, 1884-1962	1903	1987	1972	unknown	0	2	0	0	0	1	0	2	2	English	New York (N.Y.)	Correspondence		https://archives.cjh.org/repositories/3/resources/18376
13	7	22526	Paul Lourié Collection				1952	unknown	0	1	0	0	0	0	0	3	0	German Polish English				https://archives.cjh.org/repositories/7/resources/22526
12	3	15553	Graenum Berger Papers				2002	unknown	0	6	0	0	0	1	0	1	1	The collection is in English with some materials in Hebrew, Amharic, French, and German.	Ethiopia -- History | Ethiopia -- Social conditions | Ethiopia -- Politics and government | Ethiopia | Israel | Palestine | Sudan | Kenya | Africa | Pelham (N.Y.) | Gloversville (N.Y.) | Suriname | West Indies | Ethiopia	clippings (information artifacts) | Minutes (administrative records) | Reports | manuscripts (documents) | Research (documents) | Articles | Photographs | Pamphlets | publications (documents) | epheme		https://archives.cjh.org/repositories/3/resources/15553
12	3	15562	Admiral Lewis Lichtenstein Strauss Papers				1973	unknown	0	1	0	0	0	0	0	2	1	The collection is in English, German, French, Hebrew, and Yiddish.				https://archives.cjh.org/repositories/3/resources/15562
12	3	2753	Ehrlich Family Papers	Ehrlich family			1946	unknown	0	1	0	0	0	0	0	2	1	German	Brazil			https://archives.cjh.org/repositories/3/resources/2753
11	3	13291	Jack Minker (1927- ) Papers	Minker, Jack			2011	unknown	0	2	0	0	0	0	0	1	0	English Russian	Soviet Union -- Politics and government -- 1953-1985 | United States | Soviet Union	clippings (information artifacts) | Correspondence | memorandums | Newsletters | Notes (documents) | Pamphlets | Photographs | Press releases | publications (documents) | Reports		https://archives.cjh.org/repositories/3/resources/13291
11	3	2692	Isaac W. Bernheim papers	Bernheim, Isaac W. (Isaac Wolfe), 1848-1945 | White, Andrew Dickson, 1832-1918	1848	1945	1938	unknown	0	2	0	0	0	0	0	1	0	English	Louisville (Ky.) | Denver (Colo.)			https://archives.cjh.org/repositories/3/resources/2692
11	3	2807	Helena M. Kirstein Scrapbook	Kirstein, Helena M.			1933	unknown	0	2	0	0	0	0	0	1	0	English	Palestine -- Emigration and immigration			https://archives.cjh.org/repositories/3/resources/2807
11	3	6312	Jerry Goodman Papers	Goodman, Jerry			2011	unknown	0	2	0	0	0	0	0	1	0	English French Hebrew	Former Soviet republics | Soviet Union -- Politics and government -- 1953-1985 | United States -- Foreign relations -- Soviet Union	Audiocassettes | News bulletins | broadsides (notices) | clippings (information artifacts) | Correspondence | Compact discs | Legal documents | Magnetic tapes | memorandums | Newsletters | Pamphlets |		https://archives.cjh.org/repositories/3/resources/6312
11	7	20709	Papers of Israel Goldstein	Goldstein, Israel			1962	unknown	0	2	0	0	0	0	0	1	0	English Yiddish Polish Spanish; Castilian German French				https://archives.cjh.org/repositories/7/resources/20709
11	7	21152	Papers of Beinish Silberstein	Silberstein, Beinish, 1902-1942	1902	1942	1941	unknown	0	2	0	0	0	0	0	1	0	English		Poetry		https://archives.cjh.org/repositories/7/resources/21152
11	7	21161	Papers of Jacques Bielinky	Biélinky, Jacques, 1881-			1942	unknown	0	1	0	0	0	0	0	1	2	French	Paris (France) -- Social life and customs | France -- History -- German occupation, 1940-1945 | Paris (France) -- History -- 1940-1944	Diaries		https://archives.cjh.org/repositories/7/resources/21161
11	7	21360	Ossip Dymow Papers	Dymow, Ossip, 1878-1959	1878	1959	1958	unknown	0	2	0	0	0	0	0	1	0	English Yiddish Russian German				https://archives.cjh.org/repositories/7/resources/21360
11	7	22908	The Russian Empire Collection				1938	unknown	0	2	0	0	0	0	0	1	0	Russian Yiddish German				https://archives.cjh.org/repositories/7/resources/22908
10	3	20138	Leah Lieberman Papers				2009	unknown	0	1	0	0	0	0	0	2	0	The collection is in English.				https://archives.cjh.org/repositories/3/resources/20138
10	3	971	Howard Lenhoff Papers	Lenhoff, Howard M.			2007	unknown	0	119	0	0	0	1	0	1	0	English Amharic Hebrew Dutch; Flemish French German Hungarian Italian Russian Spanish; Castilian Yiddish	Ethiopia -- Ethnic relations | Israel -- Ethnic relations | Israel -- Emigration and immigration | Israel | California | Ethiopia	Audiocassettes | clippings (information artifacts) | Correspondence | Drafts (documents) | Notes (documents) | Photographs | Posters | speeches (documents)		https://archives.cjh.org/repositories/3/resources/971
10	7	22066	Max Schay Papers	Schay, Max			1975	unknown	0	1	0	0	0	0	0	2	0	English Yiddish				https://archives.cjh.org/repositories/7/resources/22066
10	7	22123	Nathan Reich Papers	Reich, Nathan, 1900-1992	1900	1992	1969	unknown	0	1	0	0	0	0	0	2	0	English				https://archives.cjh.org/repositories/7/resources/22123
10	7	22199	Leib Koniuchowsky Papers	Koniuchowsky, Leyb, 1910-2003	1910	2003	1950	unknown	0	1	0	0	0	0	0	2	0	English				https://archives.cjh.org/repositories/7/resources/22199
9	7	22063	William Wolpert Papers	Wolpert, William			1945	unknown	0	1	0	0	0	0	0	1	1	English				https://archives.cjh.org/repositories/7/resources/22063
9	7	22426	Papers of Alexander Hertz	Hertz, Alexander			1987	unknown	0	1	0	0	0	0	0	1	1	Polish English				https://archives.cjh.org/repositories/7/resources/22426
7	7	20945	Jewish Folklore Materials Collection				1985	unknown	0	1	0	0	0	0	0	1	0	Yiddish Hebrew Hungarian German				https://archives.cjh.org/repositories/7/resources/20945
7	7	21170	Max N. Meisel Papers	Meisel, Max N.			1954	unknown	0	1	0	0	0	0	0	1	0	Yiddish English	New York (N.Y.)	Account books		https://archives.cjh.org/repositories/7/resources/21170
7	7	21370	Papers of Benjamin Jacob Bialostotzky	Bialostotzky, B. J. (Benjamin Jacob), 1892-1962	1892	1962	1963	unknown	0	1	0	0	0	0	0	1	0	English		Yiddish language -- United States -- Societies, etc.		https://archives.cjh.org/repositories/7/resources/21370
7	7	21582	William Uris Papers	Uris, William			1971	unknown	0	1	0	0	0	0	0	1	0	English	Poland -- History -- German occupation, 1914-1918 | Philadelphia (Pa.) -- Social life and customs			https://archives.cjh.org/repositories/7/resources/21582
7	7	22218	Ralph S. Goodman Collection	Goodman, Ralph S.			1943	unknown	0	1	0	0	0	0	0	1	0	English				https://archives.cjh.org/repositories/7/resources/22218
7	7	22292	Papers of Dona Feldman	Feldman, Dona			1979	unknown	0	1	0	0	0	0	0	1	0	English				https://archives.cjh.org/repositories/7/resources/22292
7	7	22444	Papers of Alexander Schein	Schein, Alexander			1953	unknown	0	1	0	0	0	0	0	1	0	German				https://archives.cjh.org/repositories/7/resources/22444
7	7	530	Zukunft Manuscripts				1997	unknown	0	1	0	0	0	0	0	1	0	The collection is in Yiddish with some English, German, Russian, and Hebrew.	New York (N.Y.)	Correspondence | Financial records | manuscripts (documents) | Minutes (administrative records)		https://archives.cjh.org/repositories/7/resources/530
6	3	13264	Shirley T. Joseph Papers	Joseph, Shirley T.			1998	unknown	0	2	0	0	0	1	0	1	0	English	Buffalo (N.Y.) | Erie County (N.Y.)	Audiocassettes | Buttons (information artifacts) | clippings (information artifacts) | Correspondence | Drafts (documents) | memorandums | Minutes (administrative records) | Newsletters | Notebooks | 		https://archives.cjh.org/repositories/3/resources/13264
6	3	15554	Pamela B. Cohen Papers	Cohen, Pamela B.			2009	unknown	0	2	0	0	0	1	0	1	0	English Russian Hebrew Icelandic	Former Soviet republics | Soviet Union | United States	Audiocassettes | broadsides (notices) | Case files | clippings (information artifacts) | Correspondence | Commemorative jewelry | DVDs | memorandums | Microcassettes | Newsletters | Pamphlets | Photog		https://archives.cjh.org/repositories/3/resources/15554
6	6	58	Ina Golub Papers	Golub, Ina, 1938-			2014	unknown	0	1	0	0	0	1	0	1	8	The collection is in English.	New Jersey | New York (N.Y.)	Judaica | Correspondence | Financial records | Photographs | clippings (information artifacts) | Sketches | slides (photographs) | Audiovisual materials		https://archives.cjh.org/repositories/6/resources/58
