resource_template_label,item_set_id,resource_class_term,is_public,dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0022-012-R0006,IL-MTFN-001-G-F-0022-012,Engagement Announcement of Ernst Weil and Lisbeth Frank,2 דפים מעיתון גרמני Deffentlicher Anzeiger für de Kreis Kreuznach משנת 1922. מופיעה מודעה על אירוסי ארנסט וייל עם ליזבט פרנק.,2 Seiten aus der deutschen Zeitung Deffentlicher Anzeiger für de Kreis Kreuznach aus dem Jahr 1922. Eine Anzeige über die Verlobung von Ernst Weil mit Lisbeth Frank erscheint.,2 pages from the German newspaper Deffentlicher Anzeiger für de Kreis Kreuznach from the year 1922. An announcement of the engagement of Ernst Weil with Lisbeth Frank appears.,German,גזיר עיתון|News Clipping,print,original,,1922,1922,,2
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0022-012-R0007,IL-MTFN-001-G-F-0022-012,"Page from Der Bauer, 1926",דף מעיתון גרמני Der Bauer משנת 1926.,Seite aus der deutschen Zeitung Der Bauer aus dem Jahr 1926.,Page from the German newspaper Der Bauer from the year 1926.,German,גזיר עיתון|News Clipping,print,original,,1926,1926,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0022-012-R0008,IL-MTFN-001-G-F-0022-012,Envelope with Names and Dates in Gold Ink,מעטפה עם רבוע נייר עתיק עליו כתובים בדיו זהב בעברית/יידיש שמות של מתים ותאריכים עבריים במאה ה-19. מצורף עמוד עם שחזור הכתוב במקור.,"Ein Umschlag mit einem alten Papierquadrat, auf dem in goldener Tinte auf Hebräisch/Jiddisch Namen von Verstorbenen und hebräische Daten aus dem 19. Jahrhundert geschrieben sind. Eine Seite mit der Rekonstruktion des ursprünglichen Textes ist beigefügt.",An envelope with an old square of paper on which names of deceased and Hebrew dates from the 19th century are written in gold ink in Hebrew/Yiddish. A page with the reconstruction of the original text is attached.,Hebrew|Yiddish,מעטפה|Envelope,handwriting,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0022-012-R0009,IL-MTFN-001-G-F-0022-012,Textile Armband with German Inscription from 1917,מנז'ט מטקסטיל לזרוע עם כתובת בגרמנית: U;Boot Spende Opfer Tag 1917 תרגום: תרומה לצוללת יום הקורבן/הקרבה (?) 1917.,Textilarmband mit deutscher Aufschrift: U;Boot Spende Opfer Tag 1917 Übersetzung: Spende für U-Boot Opfertag 1917.,Textile armband with German inscription: U;Boot Spende Opfer Tag 1917 Translation: Submarine Donation Sacrifice Day 1917.,German,לא מזוהה,other,original,,1917,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0022-012-R0010,IL-MTFN-001-G-F-0022-012,Handmade Textile Items,"פרטי טקסטיל, עבודות יד בין היתר: לימוד רקמת צלבים, כובע לתינוק, סינר מפואר, בגד לתינוק, שקית לפאת נשים, ציפיות לכר, מטפחת אף.","Textilien, Handarbeiten unter anderem: Kreuzstichlernen, Babymütze, prächtige Schürze, Babybekleidung, Tasche für Frauenperücke, Kissenbezüge, Taschentuch.","Textile items, handmade works including: learning cross-stitching, baby hat, fancy apron, baby garment, bag for women's wig, pillowcases, handkerchief.",Unspecified,לא מזוהה,,other,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0022-012-R0011,IL-MTFN-001-G-F-0022-012,Winged Words from a 1913 Calendar,אמרות כנף מלוח שנה משנת 1913.,Geflügelte Worte aus einem Kalender von 1913.,Winged words from a calendar from 1913.,Hebrew,Calendar,print,original,,1913,1913,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0022-012-R0012,IL-MTFN-001-G-F-0022-012,"יומן כיס קטן ""יומן מאיר לאשה"" 1960","יומן כיס קטן ""יומן מאיר לאשה"" 1960.","Kleines Taschenbuch ""Meir Tagebuch für Frauen"" 1960.","Small pocket diary ""Meir Diary for Women"" 1960.",Hebrew,יומן|Diary,,original,,1960,1960,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0025-001-R0001,IL-MTFN-001-G-F-0025-001,Photograph of a Family Tree,צילום אילן יוחסין;,Fotografie eines Stammbaums,Photograph of a family tree,Unspecified,תצלום|Photograph,photography,copy,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0025-001-R0002,IL-MTFN-001-G-F-0025-001,Scanned Images of G. Michelson's Painting,8 תמונות סרוקות מציורו של ג. מיכלסון;,8 gescannte Bilder von einem Gemälde von G. Michelson;,8 scanned images from a painting by G. Michelson;,Unspecified,תצלום|Photograph,drawing,copy,G. Michelson,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0029-001-R0001,IL-MTFN-001-G-F-0029-001,Biography by Hedwig Mayer,"חוברת/ביוגרפיה שנכתבה ע""י אשת אלכסנדר מאייר, הדוויג מאייר לבית שירר;","Broschüre/Biografie geschrieben von der Frau von Alexander Mayer, Hedwig Mayer geborene Schirer;","Booklet/Biography written by Alexander Mayer's wife, Hedwig Mayer née Schirer;",Hebrew,חוברת|Booklet|קורות חיים|Biography,,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0029-001-R0003,IL-MTFN-001-G-F-0029-001,Photographs of Memorial Articles,"צילומים של מאמרים שנכתבו לזכרו, בגרמנית;","Fotografien von Artikeln, die zu seinem Gedenken geschrieben wurden, auf Deutsch;","Photographs of articles written in his memory, in German;",German,תצלום|Photograph,photography,copy,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0029-001-R0004,IL-MTFN-001-G-F-0029-001,Portrait Picture,תמונת דיוקן,Porträtbild,Portrait picture,Unspecified,תצלום|Photograph,photography,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0031-001-R0001,IL-MTFN-001-G-F-0031-001,Military Notebook of Mois Liegner,פנקס צבאי של מואיס ליגנר Mois Liegner; 1914,Militärbuch von Mois Liegner; 1914,Military notebook of Mois Liegner; 1914,Hebrew,פנקס|Notepad,,original,Mois Liegner,1914,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0031-001-R0002,IL-MTFN-001-G-F-0031-001,Military Passport of Lillinger,דרכון צבאי של לילינגר; 1916,Militärpass von Lillinger; 1916,Military passport of Lillinger; 1916,Other,תעודה|Certificate,,original,Lillinger,1916,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0034-001-R0001,IL-MTFN-001-G-F-0034-001,Portrait Photos of Siegfried Uphäuser,תמונות דיוקן של זיגפריד אופהויזר,Porträtfotos von Siegfried Uphäuser,Portrait photos of Siegfried Uphäuser,Unspecified,תצלום|Photograph,photography,original,זיגפריד אופהויזר,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0034-001-R0002,IL-MTFN-001-G-F-0034-001,Biography Booklet,חוברת ביוגרפיה בעברית ובגרמנית,Biografiebroschüre auf Hebräisch und Deutsch,Biography booklet in Hebrew and German,Hebrew|German,חוברת|Booklet,print,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0034-001-R0003,IL-MTFN-001-G-F-0034-001,Photographs of Articles by and about Z. Ofehuser,"צילומי מאמרים כתובים ע""י ז. אופהיוזר ומאמרים שנכתבו עליו","Fotografien von Artikeln geschrieben von Z. Ofehuser und Artikel, die über ihn geschrieben wurden",Photographs of articles written by Z. Ofehuser and articles written about him,Unspecified,מסמך מתורגם|Translated Document,photography,copy,ז. אופהיוזר,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0034-001-R0004,IL-MTFN-001-G-F-0034-001,Publications and Photographs on Union in Germany,פרסומים וצילומי פרסומים בהקשר עם נושא הסתדרות בגרמניה בה פעל ז. אופהייזר רבות,"Veröffentlichungen und Fotografien von Veröffentlichungen im Zusammenhang mit dem Thema Gewerkschaft in Deutschland, in der Z. Ophäuser viel tätig war.","Publications and photographs of publications related to the topic of the union in Germany, where Z. Ophäuser was very active.",German,לא מזוהה,,other,Z. Ophäuser,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0035-001-R0001,IL-MTFN-001-G-F-0035-001,"Graphic Work with Compass Rose for Germany Map, 1933","יצירה גרפית, שבתחתיתה נירשם בגרמנית: שושנת הרוחות עבור מפת גרמניה. היצירה ניתנה במתנה (לא ידוע למי) לרגל השנה החדשה, שנת 1933 בליווי ברכות לבביות. הכיתוב המלווה את היצירה הגרפית הוא בגרמנית.","Grafisches Werk, am unteren Rand auf Deutsch geschrieben: Windrose für die Karte von Deutschland. Das Werk wurde als Geschenk (unbekannt an wen) zum Neujahr 1933 mit herzlichen Grüßen gegeben. Der begleitende Text des grafischen Werkes ist auf Deutsch.","Graphic work, inscribed at the bottom in German: Compass rose for the map of Germany. The work was given as a gift (unknown to whom) for the New Year 1933 with heartfelt greetings. The accompanying text of the graphic work is in German.",German,אלמנט גרפי|Graphic Element,drawing,original,,1933,,,
Legal Documents,7615,bibo:LegalDocument,true,IL-MTFN-001-G-F-0038-001-R0001,IL-MTFN-001-G-F-0038-001,17th Century Jewish Protection Letters,2 מכתבים חסות ליהודים מהמאה ה-17;,2 Schutzbriefe für Juden aus dem 17. Jahrhundert,2 letters of protection for Jews from the 17th century,Hebrew,מכתב|Letter,,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0039-001-R0001,IL-MTFN-001-G-F-0039-001,Family Tree of Landauer and Frenkel Families,"2 חוברות זהות באנגלית; אילן היוחסין של משפחות לנדאואר ופרנקל; נכתב ע""י בן המשפחה דר"" אליאס קרל פרנקל",2 identische Broschüren auf Englisch; Der Stammbaum der Familien Landauer und Frenkel; Geschrieben von einem Familienmitglied Dr. Elias Karl Frenkel,2 identical booklets in English; The family tree of the Landauer and Frenkel families; Written by a family member Dr. Elias Karl Frenkel,English,חוברת|Booklet,print,original,Dr. Elias Karl Frenkel,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0040-001-R0001,IL-MTFN-001-G-F-0040-001,"Notebook with Graphology Exercises, 1941","1941, מחברת עם תרגילים במדע הגרפולוגיה;","1941, Notizbuch mit Übungen in der Graphologie;","1941, Notebook with exercises in graphology;",Hebrew,פנקס|Notepad,handwriting,original,,1941,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0041-001-R0002,IL-MTFN-001-G-F-0041-001,Portrait Photos of Bernhard Blumenthal,תמונות דיוקן של ברנהרד בלומנטל Bernhard Blumenthal.,Porträtfotos von Bernhard Blumenthal,Portrait photos of Bernhard Blumenthal,Unspecified,תצלום|Photograph,photography,original,Bernhard Blumenthal,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0041-001-R0003,IL-MTFN-001-G-F-0041-001,Gravestone Picture in Germany,תמונת מצבה קברו בגרמניה.,Bild eines Grabsteins in Deutschland.,Picture of a gravestone in Germany.,Irrelevant,תצלום|Photograph,photography,original,,,,,
Reports,7617,arkivo:Report,true,IL-MTFN-001-G-F-0041-001-R0004,IL-MTFN-001-G-F-0041-001,Photographs of Certificates: Report on Unauthorized Trade of Jews 1824,צילומים של תאודות: דין וחשבון של מסחר לא מאושר של יהודים 1824.,Fotografien von Zeugnissen: Bericht über den nicht genehmigten Handel von Juden 1824.,Photographs of certificates: Report on unauthorized trade of Jews 1824.,Hebrew|עברית,תצלום|Photograph,photography,copy,,1824,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0041-001-R0005,IL-MTFN-001-G-F-0041-001,Citizenship for Baruch Blumenthal,קבלת אזרחות לברוך (ברנהרד) בלומנטל.,Einbürgerung für Baruch (Bernhard) Blumenthal.,Citizenship for Baruch (Bernhard) Blumenthal.,Hebrew,תעודה|Certificate,,original,Baruch (Bernhard) Blumenthal,,,,
Financial Documents,7618,arkivo:Financial_Document,true,IL-MTFN-001-G-F-0041-001-R0006,IL-MTFN-001-G-F-0041-001,"List of Blumenthal Family Homeowners and Town Revenues, 1797","רשימת בעלי הבית של משפ. בלומנטל ב אולדנדורף Lange Str.25, Oldendorf; 1797 רשימת ההכנסות של העיירה אולנדורף Olendorf.","Liste der Hausbesitzer der Familie Blumenthal in Oldendorf Lange Str.25, Oldendorf; 1797 Liste der Einnahmen der Stadt Olendorf.","List of the homeowners of the Blumenthal family in Oldendorf Lange Str.25, Oldendorf; 1797 List of the revenues of the town Olendorf.",Hebrew,רשימה|List,,original,,1797,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0041-001-R0007,IL-MTFN-001-G-F-0041-001,Certificate for Terze Blumenthal,"אישור עבור האלמנה תרזה בלומנטל Terze Blumenthal, להחזיק מכולת אבל אסור לה למכור סוכר וקפה.","Bescheinigung für die Witwe Terze Blumenthal, einen Lebensmittelladen zu führen, aber es ist ihr verboten, Zucker und Kaffee zu verkaufen.","Certificate for the widow Terze Blumenthal to operate a grocery store, but she is prohibited from selling sugar and coffee.",Hebrew,תעודה|Certificate,,original,Terze Blumenthal,,,,
Reports,7617,arkivo:Report,true,IL-MTFN-001-G-F-0041-001-R0008,IL-MTFN-001-G-F-0041-001,Summary of Oldendorf,סיכום בגרמנית מודפס של העיירה אולדנדורף.,Gedruckte Zusammenfassung der Stadt Oldendorf.,Printed summary of the town of Oldendorf.,German,דוח|Report,typewriting,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0041-003-R0001,IL-MTFN-001-G-F-0041-003,Commercial Diary of Bernhard Blumenthal,"1879-1888 יומן מסחרי של ברנהרד בלומנטל בצורת מכתבים עסקיים בשפות גרמנית, אנגלית, והולנדית; הדפסה של דפי היומן בגרמנית ואנגלית. ההדפסה נעשתה ע""י גב' אלישבע שנפלד;","1879-1888 Geschäftstagebuch von Bernhard Blumenthal in Form von Geschäftsbriefen in den Sprachen Deutsch, Englisch und Niederländisch; Druck der Tagebuchseiten in Deutsch und Englisch. Der Druck wurde von Frau Elisheva Schenfeld durchgeführt.","1879-1888 Commercial diary of Bernhard Blumenthal in the form of business letters in German, English, and Dutch; printing of the diary pages in German and English. The printing was done by Mrs. Elisheva Schenfeld.",German|English|Other,מכתב|Letter,typewriting,original,Bernhard Blumenthal,1879-1888,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0041-003-R0002,IL-MTFN-001-G-F-0041-003,List of Holocaust Victims from Oldendorf,רשימת שמות של קורבנות השואה מקהילת אולנדורף Oldendorf nan,Liste der Namen von Holocaust-Opfern aus der Gemeinde Oldendorf,List of names of Holocaust victims from the Oldendorf community,Hebrew,רשימה|List,,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0042-001-R0002,IL-MTFN-001-G-F-0042-001,Portrait of Dr. Fritz Schiff,"תמונת דיוקן של ד""ר פריץ שיף;",Porträtfoto von Dr. Fritz Schiff,Portrait photograph of Dr. Fritz Schiff,Unspecified,תצלום|Photograph,photography,original,Dr. Fritz Schiff,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0042-001-R0003,IL-MTFN-001-G-F-0042-001,Family Trees,אילנות יוחסין;,Stammbäume,Family Trees,Unspecified,לא מזוהה,,other,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0042-001-R0004,IL-MTFN-001-G-F-0042-001,Entry of Schiff Fritz from an Encyclopedia,"צילום עמוד עם הערך: שיף פריץ, מתוך לקסיקון/אנציקלופדיה, אנגלית.","Fotografie einer Seite mit dem Eintrag: Schiff Fritz, aus einem Lexikon/Enzyklopädie, Englisch.","Photograph of a page with the entry: Schiff Fritz, from a lexicon/encyclopedia, English.",English,תצלום|Photograph,photography,copy,Schiff Fritz,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0047-001-R0001,IL-MTFN-001-G-F-0047-001,Newspaper Clipping on Shmaryahu Levin Memorial,"קטע מעיתון עברי ""הבקר"", 1941, על אזכרה לשמריה לוין, 6 שנים לפטירתו.","Ein Ausschnitt aus der hebräischen Zeitung ""HaBoker"", 1941, über eine Gedenkfeier für Shmaryahu Levin, 6 Jahre nach seinem Tod.","A section from the Hebrew newspaper ""HaBoker"", 1941, about a memorial for Shmaryahu Levin, 6 years after his passing.",Hebrew,גזיר עיתון|News Clipping,print,original,Shmaryahu Levin,,1941,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-002-R0005,IL-MTFN-001-G-F-0047-002,"Photographs of a postcard and letter from Arnold Zweig, 1926","תצלומים, של גלויה ומכתב בגרמנית אל לאוני & ד""ר לנדסברג מאת ארנולד צוייג Arnold Zweig מ-1926.","Fotografien, von einer Postkarte und einem Brief auf Deutsch an Leoni & Dr. Landsberg von Arnold Zweig aus dem Jahr 1926.","Photographs, of a postcard and a letter in German to Leoni & Dr. Landsberg from Arnold Zweig from 1926.",German|גרמנית,תצלום|Photograph|גלויה|Postcard|מכתב|Letter,photography,original,Arnold Zweig,1926,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-002-R0010,IL-MTFN-001-G-F-0047-002,ברכה לראש השנה מאת הנרייטה סאלד,ברכה לראש השנה בעברית ללאוני מאת הנרייטה סאלד משנת 1939.,Neujahrsgruß auf Hebräisch an Leonie von Henrietta Szold aus dem Jahr 1939.,New Year's greeting in Hebrew to Leonie from Henrietta Szold from the year 1939.,Hebrew,מכתב|Letter,handwriting,original,הנרייטה סאלד,1939,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-002-R0013,IL-MTFN-001-G-F-0047-002,"Postcard from Hans Cohen to the Landsberg Couple, 1930","גלויה כתובה גרמנית אל הזוג לנדסברג מאת הנס כהן, מודה על הכנסת האורחים, משנת 1930.","Eine auf Deutsch geschriebene Postkarte an das Ehepaar Landsberg von Hans Cohen, dankt für die Gastfreundschaft, aus dem Jahr 1930.","A postcard written in German to the Landsberg couple from Hans Cohen, thanking for the hospitality, from the year 1930.",German,גלויה|Postcard,handwriting,original,Hans Cohen,1930,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-003-R0001,IL-MTFN-001-G-F-0047-003,Photos of Dr. Chaim Weizmann,"שלש תמונות (בתוך מעטפה) ד""ר חיים ויצמן עם ד""ר אלפרד לנדסברג, ד""ר חיים ויצמן עם הבנות לבית לנדסברג, ד""ר חיים ויצמן בתמונה קבוצתית.","Drei Fotos (in einem Umschlag) Dr. Chaim Weizmann mit Dr. Alfred Landsberg, Dr. Chaim Weizmann mit den Töchtern der Familie Landsberg, Dr. Chaim Weizmann in einem Gruppenfoto.","Three photos (inside an envelope) Dr. Chaim Weizmann with Dr. Alfred Landsberg, Dr. Chaim Weizmann with the daughters of the Landsberg family, Dr. Chaim Weizmann in a group photo.",Unspecified,תצלום|Photograph|מעטפה|Envelope,photography,original,Chaim Weizmann,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-003-R0002,IL-MTFN-001-G-F-0047-003,"Scanned Image of Alfred Landsberg, 1951",תמונה סרוקה של אלפרד לנדסברג מ-1951.,Gescanntes Bild von Alfred Landsberg aus dem Jahr 1951.,Scanned image of Alfred Landsberg from 1951.,Unspecified,תצלום|Photograph,photography,original,Alfred Landsberg,1951,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0047-003-R0006,IL-MTFN-001-G-F-0047-003,Invitation to Memorial Day for Dr. Chaim Weizmann 1958,"הזמנה של ""הנהלת יד חיים ויצמן"" לעצרת ביום הזכרון לד""ר חיים ויצמן ז""ל שנת 1958.","Einladung der ""Verwaltung von Yad Chaim Weizmann"" zur Versammlung am Gedenktag für Dr. Chaim Weizmann seligen Andenkens im Jahr 1958.","Invitation from the ""Management of Yad Chaim Weizmann"" to the assembly on the memorial day for Dr. Chaim Weizmann of blessed memory in 1958.",Hebrew,הזמנה|Invitation,,original,,1958,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0047-003-R0007,IL-MTFN-001-G-F-0047-003,The Weizmann Archives Brochures,"2 ברושורים זהים באנגלית The Weizmann Archives, הארכיונים של וייצמן עם רשימות המסמכים שבארכיון ביד חיים ויצמן בספריית מכון ויצמן ברחובות. ללא תאריך.","2 identische Broschüren auf Englisch The Weizmann Archives, die Weizmann-Archive mit Listen der Dokumente im Archiv bei Chaim Weizmann in der Bibliothek des Weizmann-Instituts in Rechovot. Ohne Datum.","2 identical brochures in English The Weizmann Archives, the Weizmann Archives with lists of documents in the archive at Chaim Weizmann in the library of the Weizmann Institute in Rehovot. No date.",English,ברושור|Brochure,print,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-003-R0008,IL-MTFN-001-G-F-0047-003,Personal Letters from Chaim Weizmann to the Landsbergs,מכתבים אישיים משנות ה-30 וה-20 למאה ה-20 שכותב חיים ויצמן אל ידידיו לאוני ואלפרד לנדסברג לויזדן Wiesbaden.,"Persönliche Briefe aus den 20er und 30er Jahren des 20. Jahrhunderts, geschrieben von Chaim Weizmann an seine Freunde Leoni und Alfred Landsberg in Wiesbaden.",Personal letters from the 1920s and 1930s written by Chaim Weizmann to his friends Leoni and Alfred Landsberg in Wiesbaden.,Hebrew,מכתב|Letter,handwriting,original,Chaim Weizmann,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-003-R0013,IL-MTFN-001-G-F-0047-003,1931 Group Photo in Palestine,"1931 תמונה קבוצתית בפלשתינה שחור/לבן, גזורה מעיתון כל שהוא, בה ניתן לראות חלק ממנהיגי הישוב, החל בד""ר חיים וייצמן. לתמונה יש כתובית באנגלית.","1931 Gruppenfoto in Palästina schwarz/weiß, aus irgendeiner Zeitung ausgeschnitten, auf dem einige der Führer der Gemeinde zu sehen sind, beginnend mit Dr. Chaim Weizmann. Das Foto hat eine englische Beschriftung.","1931 group photo in Palestine black/white, cut from some newspaper, showing some of the leaders of the community, starting with Dr. Chaim Weizmann. The photo has a caption in English.",Hebrew|English,תצלום|Photograph,photography,copy,Chaim Weizmann,1931,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-004-R0004,IL-MTFN-001-G-F-0047-004,"Photographs of Letters to Alfred Landsberg, 1932",תצלומי מכתבים בגרמנית אל אלפרד לנדסברג מאת שמריה לוין Shmarja Levin משנת 1932.,Fotografien von Briefen auf Deutsch an Alfred Landsberg von Shmarja Levin aus dem Jahr 1932.,Photographs of letters in German to Alfred Landsberg from Shmarja Levin from the year 1932.,German|גרמנית,מכתב|Letter,photography,copy,Alfred Landsberg,1932,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-004-R0015,IL-MTFN-001-G-F-0047-004,1925 Photo of Jacob Hahn and Sister,1925 תמונה של יעקב האן Jacob Hahn ואחותו שרה ברלינר Sara Berliner לבית האן.,1925 Foto von Jacob Hahn und seiner Schwester Sara Berliner geborene Hahn.,1925 picture of Jacob Hahn and his sister Sara Berliner née Hahn.,Unspecified,תצלום|Photograph,photography,original,Jacob Hahn|Sara Berliner,1925,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-004-R0016,IL-MTFN-001-G-F-0047-004,Portrait Photos of Edgar Heilbrunner,"3 תמונות דיוקן של אדגר היילברונר Edgar Heilbrunner, כימאי.","3 Porträtfotos von Edgar Heilbrunner, Chemiker.","3 portrait photos of Edgar Heilbrunner, chemist.",Unspecified,תצלום|Photograph,photography,original,Edgar Heilbrunner,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-004-R0017,IL-MTFN-001-G-F-0047-004,Group Photo of 3 Children,"תמונה קבוצתית של 3 ילדים, 2 בנים ובת, לא מזוהים. על גב התמונה נרשם Winter 1935-36.","Gruppenfoto von 3 Kindern, 2 Jungen und ein Mädchen, nicht identifiziert. Auf der Rückseite des Fotos steht Winter 1935-36.","Group photo of 3 children, 2 boys and a girl, unidentified. On the back of the photo is written Winter 1935-36.",Unspecified,תצלום|Photograph,photography,original,,1935-36,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0047-012-R0006,IL-MTFN-001-G-F-0047-012,Envelope with photographs sent to the Landsberg couple,מעטפה עם תצלומי המעטפות שנשלחו אל הזוג לנדסברג.,"Umschlag mit Fotografien der Umschläge, die an das Ehepaar Landsberg gesendet wurden.",Envelope with photographs of the envelopes sent to the Landsberg couple.,Unspecified,מעטפה|Envelope|תצלום|Photograph,photography,other,לנדסברג,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-013-R0001,IL-MTFN-001-G-F-0047-013,Notebook of Leonie Landsberg with Letters Dictated by Shmarya Levin,"תצלום של פנקס שהיה שייך ללאוני לנדסברג בו כתבה את המכתבים ששמריה לוין היה מקריא לה, מלבד החברות שלהם, היתה הכתבנית שלו.","Foto eines Notizbuchs, das Leonie Landsberg gehörte, in dem sie die Briefe schrieb, die Shmarya Levin ihr diktierte. Neben ihrer Freundschaft war sie seine Schreibkraft.","Photograph of a notebook that belonged to Leonie Landsberg in which she wrote the letters that Shmarya Levin dictated to her. Besides their friendship, she was his typist.",Hebrew|עברית,תצלום|Photograph|פנקס|Notepad,photography,original,Leonie Landsberg,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-013-R0002,IL-MTFN-001-G-F-0047-013,"Letter from Leoni to Shmarya Levin, 1932","הדפים הראשונים של הפנקס, מכתב שלאוני כותבת לשמריה לוין ב-1932.","Die ersten Seiten des Notizbuchs, ein Brief, den Leoni 1932 an Shmarya Levin schreibt.","The first pages of the notebook, a letter that Leoni writes to Shmarya Levin in 1932.",Hebrew,מכתב|Letter,handwriting,original,Shmarya Levin,1932,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0047-013-R0003,IL-MTFN-001-G-F-0047-013,"Photograph of a Letter from Anja Enja, 1938",תצלום של מכתב מאת אניה Enja משנת 1938.,Foto eines Briefes von Anja Enja aus dem Jahr 1938.,Photograph of a letter from Anja Enja from the year 1938.,Unspecified,תצלום|Photograph,photography,copy,Anja Enja,1938,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0047-013-R0004,IL-MTFN-001-G-F-0047-013,תצלומי מכתבים מאת שמריה לוין אל לאוני לנדסברג,תצלומי מכתבים בגרמנית מאת שמריה לוין אל לאוני לנדסברג אותה הוא מכנה 'ידידתי היקרה'. המכתבים משנות ה-30 של המאה ה-20.,"Fotografien von Briefen auf Deutsch von Shmarya Levin an Leoni Landsberg, die er 'meine liebe Freundin' nennt. Die Briefe stammen aus den 1930er Jahren des 20. Jahrhunderts.","Photographs of letters in German from Shmarya Levin to Leoni Landsberg, whom he calls 'my dear friend'. The letters are from the 1930s of the 20th century.",German|גרמנית,מכתב|Letter,photography,copy,שמריה לוין,1930,,,
