item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class
IL-MTFN-001-G-F-0113-011-R0001	IL-MTFN-001-G-F-0113-011	diary	Tagebuch des Alters	Diary of Maturity; typewritten in German, approximately 200 pages	Tagebuch des Alters; geschrieben auf einer Schreibmaschine in Deutsch, ungefähr 200 Seiten	Tagebuch des Alters יומן הבגרות ; כתוב במכונת כתיבה בגרמנית, בערך 200 עמודים	German		Typewritten	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0113-012-R0001	IL-MTFN-001-G-F-0113-012	visit	Hoppla, אנחנו נוסעים לארץ הוויקיטים	Hoppla, we're going to Vikingland; Translation: Hoppla, we're going to Vikingland. Dr. Fritz Wolf writes a travel report to Norway and Germany and dedicates it to his fellow travelers. The trip was in a group with guides. The folder also contains a list of group members. 1989, 121 pages	Hoppla, wir fahren ins Wikingerland; Übersetzung: Hoppla, wir fahren ins Wikingerland. Dr. Fritz Wolf schreibt einen Reisebericht nach Norwegen und Deutschland und widmet ihn seinen Mitreisenden. Die Reise war in einer Gruppe mit Führern. In der Mappe befindet sich auch eine Liste der Gruppenmitglieder. 1989, 121 Seiten	"Hoppla wir fahren ins Wikingerland; תרגום: הופלה, אנחנו נוסעים לארץ הוויקיטים ד""ר פריץ וולף כותב דוח הנסיעות לנורבגיה וגרמניה ומקדיש אותו לחבריו בנסיעה. הנסיעה היתה בקבוצה עם מדריכים. בתיק גם רשימוה של חברי הקבוצה. 1989, 121 עמודים"	Hebrew|German	1989	Typewritten	דוח|Report|רשימה|List	Dr. Fritz Wolf	Report
IL-MTFN-001-G-F-0113-015-R0002	IL-MTFN-001-G-F-0113-015	diary	Peas and Potato Peels Diary	Peas and Potato Peels; Translation: Peas and Potato Peels; the prose is structured as a diary; daily writing; 1993-1994, unnumbered pages, a total of 45 pages counted	Erbsen und Kartoffelschale; Übersetzung: Erbsen und Kartoffelschalen; die Prosa ist als Tagebuch strukturiert; tägliches Schreiben; 1993-1994, unnummerierte Seiten, insgesamt 45 Seiten gezählt	"Erbsen und Kartoffelschale ; תרגום: אפונה וקליפות תפוח אדמה; הפרוזה ערוכה כיומן; כתיבה יום-יומית; 1993-1994 עמודים לא ממוסםרים, נספרו סה""כ 45 עמודים"	Hebrew|German	1993-1994	Typewritten	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0113-015-R0006	IL-MTFN-001-G-F-0113-015	diary	Thoughts and Events 1986	Thoughts and Events 1986; Translation: Thoughts and Events 1986 Biographical notes in diary form 1986, pages 104	Gedanken und Ereignisse 1986; Übersetzung: Gedanken und Ereignisse 1986 Biographische Notizen in Tagebuchform 1986, Seiten 104	Gedanken und Geschehnis 1986; תרגום: מחשבות ואירועים 1986 רשימות ביוגרפיה בצורת יומן 1986, עמודים 104	German|Hebrew	1986	Typewritten	רשימות|Personal Notes|יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0113-016-R0008	IL-MTFN-001-G-F-0113-016	visit	Die Reise nach Innen und Aussen	The Journey to the Inside and Outside; The Journey to the Inside and Outside, 84 pages, no date	Die Reise nach Innen und Aussen; Die Reise nach Innen und Aussen, 84 Seiten, kein Datum	Die Reise nach Innen und Aussen ; הנסיע אל התוך והחוץ, 84 עמודים, אין תאריך	German|עברית		Unknown	ספר|Book		Creative Nonfiction
IL-MTFN-001-G-F-0113-017-R0001	IL-MTFN-001-G-F-0113-017	diary	Excerpts from Alfred Wolf's Writings	The Lady Daughter; Excerpts from the thesis of Dr. Alfred Wolf; Excerpts from the war diary of Dr. Alfred Wolf; Alfred the brother of Fritz Wolf 1914;1918; Translation: The Lady Daughter. Dr. Fritz Wolf uses excerpts from his brother Alfred's writings from 1. the thesis 2. the war diary 1914-1918; The manuscript was written by Fritz in 1948 in Nahariya, 87 pages.	Das Fräulein Tochter; Auszüge aus der Diplomarbeit von Dr. Alfred Wolf; Auszüge aus dem Kriegstagebuch von Dr. Alfred Wolf; Alfred der Bruder von Fritz Wolf 1914;1918; Übersetzung: Die Dame Tochter. Dr. Fritz Wolf verwendet Auszüge aus den Schriften seines Bruders Alfred aus 1. der Diplomarbeit 2. dem Kriegstagebuch 1914-1918; Das Manuskript wurde 1948 von Fritz in Nahariya geschrieben, 87 Seiten.	"Das Fräulein Tochter ; Auszüge aus der Diplomarbeit von Dr. Alfred Wolf; Auszüge aus dem Kriegstagebuch von Dr. Alfred Wolf; Alfred der Bruder von Fritz Wolf 1914;1918; תרגום: הגברת בת. ד""ר פריץ וולף משתמש בקטעי כתיבה של אחיו אלפרד מתוך 1. עבודת הדיפלומה 2. יומן המלחמה 1914-1918; המנוסקריפט נכתב ע""י פריץ ב-1948 בנהריה, 87 עמודים."	Hebrew|German	1948	Unknown	Translated Document|Diary	Fritz Wolf	EgoDocument
IL-MTFN-001-G-F-0113-017-R0004	IL-MTFN-001-G-F-0113-017	diary	Excerpts from Alfred Wolf's War Diary 1914-1918	Excerpts from the war book of Alfred Wolf 1914-1918 in the same binding; Translation: Excerpts from the war diary of Alfred Wolf 1914-1918, 16 pages, no date;	Auszüge aus dem Kriegsbuch von Alfred Wolf 1914-1918 in derselben Bindung; Übersetzung: Auszüge aus dem Kriegstagebuch von Alfred Wolf 1914-1918, 16 Seiten, kein Datum;	Auszüge aus dem Kriegsbuch von Alfred Wolf 1914-1918 באותה כריכה; תרגום: קטעים מתוך יומן המלחמה של אלפרד וולף 1914-1918, 16 עמודים, אין תאריך;	German|עברית		Unknown	מסמך מתורגם|Translated Document	Alfred Wolf	EgoDocument
IL-MTFN-001-G-F-0113-020-R0002	IL-MTFN-001-G-F-0113-020	memoir	Memories of Jackie Niebock	Memories of Jackie Niebock, Gentleman and Womanizer	Erinnerungen des Jackie Niebock / Gentleman und Frauenjäger	Memorien des Jackie Niebock / Gentelman und Frauenjäger; תרגום: זכרונות של ז'קי ניבוק, גנטלמן ורודף נשים, 8 עמודים, אין תאריך;	German|Hebrew		Unknown	Translated Document	Jackie Niebock	EgoDocument
IL-MTFN-001-G-F-0113-027-R0001	IL-MTFN-001-G-F-0113-027	visit	Die Heimkehr; A play by Fritz Wolf	The Return Home; A play in four acts by Fritz Wolf; The piece is dedicated to Margot Klausner; Translation: The Return Home (And the sons shall return to their borders) a play in 4 acts by Fritz Wolf, bound, 67 pages 1938-1939 dedicated to Margot Klausner	Die Heimkehr; Spiel in vier Akten von Fritz Wolf; Das Stück ist Margot Klausner Gewidmet; Übersetzung: Die Heimkehr (Und die Söhne kehren heim) ein Stück in 4 Akten von Fritz Wolf, gebunden, 67 Seiten 1938-1939 gewidmet Margot Klausner	Die Heimkehr; Spiel in vier Akten von Fritz Wolf ; Das Stück ist Margot Klausner Gewidmet; תרגום: החזרה הביתה (ושבו בנים לגבולם) מחזה ב-4 מערכות מאת פריץ וולף, כרוך, 67 עמודים 1938-1939 מוקדש למרגוט קלאוזנר	German|עברית	1938-1939	Print	ספר|Book	Margot Klausner	Creative Fiction
IL-MTFN-001-G-F-0113-039-R0025	IL-MTFN-001-G-F-0113-039	diary	Chico's Diary Excerpt	From Chico's Diary: at Midnight nan	Aus Chicos Tagebuch: um Mitternacht nan	Aus Chicos Tagebuch: um Mitternacht nan	German		Unknown	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0113-041-R0016	IL-MTFN-001-G-F-0113-041	visit	Germany, a Winter Journey Lecture	Germany, a Winter Journey; Lecture for the Golden Age Club of Wizo Nahariya, Translation: Germany; Winter Journey. Lecture for the Golden Age Club of Wizo Nahariya	Deutschland, eine Winterreise; Vortrag für den Goldenen ;Age;Klub der Wizo Nahariya, Übersetzung: Deutschland; Winterreise. Vortrag für den Goldenen Club der Wizo Nahariya	15 עמודים, 1969 Deutschland, eine Winterreise; Vortrag für den Goldenen ;Age;Klub der Wizo Nahariya, תרגום: גרמניה; נסיעת חורף. הרצאה עבור מועדון גיל הזהב של ויצו נהריה	German|עברית	1969	Typewritten	הרצאה|Lecture		Communication Document
IL-MTFN-001-G-F-0113-042-R0001	IL-MTFN-001-G-F-0113-042	hometown	Heilbronn Welcome Speech by Dr. P. Wolf	5 pages, 1985, Heilbronn Welcome Speech, Translation: Welcome speech for Heilbronn, Dr. P. Wolf was invited to his hometown and delivered his speech there.	5 Seiten, 1985, Heilbronn Begrüssungsrede, Übersetzung: Begrüßungsrede für Heilbronn, Dr. P. Wolf wurde in seine Geburtsstadt eingeladen und hielt dort seine Rede.	"5 עמודים, 1985, Heilbronn Begrüssungsrede, תרגום: נאום ברכה להיילברון, ד""ר פ. וולף הוזמן לעיר הולדתו ושם נשא את דבריו."	German	1985	Typewritten	נאום|Speech	Dr. P. Wolf	Communication Document
IL-MTFN-001-G-F-0113-042-R0002	IL-MTFN-001-G-F-0113-042	hometown	Episode for Hometown Heilbronn	3 pages, episode for his hometown Heilbronn; Klio;	3 Seiten, Episode für seine Heimatstadt Heilbronn; Klio;	3 עמודים, אפיזודה עבור עיר הולדתו היילברון; Klio;	Unspecified		Unknown	לא מזוהה		Creative Nonfiction
IL-MTFN-001-G-F-0113-044-R0001	IL-MTFN-001-G-F-0113-044	diary	Lesebuch für meinen Enkel Manuscript	Page 241;288, 1995;1996, Lesebuch für meinen Enkel, from a reading book for my grandchild, the manuscript starts on page 241, previous pages are not available. The writing is in diary form, starting on November 2, 1995, 2 copies were left in the file.	Seite 241;288, 1995;1996, Lesebuch für meinen Enkel, aus dem Buch für meinen Enkel, das Manuskript beginnt auf Seite 241, vorherige Seiten sind nicht vorhanden. Das Schreiben ist in Tagebuchform, beginnt am 2. November 1995, 2 Kopien wurden in der Akte hinterlassen.	עמוד 241;288, 1995;1996, Lesebuch für meinen Enkel ,מתוך ספר קריא לנכד שלי, המנוסקריפט מתחיל בעמוד 241, עמודים קודמים לאנ בנמצא. הכתיבה היא בצורת יומן, מתחילה ב-2 לנובמבר 1995, 2 העתקים הושארו בתיק	German	1995-11-02	Unknown	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0113-047-R0001	IL-MTFN-001-G-F-0113-047	diary	Mein Kriegstagebuch by Alfred Wolf	My War Diary, 1920; Alfred Wolf, Mein Kriegstagebuch; Alfred Wolf, refers to World War I. Written in German on a typewriter and luxuriously bound. Inside the cover is an ex-libris with the year 1920 and the name Trude Victor; Trude Victor; possibly the name of his wife who later calls herself Victoria.	Mein Kriegstagebuch, 1920; Alfred Wolf, Mein Kriegstagebuch; Alfred Wolf, bezieht sich auf den Ersten Weltkrieg. In deutscher Sprache auf Schreibmaschine geschrieben und aufwendig gebunden. Im Inneren des Einbands Exlibris mit der Jahresangabe 1920 und dem Namen Trude Victor; Trude Victor; möglicherweise der Name seiner Frau, die sich später Victoria nennt.	יומן המלחמה שלי, 1920; אלפרד וולף, Mein Kriegstagebuch; Alfred Wolf, מתיחס למלחמת עולם I. כתוב בגרמנית במכונת כתיבה וכרוך בצורה מפוארת. בפנים הכריכה אקסליבריס עם ציון השנה 1920 והשם טרודה ויקטור; Trude Victor; יתכן שזה שם אישתו שמאוחר יותר קוראת לעצמה ויקטוריה	German	1920	Typewritten	יומן|Diary	Alfred Wolf	EgoDocument
IL-MTFN-001-G-F-0113-049-R0025	IL-MTFN-001-G-F-0113-049	visit	Besuch im Himmel	Visit in Heaven	Besuch im Himmel	Besuch im Himmel	Unspecified		Unknown	לא מזוהה		Creative Fiction
IL-MTFN-001-G-F-0113-057-R0001	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Verlag Herder	Correspondence with publishers from the 1980s of the 20th century Verlag Herder; Freiburg.	Korrespondenz mit Verlagen aus den 80er Jahren des 20. Jahrhunderts Verlag Herder; Freiburg.	התכתבות עם הוצאות לאור שנות ה 80 למאה ה-20 Verlag Herder; Freiburg.	Hebrew|German	1980	Unknown	מכתב|Letter	Verlag Herder	Communication Document
IL-MTFN-001-G-F-0113-057-R0002	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Ruth Liedmann	Correspondence with Ruth Liedmann from the publishing house in Zurich, 1980s.	Korrespondenz mit Ruth Liedmann vom Verlag in Zürich, 80er Jahre des 20. Jahrhunderts.	התכתבות עם Ruth Liedmann מהוצאת לאור בציריך, שנות ה 80 למאה ה-20.	Hebrew|German	1980	Unknown	מכתב|Letter	Ruth Liedmann	Communication Document
IL-MTFN-001-G-F-0113-057-R0003	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Gilles & Francke Duisburg	Correspondence with the publisher Gilles & Francke Duisburg, 1980s.	Korrespondenz mit dem Verlag Gilles & Francke Duisburg, 1980er Jahre.	התכתבויות עם ההוצאה לאור Gilles & Francke Duisburg, שנות ה-80.	Hebrew|German	1980	Unknown	מכתב|Letter	Gilles & Francke Duisburg	Communication Document
IL-MTFN-001-G-F-0113-057-R0004	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with S. Fischer Verlag	Correspondence with the publisher S. Fischer Verlag, Frankfurt a.m., 1980s.	Korrespondenz mit dem Verlag S. Fischer Verlag, Frankfurt a.m., 1980er Jahre.	התכתבות עם ההוצאה לאור S. Fischer Verlag, Frankfurt a.m., שנות ה-80.	Hebrew|German		Unknown	מכתב|Letter	S. Fischer Verlag	Communication Document
IL-MTFN-001-G-F-0113-057-R0005	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Rainer Wunderlich Verlag	Correspondence with the publisher Rainer Wunderlich Verlag Hermann Leins; Tübingen, 1960s.	Korrespondenz mit dem Verlag Rainer Wunderlich Verlag Hermann Leins; Tübingen, 1960er Jahre.	התכתבות עם ההוצאה לאור Rainer wunderlich Verlag Hermann Leins; Tübingen, שנות ה-60.	German		Unknown	מכתב|Letter	Rainer Wunderlich Verlag Hermann Leins	Communication Document
IL-MTFN-001-G-F-0113-057-R0006	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Publishing House in Israel, 1948	Correspondence with a publishing house in Israel from 1948 in English. Dr. P.W. responded to the inquiry with a request for patience as the publishing house was bombed and is asked to get in touch again in 3 weeks. The publishing house: Malka Lyons and Jaap Bar-David; Book agencies Molly Lyons and Jaap Bar-David Literary Agency; the letter is interesting and reflects the conditions at the time, before the establishment of the state.	Korrespondenz mit einem Verlag in Israel aus dem Jahr 1948 auf Englisch. Dr. P.W. antwortete auf die Anfrage mit der Bitte um Geduld, da der Verlag bombardiert wurde und gebeten wird, in 3 Wochen erneut Kontakt aufzunehmen. Der Verlag: Malka Lyons und Jaap Bar-David; Buchagenturen Molly Lyons und Jaap Bar-David Literary Agency; der Brief ist interessant und spiegelt die damaligen Bedingungen wider, vor der Gründung des Staates.	"התכתבות עם הוצאת לאור בישראל מ-1948 בשפה האנגלית. ד""ר פ.ו. נענה על פנייתו בבקשת סבלנות כי בית הוצאה לאור הופצץ ומתבקש יצור שוב קשר בעוד 3 שבועות. ההוצאה לאור: מלכה ליינס את יעקב בר-דוד; סוכניות לספרים Molly Lyons and Jaap Bar-David Literary Agency; המכתב מעניין ומשקיף את התנאים דאז, לפני קום המדינה."	English	1948	Typewritten	מכתב|Letter		Communication Document
IL-MTFN-001-G-F-0113-057-R0007	IL-MTFN-001-G-F-0113-057	correspondence	Correspondence with Merkur Newspaper Editorial	Correspondence with the editorial staff of the German newspaper Merkur in Munich. 1950s. Among them is a letter from the editorial staff to Prof. Ernst Simon; Ernst Simon, which refers to the rejection of the publication of P.W.'s poems in the newspaper. A. Simon, as it appears from the letter, sent and recommended material for the publication of P.W. This letter is from 05.11.1952.	Korrespondenz mit der Redaktion der deutschen Zeitung Merkur in München. 1950er Jahre. Darunter ein Brief von der Redaktion an Prof. Ernst Simon; Ernst Simon, der sich auf die Ablehnung der Veröffentlichung von P.W.s Gedichten in der Zeitung bezieht. A. Simon hat, wie aus dem Brief hervorgeht, Material zur Veröffentlichung von P.W. empfohlen. Dieser Brief ist vom 05.11.1952.	התכתבות עם מערכת עיתון גרמני Merkur במינכן. שנות ה-50 למאה ה-20. בניהם מכתב מהמערכת אל פרופ ארנסט סימון; Ernst Simon שמתיחס לדחיית הפרסום של שירי פ.ו. בעיתון. א. סימון כך יוצא מהמכתב שלח והמליץ על חומר פרו כתיבתו של פ.ו. מכתב זה מ-05.11.1952.	Hebrew|German	1952-11-05	Typewritten	מכתב|Letter	Ernst Simon	Communication Document
IL-MTFN-001-G-F-0113-058-R0013	IL-MTFN-001-G-F-0113-058	correspondence	Correspondence between Dr. Fritz Wolf and Elfriede Mebing	Correspondence between Dr. Fritz Wolf and his agent Elfriede Mebing, late 1960s	Korrespondenz zwischen Dr. Fritz Wolf und seinem Agenten Elfriede Mebing, Ende der 60er Jahre	"התכתבות בין ד""ר פריץ וולף והסוכן שלו אלפרידה מבינג, סוף שנות ה;60"	Hebrew|German	1960	Unknown	מכתב|Letter	Dr. Fritz Wolf|Elfriede Mebing	Communication Document
IL-MTFN-001-G-F-0113-060-R0001	IL-MTFN-001-G-F-0113-060	correspondence	Correspondence with Lawyer Edmund Stupp	Correspondence with the lawyer in Haifa, Edmund Stupp, regarding the rental of an apartment	Korrespondenz mit dem Anwalt in Haifa, Edmund Stupp, bezüglich der Vermietung einer Wohnung	התכתבות עם עורך דין בחיפה אדמונד סטופ; Edmund Stupp בקשר להשכרת דירה	Hebrew|German		Unknown	מכתב|Letter	Edmund Stupp	Communication Document
IL-MTFN-001-G-F-0113-064-R0001	IL-MTFN-001-G-F-0113-064	correspondence	Correspondence between Thomas Mann and Fritz Wolf	1951;1953, Correspondence between Thomas Mann and Fritz Wolf	1951;1953, Korrespondenz zwischen Thomas Mann und Fritz Wolf	1951;1953, התכתבות בין תומס מאן ופריץ וולף	German|Hebrew	1951	Unknown	מכתב|Letter	Thomas Mann|Fritz Wolf	Communication Document
IL-MTFN-001-G-F-0113-064-R0002	IL-MTFN-001-G-F-0113-064	correspondence	Correspondence between Dr. Ernst Simon and Fritz Wolf	1952;1953, correspondence between Dr. Ernst Simon and Fritz Wolf	1952;1953, Korrespondenz zwischen Dr. Ernst Simon und Fritz Wolf	"1952;1953, התכתבות בין ד""ר ארנסט סימון ופריץ וולף"	Hebrew|German	1952	Unknown	מכתב|Letter	Dr. Ernst Simon|Fritz Wolf	Communication Document
IL-MTFN-001-G-F-0130-001-R0002	IL-MTFN-001-G-F-0130-001	correspondence	התכתבות עם הבן מר אורי ברנע	Correspondence with the son Mr. Uri Barnea 1998	Korrespondenz mit dem Sohn Herrn Uri Barnea 1998	התכתבות עם הבן מר אורי ברנע 1998	Hebrew	1998	Unknown	מכתב|Letter	אורי ברנע	Communication Document
IL-MTFN-001-G-F-0133-001-R0001	IL-MTFN-001-G-F-0133-001	memoir	Memory Book of Jenny Bear	Memory book Poesie Album of a girl named Jenny Bear (the name is engraved in gold on the cover of the book), writing inside the book 1862; 1873; from the writing in the book it can be understood that Jenny studied at a boarding school in Posen until 1863 with a lady named Henriette Heilbronn; in the book her friends from the boarding school write and also add their photos (in clothes, hats, and hairstyles of that period), not all the photos have been preserved. The last dedication in the book was written by Agathe Baer in 1873 on the occasion of a party held in honor of Jenny's wedding.	Poesiealbum von einem Mädchen namens Jenny Bear (der Name ist in Gold auf dem Einband des Buches eingraviert), geschrieben im Buch 1862; 1873; aus dem Inhalt des Buches geht hervor, dass Jenny bis 1863 in einem Internat in Posen bei einer Frau namens Henriette Heilbronn lernte; im Buch schreiben ihre Freundinnen aus dem Internat und fügen auch ihre Fotos hinzu (in Kleidung, Hüten und Frisuren jener Zeit), nicht alle Fotos sind erhalten geblieben. Die letzte Widmung im Buch wurde 1873 von Agathe Baer anlässlich einer Party zu Ehren von Jennys Hochzeit geschrieben.	"ספר זכרונות Poesie Album של נערה בשם ג'ני בר Jenny Bear (השם חרוט על כריכת הספר בזהב), הכתיבה בתוך הספר 1862;1873; מתוך הכתוב בספר ניתן להבין שגני למדה בפנימיה בפוזן Posen עד 1863 אצל גברת בשם הנריאטה היילברון Henriette Heilbronn; בספר כותבות חברותיה בפנימיה כשהן מוסיפות גם את תמונותיהן (בבגדים, כובעים ותסרוקות של אותה תקופה) לא כל התמונות השתמרו. הכתיבה;הקדש האחרונה בספר נכתבה ע""י אגתה בר Agathe Baer בשנת 1873 וזאת לרגל מסיבה שנערכה לכבוד חתונתה של ג'ני;"	Hebrew|German	1862	Handwritten	ספר זכרונות|Memory Book	Jenny Bear	EgoDocument
IL-MTFN-001-G-F-0133-001-R0002	IL-MTFN-001-G-F-0133-001	memoir	Memory Book of Ella Reinmann	Memory book of Ella Reinmann, née Reinmann, 1906;1994 from Munich, in first marriage to Franz Ebstein 1888;1931 from Munich. From this marriage Kurt and Pinchas; Rodan. In second marriage: Hans Reinmann 1981;1901, from Munich.	Erinnerungsbuch von Ella Reinmann, geborene Reinmann, 1906;1994 aus München, in erster Ehe mit Franz Ebstein 1888;1931 aus München. Aus dieser Ehe Kurt und Pinchas; Rodan. In zweiter Ehe: Hans Reinmann 1981;1901, aus München.	ספר זכרונות של אלה ריינמן Ella Reinmann לבית ריינמן 1906;1994 ממינכן בנישואין ראשונים לפרנץ אבשטיין 1888;1931 Franz Ebstein ממינכן. מנשואין אלה קורט ופנחס ;רודן. בנשואין שניים: הנס ריינמן 1981;1901, ממינכן	Hebrew|German		Unknown	ספר זכרונות|Memory Book	Ella Reinmann	EgoDocument
IL-MTFN-001-G-F-0136-001-R0001	IL-MTFN-001-G-F-0136-001	memoir	Memory Book by Hans Schmel	A memory book written by Hans Schmel, printed in Hebrew and bound, was made for his descendants. The book contains family photos and documents (photographs) from the period in Germany and in the country. Among other things, Hans Schmel writes a chapter about the difficulties he had in marrying Renée, as his mother converted in Berlin. The rabbinate did not recognize the mother's Judaism because she could not show documents; the documents were lost in Germany. Hans Schmel waged a 'war' against the rabbinate and also won; there is documentation in the form of article photos that he added to the book.	Ein Erinnerungsbuch, das von Hans Schmel geschrieben, auf Hebräisch gedruckt und gebunden wurde, hat er für seine Nachkommen erstellt. Im Buch befinden sich Familienfotos und Dokumente (Fotografien) aus der Zeit in Deutschland und im Land. Unter anderem schreibt Hans Schmel ein Kapitel über die Schwierigkeiten, die er hatte, Renée zu heiraten, da seine Mutter in Berlin konvertiert war. Das Rabbinat erkannte das Judentum der Mutter nicht an, weil sie keine Dokumente vorlegen konnte; die Dokumente gingen in Deutschland verloren. Hans Schmel führte einen 'Krieg' gegen das Rabbinat und gewann auch; es gibt Dokumentationen in Form von Artikelfotos, die er dem Buch hinzugefügt hat.	ספר זכרונות שכתב הנס שמל, מודפס בעברית וכרוך, עשה זאת עבור צאציו. בספר תמונות משפחתיות ותעודות (צילומים)מהתקופה בגרמניה ובארץ. בין היתר כותב, הנס שמל, פרק בנושא הקשיים שהיו לו להנשא לרנה, מאחר ואמו התגיירה בברלין. הרבנות לא הכירה ביהדות האם בגלל שלא יכולה להראות תעודות; התעודות הלכו לעיבוד בגרמניה. הנס שמל נהל 'מלחמה' כנגד הרבנות וגם ניצח; יש תעוד בצילומי מאמרים שהוסיף לספר.	Hebrew|German		Print	ספר זכרונות|Memory Book	Hans Schmel	EgoDocument
IL-MTFN-001-G-F-0138-001-R0001	IL-MTFN-001-G-F-0138-001	diary	Diary Pages of Brest Litowsk Community	Pages from the diary of the Brest Litowsk community, from December 1941 to August 1944.	Seiten aus dem Tagebuch der Gemeinde Brest Litowsk, von Dezember 1941 bis August 1944.	דפים מתוך יומן על של קהילת Brest Litowsk, מדצמבר 1941 ועד אוגוסט 1944.	Hebrew	1944-08	Unknown	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0138-001-R0011	IL-MTFN-001-G-F-0138-001	correspondence	Correspondence with Press and Organizations	Correspondence with the press, organizations, and individuals in Israel and abroad.	Korrespondenz mit Presse, Organisationen und Persönlichkeiten in Israel und im Ausland.	"התכתבות עם עיתונות, אירגונים ואישים בישראל ובחו""ל."	Hebrew|Other		Unknown	Letter		Communication Document
IL-MTFN-001-G-F-0138-001-R0012	IL-MTFN-001-G-F-0138-001	correspondence	Correspondence from Friedrichs' Lawyer	Letters from Friedrichs' lawyer, Mr. Heinz, to Shiloni and various institutions - Correspondence with the Zionist Jewish Congress and Dr. Van Dam, Secretary of the Central Council of Jews in Germany.	Briefe von Friedrichs Anwalt, Herrn Heinz, an Shiloni und verschiedene Institutionen - Korrespondenz mit dem Zionistischen Jüdischen Kongress und Dr. Van Dam, Sekretär des Zentralrats der Juden in Deutschland.	מכתבים מעורך דינו של פרידריכס, מר Heinz, אל שילוני ומוסדות שונים - התכתבות עם הקונגרס היהודי הציוני ו- Dr. Van Dam מזכיר Zentralrat der Juden in Deutschland.	German|Hebrew		Unknown	מכתב|Letter		Communication Document
IL-MTFN-001-G-F-0138-001-R0013	IL-MTFN-001-G-F-0138-001	correspondence	Correspondence with Dr. Neuberger	Correspondence with the Minister of Justice of Niedersachsen and Westfalen Dr. Neuberger.	Korrespondenz mit dem Justizminister von Niedersachsen und Westfalen Dr. Neuberger.	התכתבות עם שר המשפטים של Niedersachsen und Westfalen Dr. Neuberger.	Hebrew|German		Unknown	מכתב|Letter	Dr. Neuberger	Communication Document
IL-MTFN-001-G-F-0139-001-R0003	IL-MTFN-001-G-F-0139-001	hometown	Heimatschein for Eugen Goldberg	'Heimatschein' for Eugen Goldberg in Palestine proving that he is a Prussian citizen. The certificate was issued in 1927 and is valid until 1932. The certificate was issued for his stay abroad.	'Heimatschein' für Eugen Goldberg in Palästina, der beweist, dass er preußischer Staatsbürger ist. Das Zertifikat wurde 1927 ausgestellt und ist bis 1932 gültig. Das Zertifikat wurde für seinen Aufenthalt im Ausland ausgestellt.	"'תעודת מולדת' Heimatschein לאויגן גולדברג בפלשתינה שמוכיחה שהנ""ל אזרח פרוסי. התעודה הוצאה ב-1927 ובתוקף עד 1932. תעודה הוצאה למטרת שהייתו בחו""ל."	German	1927	Unknown	תעודה|Certificate	Eugen Goldberg	Certificate
IL-MTFN-001-G-F-0141-001-R0001	IL-MTFN-001-G-F-0141-001	memoir	Memory Book by Mrs. Pinner	A memory book written by Mrs. Pinner about and for her family. The book is in Hebrew, divided into two chapters: 1. Childhood in Germany; 2. The stranded transport on the Danube River. In the second half of the book, the long immigration to Eretz Israel is described, including a long stay in Yugoslavia and a six-month residence on the ship 'Uranus'. The book refers to the places Breslau, Posnan, Beuthen.	Ein Erinnerungsbuch, das Frau Pinner über und für ihre Familie geschrieben hat. Das Buch ist auf Hebräisch und in zwei Kapitel unterteilt: 1. Kindheit in Deutschland; 2. Der gestrandete Transport auf der Donau. In der zweiten Hälfte des Buches wird über die lange Einwanderung nach Eretz Israel berichtet, einschließlich eines langen Aufenthalts in Jugoslawien und eines sechsmonatigen Aufenthalts auf dem Schiff 'Uranus'. Im Buch wird auf die Orte Breslau, Posnan, Beuthen eingegangen.	"ספר זכרונות שכתבה גב פינר על ואל משפחתה. הספר בעברית, מחולק ל;2 פרקימ- 1. ילדות בגרמניה; 2. הטרנספורט התקוע על נהר הדנובה, במחצית השניה של הספר מסופר על העלייה הארוכה לא""י בין היתר שהות ארוכה ביוגוסלביה, מגורים של חצי שנה על האוניה ""אורנוס""; בספר יש התייחות למקומות Breslau, Posnan, Beuthen;"	Hebrew		Unknown	ספר זכרונות|Memory Book	Pinner Family	EgoDocument
IL-MTFN-001-G-F-0143-004-R0001	IL-MTFN-001-G-F-0143-004	memoir	Memory Books of Arna Cohen	Two memory books of Arna Cohen; 1925; 1928	Zwei Erinnerungsbücher von Arna Cohen; 1925; 1928	שני ספרי זכרונות של ארנה כהן; 1925;1928	Hebrew	1925	Unknown	ספר זכרונות|Memory Book	Arna Cohen	EgoDocument
