item_id	from_person	to_person	from_place	to_place	send_date	mentioned_places	mentioned_persons	is_heimat_relevant	notes
IL-MTFN-001-G-F-0187-002-R0008	Israel News (Nachrichten Israel)	NULL	NULL	NULL	1985	Nahariya	Shimshon Windmiller-Rechaim	true	1985 article "Nahariya: Herberge und Heim" — **Nahariya as Jecke Heimat-substitute**; central diasporic-memory theme
IL-MTFN-001-G-F-0187-002-R0009	NULL	NULL	NULL	NULL	NULL	Nahariya	Shimshon Windmiller-Rechaim	false	Article on Mandate-era Nahariya bombardment; political not memory
IL-MTFN-001-G-F-0187-002-R0010	Shimshon Windmiller-Rechaim	NULL	NULL	NULL	NULL	Germany	Shimshon Windmiller-Rechaim	true	**Hebrew essay on Germany WWI→WWII development** — reflective historical writing on Heimat period
IL-MTFN-001-G-F-0187-002-R0011	Shimshon Windmiller-Rechaim	NULL	NULL	NULL	NULL	Nahariya	Shimshon Windmiller-Rechaim	true	German translation of Hebrew article on Nahariya history — cross-language Jecke historical writing
IL-MTFN-001-G-F-0021-003-R0001	Esther & Yoram Noter (compilers); Benjamin Ben Tzadok (translator)	NULL	NULL	NULL	2010		Esther Noter; Yoram Noter; Benjamin Ben Tzadok	true	**2010 Hebrew translation of family memoir manuscript** from German — descendant memory project
IL-MTFN-001-G-F-0021-003-R0002	Sonia Friedman (née Wolf)	NULL	NULL	NULL	NULL		Sonia Friedman; Wolf family	true	**Hebrew translation of Sonia Friedman's autobiography (206 pages)** — explicit Jecke memoir
IL-MTFN-001-G-F-0047-004-R0001	Menachem Ussischkin	Leoni Landsberg	NULL	NULL	NULL		Menachem Ussischkin; Leoni Landsberg	false	Hebrew letters from Zionist leader; Palestine-internal
IL-MTFN-001-G-F-0047-004-R0002	Selig Eugen Soskin	Alfred Landsberg	NULL	NULL	NULL		Selig Eugen Soskin; Alfred Landsberg	false	German letters, no Heimat content described
IL-MTFN-001-G-F-0047-004-R0003	Henrietta Szold	Alfred Landsberg	NULL	NULL	NULL		Henrietta Szold; Alfred Landsberg	false	Library deposit at Israeli educational institution; Palestine-internal
IL-MTFN-001-G-F-0047-004-R0004	Shmarja Levin	Alfred Landsberg	NULL	NULL	1932		Shmarja Levin; Alfred Landsberg	false	Pre-1933 Zionist correspondence
IL-MTFN-001-G-F-0047-004-R0005	Arthur Ruppin	Leoni & Alfred Landsberg	NULL	NULL	1930s		Arthur Ruppin; Leoni Landsberg; Alfred Landsberg	false	1930s Palestine-internal organizational
IL-MTFN-001-G-F-0047-004-R0006	Arthur Ruppin	Alfred Landsberg	NULL	NULL	1932-11-16	Tel Aviv	Arthur Ruppin; Alfred Landsberg; Dizengoff	false	Pre-1933 Zionist 'Transfer' negotiations
IL-MTFN-001-G-F-0047-004-R0007	Arthur Ruppin	Leoni Landsberg	Marienbad	NULL	1934-07-22	Marienbad; Trieste; Berlin; Italy; Palestine	Arthur Ruppin; Ruth Ruppin; Dr. Grünfelder; Schocken; Samburski; Wilenski; Hans Cohn; Brünn	true	**1934 Ruppin describes visiting Berlin under Nazi rule: "outwardly nothing has changed" — direct Heimat-observation document, central diasporic-memory case**
IL-MTFN-001-G-F-0047-004-R0008	Arthur Ruppin	Leoni Landsberg	NULL	NULL	1939-07-31	Kfar Shmaryahu	Arthur Ruppin; Leoni Landsberg	false	Palestine-internal real-estate
IL-MTFN-001-G-F-0047-004-R0009	Kurt Blumenfeld	Leoni Landsberg	NULL	NULL	1931		Kurt Blumenfeld; Leoni Landsberg	false	Pre-1933 Zionist correspondence
IL-MTFN-001-G-F-0047-004-R0010	Leo Hermann	Leoni Landsberg	NULL	NULL	NULL		Leo Hermann; Leoni Landsberg	false	Undated, no Heimat content
IL-MTFN-001-G-F-0047-004-R0011	Bertold Feiwel	Leoni & Alfred Landsberg	NULL	NULL	1920s-1930s		Bertold Feiwel; Leoni Landsberg; Alfred Landsberg	false	1920s-30s German letters, content unspecified
IL-MTFN-001-G-F-0047-004-R0012	Alfred Landsberg	Leoni Landsberg	NULL	NULL	1925		Alfred Landsberg; Leoni Landsberg	false	Pre-1933 marital letters
IL-MTFN-001-G-F-0047-004-R0013	Chief Rabbi Chajes of Vienna	Landsberg couple	Vienna	NULL	1926	Vienna	Chajes; Landsberg daughters	false	Pre-1933 rabbinic correspondence
IL-MTFN-001-G-F-0047-004-R0014	Bertha Pappenheim	Leoni Frank	NULL	NULL	1919		Bertha Pappenheim; Leoni Frank	false	1919 Jewish women's org; pre-1933
IL-MTFN-001-G-F-0047-004-R0015	NULL	NULL	NULL	NULL	1925		Jacob Hahn; Sara Berliner (née Hahn)	false	1925 family photo
IL-MTFN-001-G-F-0047-004-R0016	NULL	NULL	NULL	NULL	NULL		Edgar Heilbrunner	false	Portrait photos chemist
IL-MTFN-001-G-F-0047-004-R0017	NULL	NULL	NULL	NULL	1935-36		NULL	false	Unidentified children winter 1935-36
