item_id	parent	item_description	german_translation	english_translation	format	language	creation_date	publication_date	number_of_pages	documentary_form_type	production_technique_type	main_subject	record_state	title	item_class	document_type	creation_place	transkribus_doc_ids	transkribus_titles	transkribus_n_docs	transkribus_pages	transkribus_lines	transkribus_pages_final	transkribus_pages_gt	transkribus_pages_in_progress	transkribus_pages_new
IL-MTFN-001-G-F-0138-001-R0001	IL-MTFN-001-G-F-0138-001	דפים מתוך יומן על של קהילת Brest Litowsk, מדצמבר 1941 ועד אוגוסט 1944.	Seiten aus dem Tagebuch der Gemeinde Brest Litowsk, von Dezember 1941 bis August 1944.	Pages from the diary of the Brest Litowsk community, from December 1941 to August 1944.	Unknown	Hebrew	1944-08			yes			original	Diary Pages of Brest Litowsk Community	EgoDocument	יומן|Diary										
IL-MTFN-001-G-F-0138-001-R0002	IL-MTFN-001-G-F-0138-001	הודעה בשבועה עדות של מעשיו של Friedrichs והצלתו; לאה בן חורין מקיבוץ בית זרע, Dossja Jesdokia Abramowna Timoschenko מהעיר לנינגרד; עדות של פרידריכס על מעשיו בהצלת יהודים.	Erklärung unter Eid über die Taten von Friedrichs und seine Rettung; Lea Ben Chorin aus dem Kibbuz Beit Zera, Dossja Jesdokia Abramowna Timoschenko aus der Stadt Leningrad; Zeugnis von Friedrichs über seine Taten bei der Rettung von Juden.	Statement under oath testimony of the actions of Friedrichs and his rescue; Lea Ben Chorin from Kibbutz Beit Zera, Dossja Jesdokia Abramowna Timoschenko from the city of Leningrad; Testimony of Friedrichs about his actions in rescuing Jews.	Unknown	Hebrew|German				yes		Friedrichs	other	Testimony of Friedrichs' Actions and Rescue	EgoDocument	עדות|Testimony										
IL-MTFN-001-G-F-0138-001-R0003	IL-MTFN-001-G-F-0138-001	תעודות ממקומות עבודה של פרידריכס.	Zertifikate von Arbeitsplätzen von Friedrichs.	Certificates from workplaces of Friedrichs.	Unknown	Hebrew						פרידריכס	original	Workplace Certificates of Friedrichs	Certificate	תעודה|Certificate										
IL-MTFN-001-G-F-0138-001-R0004	IL-MTFN-001-G-F-0138-001	מילות תודה והוקרה של ארגון יוצאי ברסט ליטובסק וקיבוץ בית זרע.	Dankesworte und Anerkennung des Vereins der Auswanderer aus Brest-Litowsk und des Kibbuz Beit Zera.	Words of thanks and appreciation from the Organization of Brest-Litovsk Emigrants and Kibbutz Beit Zera.	Unknown	Hebrew							original	Words of Thanks and Appreciation from Brest-Litovsk Emigrants Organization	Communication Document	Letter										
IL-MTFN-001-G-F-0138-001-R0005	IL-MTFN-001-G-F-0138-001	סיפור מעשיו של פרידריכס סירובניד ושם להעניק לו כבוד.	Die Geschichte von Friedrichs Weigerung und der Name, ihm Ehre zu erweisen.	The story of Friedrich's refusal and the name to honor him.	Unknown	Unspecified						פרידריכס סירובניד	other	סיפור מעשיו של פרידריכס סירובניד	Creative Fiction	סיפור|Fiction										
IL-MTFN-001-G-F-0138-001-R0006	IL-MTFN-001-G-F-0138-001	קטעי עיתונות שונים על המקרה של פרידריכס.	Verschiedene Zeitungsausschnitte über den Fall von Friedrichs.	Various newspaper clippings about the case of Friedrichs.	Print	Hebrew					print	פרידריכס	other	Newspaper Clippings on Friedrichs Case	News Clipping	גזיר עיתון|News Clipping										
IL-MTFN-001-G-F-0138-001-R0007	IL-MTFN-001-G-F-0138-001	מכתבים אל שילוני מאת לאה בן חורין בית זרע.	Briefe an Shiloni von Lea Ben Chorin, Beit Zera.	Letters to Shiloni from Lea Ben Chorin, Beit Zera.	Unknown	Hebrew				yes		Lea Ben Chorin	original	Letters to Shiloni from Lea Ben Chorin	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0138-001-R0008	IL-MTFN-001-G-F-0138-001	תמונות שונות, דיוקן של פרידריכס.	Verschiedene Bilder, Porträt von Friedrichs.	Various pictures, portrait of Friedrichs.	Visual Element	Unspecified					photography	פרידריכס	original	Portrait of Friedrichs	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0138-001-R0009	IL-MTFN-001-G-F-0138-001	מכתבים של דר אורון אל שילוני על נסיונות לקבל הערכה ועזרה לפרידריכס.	Briefe von Dr. Oron an Shiloni über Versuche, Einschätzung und Hilfe für Friedrichs zu erhalten.	Letters from Dr. Oron to Shiloni about attempts to get evaluation and help for Friedrichs.	Unknown	Hebrew							original	Letters from Dr. Oron to Shiloni	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0138-001-R0010	IL-MTFN-001-G-F-0138-001	מכתבים מאת משפחת פרידריכס לשילוני ולאה בן חורין.	Briefe von der Familie Friedrichs an Shiloni und Lea Ben Hurin.	Letters from the Friedrichs family to Shiloni and Lea Ben Hurin.	Unknown	Hebrew				yes			original	Letters from Friedrichs Family to Shiloni and Lea Ben Hurin	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0138-001-R0011	IL-MTFN-001-G-F-0138-001	"התכתבות עם עיתונות, אירגונים ואישים בישראל ובחו""ל."	Korrespondenz mit Presse, Organisationen und Persönlichkeiten in Israel und im Ausland.	Correspondence with the press, organizations, and individuals in Israel and abroad.	Unknown	Hebrew|Other							other	Correspondence with Press and Organizations	Communication Document	Letter										
IL-MTFN-001-G-F-0138-001-R0012	IL-MTFN-001-G-F-0138-001	מכתבים מעורך דינו של פרידריכס, מר Heinz, אל שילוני ומוסדות שונים - התכתבות עם הקונגרס היהודי הציוני ו- Dr. Van Dam מזכיר Zentralrat der Juden in Deutschland.	Briefe von Friedrichs Anwalt, Herrn Heinz, an Shiloni und verschiedene Institutionen - Korrespondenz mit dem Zionistischen Jüdischen Kongress und Dr. Van Dam, Sekretär des Zentralrats der Juden in Deutschland.	Letters from Friedrichs' lawyer, Mr. Heinz, to Shiloni and various institutions - Correspondence with the Zionist Jewish Congress and Dr. Van Dam, Secretary of the Central Council of Jews in Germany.	Unknown	German|Hebrew					typewriting		original	Correspondence from Friedrichs' Lawyer	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0138-001-R0013	IL-MTFN-001-G-F-0138-001	התכתבות עם שר המשפטים של Niedersachsen und Westfalen Dr. Neuberger.	Korrespondenz mit dem Justizminister von Niedersachsen und Westfalen Dr. Neuberger.	Correspondence with the Minister of Justice of Niedersachsen and Westfalen Dr. Neuberger.	Unknown	Hebrew|German						Dr. Neuberger	original	Correspondence with Dr. Neuberger	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0138-001-R0014	IL-MTFN-001-G-F-0138-001	מכתב מאת השופט היהודי Dr. Fritz Blankenburg ששפט את פרידריכס ב 1950 למאסר עולם.	Brief von dem jüdischen Richter Dr. Fritz Blankenburg, der Friedrichs 1950 zu lebenslanger Haft verurteilte.	Letter from the Jewish judge Dr. Fritz Blankenburg who sentenced Friedrichs to life imprisonment in 1950.	Handwritten	German	1950			yes	handwriting	Dr. Fritz Blankenburg	original	Letter from Dr. Fritz Blankenburg	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0139-001-R0001	IL-MTFN-001-G-F-0139-001	פלייר שנזרק על הישוב בארץ לפני קום המדינה ממטוס סורי, כתוב בעברית 'מאמר', בגרמנית 'Aufruf' ובערבית.	Ein Flugblatt, das vor der Staatsgründung von einem syrischen Flugzeug über die Siedlung im Land abgeworfen wurde, mit dem hebräischen Wort 'מאמר', dem deutschen Wort 'Aufruf' und auf Arabisch.	A flyer dropped over the settlement in the country before the establishment of the state by a Syrian plane, written in Hebrew 'מאמר', in German 'Aufruf', and in Arabic.	Print	Hebrew|German|Other					print		original	Flyer dropped by Syrian plane before state establishment	Ephemera	פלייר|Flyer										
IL-MTFN-001-G-F-0139-001-R0002	IL-MTFN-001-G-F-0139-001	מכתב בעברית שגברת להב כתבה עם הסבר קצר על הוריה.	Ein Brief auf Hebräisch, den Frau Lehav geschrieben hat, mit einer kurzen Erklärung über ihre Eltern.	A letter in Hebrew that Mrs. Lehav wrote with a brief explanation about her parents.	Handwritten	Hebrew					handwriting	גברת להב	original	מכתב של גברת להב על הוריה	EgoDocument	מכתב|Letter										
IL-MTFN-001-G-F-0139-001-R0003	IL-MTFN-001-G-F-0139-001	"'תעודת מולדת' Heimatschein לאויגן גולדברג בפלשתינה שמוכיחה שהנ""ל אזרח פרוסי. התעודה הוצאה ב-1927 ובתוקף עד 1932. תעודה הוצאה למטרת שהייתו בחו""ל."	'Heimatschein' für Eugen Goldberg in Palästina, der beweist, dass er preußischer Staatsbürger ist. Das Zertifikat wurde 1927 ausgestellt und ist bis 1932 gültig. Das Zertifikat wurde für seinen Aufenthalt im Ausland ausgestellt.	'Heimatschein' for Eugen Goldberg in Palestine proving that he is a Prussian citizen. The certificate was issued in 1927 and is valid until 1932. The certificate was issued for his stay abroad.	Unknown	German	1927			yes		Eugen Goldberg	original	Heimatschein for Eugen Goldberg	Certificate	תעודה|Certificate										
IL-MTFN-001-G-F-0139-001-R0004	IL-MTFN-001-G-F-0139-001	צילום תעודת הלידה של לילי איגנפלד לימים לילי להב.	Fotografie der Geburtsurkunde von Lili Igelfeld, später Lili Lahav.	Photograph of the birth certificate of Lili Igelfeld, later Lili Lahav.	Unknown	Hebrew				yes	photography	Lili Igelfeld	copy	Birth Certificate of Lili Igelfeld	Certificate	תעודה|Certificate										
IL-MTFN-001-G-F-0139-001-R0005	IL-MTFN-001-G-F-0139-001	אישור שהייה לסוחר אייגנפלד בעיר שפאייר מ-1924.	Aufenthaltsgenehmigung für den Händler Eigenfeld in der Stadt Speyer aus dem Jahr 1924.	Residence permit for the merchant Eigenfeld in the city of Speyer from 1924.	Unknown	German	1924			yes		Eigenfeld	original	Residence Permit for Merchant Eigenfeld in Speyer, 1924	Legal Document	תעודה|Certificate										
IL-MTFN-001-G-F-0140-001-R0001	IL-MTFN-001-G-F-0140-001	ללא תאריך, שירים הומוריסטיים של אירגון בלאו;וייס	Ohne Datum, humoristische Lieder der Organisation Blau-Weiß	Undated, humorous songs of the Blau-Weiß organization	Unknown	Hebrew						Blau-Weiß organization	original	Humorous Songs of Blau-Weiß	Creative Fiction	שיר|Poem										
IL-MTFN-001-G-F-0140-001-R0002	IL-MTFN-001-G-F-0140-001	ללא תאריך, דו שיח על מטרות ארגון נוער זה (בלאו;וויס)כתוב בחרוזימ	Ohne Datum, ein Dialog über die Ziele dieser Jugendorganisation (Blau;Weiß) in Reimen geschrieben	Undated, a dialogue about the goals of this youth organization (Blau;Weiß) written in rhymes	Unknown	Hebrew							original	Dialogue on Youth Organization Goals	Creative Nonfiction	Poem										
IL-MTFN-001-G-F-0140-001-R0003	IL-MTFN-001-G-F-0140-001	רשימות של החברים באירגון	Listen der Mitglieder in der Organisation	Lists of the members in the organization	Unknown	Hebrew							original	Lists of Organization Members	Organization Papertrail	רשימה|List										
IL-MTFN-001-G-F-0140-001-R0004	IL-MTFN-001-G-F-0140-001	הזמנות לסדנאות, הרצאות וחגיגת פורימ	Einladungen zu Workshops, Vorträgen und Purim-Feier	Invitations to workshops, lectures, and Purim celebration	Unknown	Hebrew							original	Invitations to Workshops and Purim Celebration	Ephemera	הזמנה|Invitation										
IL-MTFN-001-G-F-0140-001-R0005	IL-MTFN-001-G-F-0140-001	"מאמר מעיתון ""ידיעות חדשות"" בגרמנית על חגיגת 50 שנות לאירגון בלאו;וייס שנערך ב 1962 בנהריה"	"Artikel aus der Zeitung ""Yediot Hadashot"" auf Deutsch über die Feier des 50-jährigen Bestehens der Organisation Blau-Weiß, die 1962 in Nahariya stattfand."	"Article from the newspaper ""Yediot Hadashot"" in German about the celebration of 50 years of the Blau-Weiß organization held in 1962 in Nahariya."	Print	German	1962				print		original	Article on Blau-Weiß 50th Anniversary Celebration	Communication Document	גזיר עיתון|News Clipping										
IL-MTFN-001-G-F-0140-001-R0006	IL-MTFN-001-G-F-0140-001	דין וחשבון על מפגשי בלאו;וייס בארץ ומאחורי הדפים האלה נכתב בכתב יד סיכומי נאומים של חברי האירגון שספרו על התאקלמותם בארץ ומה הייתה בלאו;וייס תרם להם בהתאקלמות זאת; כפי הנראה מהמפגש בנהריה ב 1962	Bericht über die Treffen von Blau-Weiß im Land und hinter diesen Seiten sind handschriftliche Zusammenfassungen von Reden der Mitglieder der Organisation geschrieben, die über ihre Eingewöhnung im Land berichteten und was Blau-Weiß zu dieser Eingewöhnung beigetragen hat; offenbar vom Treffen in Nahariya im Jahr 1962	Report on the Blau-Weiß meetings in the country and behind these pages are handwritten summaries of speeches by members of the organization who reported on their acclimatization in the country and what Blau-Weiß contributed to this acclimatization; apparently from the meeting in Nahariya in 1962	Handwritten	Hebrew	1962			yes	handwriting		original	Report on Blau-Weiß Meetings in Nahariya, 1962	Report	דוח|Report										
IL-MTFN-001-G-F-0140-001-R0007	IL-MTFN-001-G-F-0140-001	הגדה לפסח שנערכה בקבוץ גבעת ברנר 1945	Haggada für Pessach, die 1945 im Kibbuz Givat Brenner erstellt wurde	Passover Haggadah edited at Kibbutz Givat Brenner 1945	Unknown	Hebrew	1945	1945					original	Haggadah for Passover, Givat Brenner 1945	Creative Nonfiction	Book										
IL-MTFN-001-G-F-0140-001-R0008	IL-MTFN-001-G-F-0140-001	תעודה/מניה של בלאו;וייס בסכום של 10 לירות מצריימ	Zertifikat/Aktie von Blau;Weiß im Wert von 10 ägyptischen Pfund	Certificate/Share of Blau;Weiss in the amount of 10 Egyptian pounds	Unknown	Hebrew							original	Certificate/Share of Blau;Weiss	Financial_Document	תעודה|Certificate										
IL-MTFN-001-G-F-0140-001-R0009	IL-MTFN-001-G-F-0140-001	אלבום תמונות על עבודות של המחלקה לעבודות ( עבודות אלקטרוטכניות שנעשו במוסדות שונים בארץ כמו: טכניון, האוניברסיטה בהר;הצופים) של בלאו;וייס	Fotoalbum über die Arbeiten der Abteilung für Arbeiten (elektrotechnische Arbeiten, die in verschiedenen Institutionen im Land durchgeführt wurden, wie: Technion, Universität in Har HaCarmel; die Pfadfinder) von Blau;Weiss	Photo album on the works of the department for works (electrotechnical works carried out in various institutions in the country such as: Technion, University in Har HaCarmel; the Scouts) of Blau;Weiss	Visual Element	Unspecified					photography		original	Photo Album of Blau;Weiss Department Works	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0140-001-R0010	IL-MTFN-001-G-F-0140-001	1924 קבלה על תשלום לסדנא של האירגון	1924 Quittung für die Zahlung an den Workshop der Organisation	1924 receipt for payment to the organization's workshop	Unknown	Hebrew	1924						original	Receipt for Payment to Workshop, 1924	Financial_Document	קבלה|Receipt										
IL-MTFN-001-G-F-0140-001-R0011	IL-MTFN-001-G-F-0140-001	1919 דין וחשבון על מצב הקופה	1919 Bericht über den Zustand der Kasse	1919 Report on the state of the fund	Unknown	Hebrew	1919			yes			original	1919 Report on the State of the Fund	Report	דוח|Report										
IL-MTFN-001-G-F-0140-001-R0012	IL-MTFN-001-G-F-0140-001	"מתוך תערוכה של האירגון דפים על: ""שירים ששרנו פעם"" "" ספרים שקראנו פעם"""	"Aus einer Ausstellung der Organisation Seiten über: ""Lieder, die wir einmal gesungen haben"" ""Bücher, die wir einmal gelesen haben"""	"From an exhibition of the organization Pages about: ""Songs we once sang"" ""Books we once read"""	Unknown	Unspecified							other	Exhibition of Songs and Books	Ephemera	לא מזוהה										
IL-MTFN-001-G-F-0140-001-R0013	IL-MTFN-001-G-F-0140-001	תמונה קבוצתית מ-1922 + תמונה 1929 של קבוצת נערים מקפלין שמיחות	Gruppenfoto von 1922 + Foto von 1929 einer Gruppe von Jungen aus Kaplin, die fröhlich sind	Group photo from 1922 + 1929 photo of a group of boys from Kaplin who are happy	Visual Element	Unspecified	1922				photography		original	Group Photos from 1922 and 1929	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0140-001-R0014	IL-MTFN-001-G-F-0140-001	1935 קטעי עיתון בגרמנית על סגנון הבניה החדש. בין היתר מוזכר מעצב הפנים Ordower nan	1935 Zeitungsausschnitte auf Deutsch über den neuen Baustil. Unter anderem wird der Innenarchitekt Ordower nan erwähnt.	1935 German newspaper clippings about the new building style. Among others, interior designer Ordower nan is mentioned.	Print	German	1935				print	Ordower nan	other	1935 German Newspaper Clippings on New Building Style	Ephemera	גזיר עיתון|News Clipping										
IL-MTFN-001-G-F-0141-001-R0001	IL-MTFN-001-G-F-0141-001	"ספר זכרונות שכתבה גב פינר על ואל משפחתה. הספר בעברית, מחולק ל;2 פרקימ- 1. ילדות בגרמניה; 2. הטרנספורט התקוע על נהר הדנובה, במחצית השניה של הספר מסופר על העלייה הארוכה לא""י בין היתר שהות ארוכה ביוגוסלביה, מגורים של חצי שנה על האוניה ""אורנוס""; בספר יש התייחות למקומות Breslau, Posnan, Beuthen;"	Ein Erinnerungsbuch, das Frau Pinner über und für ihre Familie geschrieben hat. Das Buch ist auf Hebräisch und in zwei Kapitel unterteilt: 1. Kindheit in Deutschland; 2. Der gestrandete Transport auf der Donau. In der zweiten Hälfte des Buches wird über die lange Einwanderung nach Eretz Israel berichtet, einschließlich eines langen Aufenthalts in Jugoslawien und eines sechsmonatigen Aufenthalts auf dem Schiff 'Uranus'. Im Buch wird auf die Orte Breslau, Posnan, Beuthen eingegangen.	A memory book written by Mrs. Pinner about and for her family. The book is in Hebrew, divided into two chapters: 1. Childhood in Germany; 2. The stranded transport on the Danube River. In the second half of the book, the long immigration to Eretz Israel is described, including a long stay in Yugoslavia and a six-month residence on the ship 'Uranus'. The book refers to the places Breslau, Posnan, Beuthen.	Unknown	Hebrew						Pinner Family	original	Memory Book by Mrs. Pinner	EgoDocument	ספר זכרונות|Memory Book		1242511|1250962	IL-MTFN-001-G-F-0141_0001_0076|IL-MTFN-001-G-F-0141	2	152	3554	2	8	142	0
IL-MTFN-001-G-F-0141-001-R0002	IL-MTFN-001-G-F-0141-001	"צילומים: מכתבים שכתבה אמה של חנה פינר;וינר מברסלאו ליוגוסלביה שם נמצאת הבת במסגרת קבוצת נוער בדרכה לפלסטינה. הקבוצה ""נתקעה"" ביוגוסלביה וארך זמן יע שיכולה להמשיך בדרכה לפלסטינה. במחנה בחוגוסלביה חוגגת הבת חנה את יום הולדתה ה-17 האוקטובר 1940; המכתבים 1940/1941 האם גרה אצל הדוד של חנה ועוזרת במשפחה. אביה של חנה עזב את גרמניה ב-1938 לאנגליה, אחרי שהיה עצור והוכרח לעזוב. המכתבים הם מכתבי אם הדואגת לבתה;"	"Fotos: Briefe, die die Mutter von Hanna Finner; Wiener aus Breslau nach Jugoslawien schrieb, wo sich die Tochter im Rahmen einer Jugendgruppe auf dem Weg nach Palästina befand. Die Gruppe ""steckte"" in Jugoslawien fest und es dauerte eine Weile, bis sie ihre Reise nach Palästina fortsetzen konnte. Im Lager in Jugoslawien feiert die Tochter Hanna ihren 17. Geburtstag im Oktober 1940; die Briefe 1940/1941. Die Mutter lebt bei Hannas Onkel und hilft der Familie. Hannas Vater verließ Deutschland 1938 nach England, nachdem er inhaftiert war und gezwungen wurde, das Land zu verlassen. Die Briefe sind Briefe einer Mutter, die sich um ihre Tochter sorgt."	"Photographs: Letters written by Hanna Finner's mother; Wiener from Breslau to Yugoslavia where the daughter is with a youth group on her way to Palestine. The group ""got stuck"" in Yugoslavia and it took some time before they could continue their journey to Palestine. In the camp in Yugoslavia, the daughter Hanna celebrates her 17th birthday in October 1940; the letters 1940/1941. The mother lives with Hanna's uncle and helps the family. Hanna's father left Germany in 1938 for England after being detained and forced to leave. The letters are letters from a mother concerned for her daughter."	Unknown	Hebrew	1940					חנה פינר	copy	Letters from Hanna Finner's Mother to Yugoslavia	EgoDocument	מכתב|Letter		1242511|1250962	IL-MTFN-001-G-F-0141_0001_0076|IL-MTFN-001-G-F-0141	2	152	3554	2	8	142	0
IL-MTFN-001-G-F-0141-001-R0003	IL-MTFN-001-G-F-0141-001	1942/1943 צילומי מכתבים קצרים ששעוברו באמצעות הצלב האדום. ההתכתבות היא מהדוד אל חנה ומחנה אל אמה. האם, האח וקרובי משפחה נוספים נלקחים באפריל 1942 ונספים בשואה	1942/1943 Fotografien von kurzen Briefen, die über das Rote Kreuz übermittelt wurden. Die Korrespondenz ist vom Onkel an Hanna und von Hanna an ihre Mutter. Die Mutter, der Bruder und weitere Verwandte werden im April 1942 deportiert und im Holocaust umgekommen.	1942/1943 Photographs of short letters transmitted via the Red Cross. The correspondence is from the uncle to Hanna and from Hanna to her mother. The mother, brother, and other relatives were taken in April 1942 and perished in the Holocaust.	Unknown	Hebrew	1942				photography		copy	Red Cross Correspondence Photographs 1942/1943	Communication Document	מכתב|Letter		1242511|1250962	IL-MTFN-001-G-F-0141_0001_0076|IL-MTFN-001-G-F-0141	2	152	3554	2	8	142	0
IL-MTFN-001-G-F-0142-002-R0001	IL-MTFN-001-G-F-0142-002	התעודה ארוזה בגליל מקרטון אדום; מאוחסנת בנפרד ועלי מספר ארכיוני.	Das Dokument ist in einem roten Kartonrohr verpackt; separat gelagert und mit einer Archivnummer versehen.	The certificate is packed in a red cardboard tube; stored separately and has an archival number.	Unknown	Unspecified							original	Certificate in Red Cardboard Tube	Certificate	תעודה|Certificate										
IL-MTFN-001-G-F-0143-001-R0001	IL-MTFN-001-G-F-0143-001	1912;1913 מכתבים אל ארנה כהו מאת בו דודה לודויג Ludwig (?) מהעיר דרסדן Dresden.	1912;1913 Briefe an Arna Kohn von ihrem Onkel Ludwig aus der Stadt Dresden.	1912;1913 Letters to Arna Kohn from her uncle Ludwig from the city of Dresden.	Unknown	German	1912			yes		Arna Kohn	original	Letters to Arna Kohn from Ludwig, 1912-1913	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0143-001-R0002	IL-MTFN-001-G-F-0143-001	1914 מכתב מאת ררטה גליקסמן אל ארנה.	1914 Brief von Rerta Gliksman an Arna.	1914 Letter from Rerta Gliksman to Arna.	Handwritten	Hebrew	1914			yes	handwriting	Rerta Gliksman	original	Letter from Rerta Gliksman to Arna, 1914	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0143-001-R0003	IL-MTFN-001-G-F-0143-001	1926, חיפה, מכתב אל ארנה והיינץ גליקסמן מבן דודו זיגפריד גליקסמן.	1926, Haifa, Brief an Arna und Heinz Gliksman von seinem Cousin Siegfried Gliksman.	1926, Haifa, Letter to Arna and Heinz Gliksman from his cousin Siegfried Gliksman.	Handwritten	Hebrew	1926			yes	handwriting	Siegfried Gliksman	original	Letter from Siegfried Gliksman to Arna and Heinz Gliksman	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0143-001-R0004	IL-MTFN-001-G-F-0143-001	1914 גלייטביץ, מכת מאת מטילדה כהו Mathilde Kohn אמה של ארנה אל היינץ גליקסמן.	1914 Gleiwitz, Brief von Mathilde Kohn, der Mutter von Erna, an Heinz Gliksman.	1914 Gleiwitz, letter from Mathilde Kohn, Erna's mother, to Heinz Gliksman.	Handwritten	Hebrew|German	1914			yes	handwriting	Mathilde Kohn	original	Letter from Mathilde Kohn to Heinz Gliksman, 1914	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0143-001-R0005	IL-MTFN-001-G-F-0143-001	1934 ירושליים מכתב וגלויות אל לוטה גליקסמן, בתם בתם של ארנה והיינץ.	1934 Jerusalem Brief und Postkarten an Lotte Gliksman, Tochter von Erna und Heinz.	1934 Jerusalem Letter and postcards to Lotte Gliksman, daughter of Erna and Heinz.	Unknown	Hebrew	1934					Lotte Gliksman	original	1934 Jerusalem Letter and Postcards to Lotte Gliksman	Communication Document	מכתב|Letter|גלויה|Postcard										
IL-MTFN-001-G-F-0143-002-R0001	IL-MTFN-001-G-F-0143-002	גלויות אל ארנה כהן מאת: אחיה ארנסט כהן; הדוד זיגפריד גליקסמן; ידיד ארנסט שילר Ernst Schüller; אביה לאופולד כהן Leopold Kohn בזמן שהיא הייתה תלמידה בברלין; ארוסה היינץ גליקסמן	Postkarten an Arna Cohen von: ihrem Bruder Ernst Cohen; Onkel Siegfried Gliksman; Freund Ernst Schüller; Vater Leopold Cohen, während sie in Berlin Schülerin war; Verlobter Heinz Gliksman	Postcards to Arna Cohen from: her brother Ernst Cohen; uncle Siegfried Gliksman; friend Ernst Schüller; father Leopold Cohen while she was a student in Berlin; fiancé Heinz Gliksman	Unknown	Hebrew|German						Arna Cohen	original	Postcards to Arna Cohen	Communication Document	גלויה|Postcard										
IL-MTFN-001-G-F-0143-003-R0001	IL-MTFN-001-G-F-0143-003	מכתבים מאת היינריך גליקסמן שלומד בברלין ומחכה שם לבחינות לעורך דין לארוסתו ארנה כהן שגרה ועובדת במלייביץ / שלזיה העלית. הם התחתנו כפי הנראה בחודש מאי 1914 בברסלאו Breslau; מכתבים מארנה כהן במלייביץ אל היינץ גליקסמן בברלין;	Briefe von Heinrich Gliksman, der in Berlin studiert und dort auf die Anwaltsprüfungen wartet, an seine Verlobte Erna Cohen, die in Malewitz / Oberschlesien lebt und arbeitet. Sie heirateten offenbar im Mai 1914 in Breslau; Briefe von Erna Cohen in Malewitz an Heinz Gliksman in Berlin.	Letters from Heinrich Gliksman, who is studying in Berlin and waiting there for the lawyer exams, to his fiancée Erna Cohen, who lives and works in Malewitz / Upper Silesia. They apparently married in May 1914 in Breslau; Letters from Erna Cohen in Malewitz to Heinz Gliksman in Berlin.	Unknown	Hebrew|German	1914-05						original	Letters between Heinrich Gliksman and Erna Cohen	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0143-004-R0001	IL-MTFN-001-G-F-0143-004	שני ספרי זכרונות של ארנה כהן; 1925;1928	Zwei Erinnerungsbücher von Arna Cohen; 1925; 1928	Two memory books of Arna Cohen; 1925; 1928	Unknown	Hebrew	1925					Arna Cohen	original	Memory Books of Arna Cohen	EgoDocument	ספר זכרונות|Memory Book										
IL-MTFN-001-G-F-0143-004-R0002	IL-MTFN-001-G-F-0143-004	ספר זכרונות של לוטה גליקסמן, בתה של ארנה כהן	Erinnerungsbuch von Lotte Gliksman, Tochter von Erna Cohen	Memory book of Lotte Gliksman, daughter of Erna Cohen	Unknown	Hebrew						Lotte Gliksman	original	Memory Book of Lotte Gliksman	EgoDocument	ספר זכרונות|Memory Book										
IL-MTFN-001-G-F-0143-004-R0003	IL-MTFN-001-G-F-0143-004	ספר שירים מאת גרהרד יעקובסון Gerhard Jakobsohn שירים מתקופות שונות של המחבר, יצאה לאור בתל אביב 1974	Gedichtbuch von Gerhard Jakobsohn, Gedichte aus verschiedenen Perioden des Autors, veröffentlicht in Tel Aviv 1974	Poetry book by Gerhard Jakobsohn, poems from different periods of the author, published in Tel Aviv 1974	Print	Hebrew|German		1974			print	Gerhard Jakobsohn	original	Poetry Book by Gerhard Jakobsohn	Creative Fiction	ספר|Book										
IL-MTFN-001-G-F-0143-004-R0004	IL-MTFN-001-G-F-0143-004	"חוברת ""שנות העשרים בארץ ישראל"" ספר תמונות ללא תמונות כתבה האדריכלית לוטה כהו Lotte Cohn לוטה כהן עלתה ארצה ב 1921 חיה 10 שנים בירושלים ועבדה ב""בנין הארץ"" סיפורים ומאמרים על החיים בארף בשנים האלה."	"Broschüre ""Die Zwanziger Jahre in Eretz Israel"" Bilderbuch ohne Bilder, geschrieben von der Architektin Lotte Cohn. Lotte Cohn kam 1921 nach Israel, lebte 10 Jahre in Jerusalem und arbeitete bei ""Binyan Haaretz"". Geschichten und Artikel über das Leben in diesen Jahren in Israel."	"Booklet ""The Twenties in the Land of Israel"" Picture book without pictures, written by the architect Lotte Cohn. Lotte Cohn immigrated to Israel in 1921, lived 10 years in Jerusalem, and worked at ""Binyan Haaretz"". Stories and articles about life in the country during those years."	Print	Hebrew					print	Lotte Cohn	original	Shnot HaEsrim BeEretz Yisrael	Creative Nonfiction	חוברת|Booklet										
