item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class	max_year
IL-MTFN-001-G-F-0047-026-R0004	IL-MTFN-001-G-F-0047-026	visit	Letters from Peter Frank to Otto and Leoni	Letters from Peter Frank to his uncle Otto and sister Leoni regarding financial claims from companies that acquired the family's property in the Third Reich at prices that did not match the property's value. From the letters, it can be understood that there are disagreements between the siblings and the uncle, who lives in the USA. End of 1948.	Briefe von Peter Frank an seinen Onkel Otto und seine Schwester Leoni über finanzielle Ansprüche gegenüber den Unternehmen, die das Familienvermögen im Dritten Reich zu unangemessenen Preisen erworben haben. Aus den Briefen geht hervor, dass es Meinungsverschiedenheiten zwischen den Geschwistern und dem Onkel, der in den USA lebt, gibt. Ende 1948.	"מכתבים של פטר פרנק אל דודו אוט ואחותו לאוני בנושא תביעות כספיות מהחברות שרכשו את רכוש המשפחה ברייך השלישי במחירים שלא הלמו את ערך הרכוש. מתוך המכתבים ניתן להבין שישנן חילוקי דעות בין האחים לבין הדוד, שחי בארה""ב. סוף 1948."	Hebrew|German	1948	Unknown	מכתב|Letter	Peter Frank	Communication Document	1948
IL-MTFN-001-G-F-0047-027-R0001	IL-MTFN-001-G-F-0047-027	correspondence	Correspondence between Leoni Frank-Landsberg and the Central Zionist Archive	Correspondence between Leoni Frank-Landsberg and the Central Zionist Archive; Dr. Alex Bein, Dr. I. Klausner, regarding the deposit of her letters and photos in the archive. German and Hebrew, 1950s and 1960s. In several letters written by Leoni to the archive, it can be inferred that she was dissatisfied with their handling and demanded the return of the deposit.	Korrespondenz zwischen Leoni Frank-Landsberg und dem Zentralen Zionistischen Archiv; Dr. Alex Bein, Dr. I. Klausner, über die Hinterlegung ihrer Briefe und Fotos im Archiv. Deutsch und Hebräisch, 1950er und 1960er Jahre. In mehreren Briefen, die Leoni an das Archiv schreibt, kann man schließen, dass sie mit deren Behandlung unzufrieden war und die Rückgabe der Hinterlegung forderte.	"התכתבות בין לאוני פרנק-לנדסברג והארכיון הציוני המרכזי; ד""ר אלכס ביין Dr. Alex Bein, ד""ר ישראל קלאוזנר Dr. I. Klausner, בנושא הפקדת המכתבים והתמונות שברשותה בארכיון. גרמנית ועברית, שנות ה-50 וה-60 למאה ה-20. במספר מכתבים, שכותבת לאוני אל הארכיון ניתן להסיק שלא היתה מרוצה מהטיפול שלהם ושדרשה את ההפקדה בחזרה."	German|Hebrew		Unknown	מכתב|Letter	Leoni Frank-Landsberg	Communication Document	1960
IL-MTFN-001-G-F-0047-027-R0006	IL-MTFN-001-G-F-0047-027	visit	Letters to Leoni from Dr. Ernst W. Kalimowsky	Two letters to Leoni from her lawyer, Dr. Ernst W. Kalimowsky, in which he informs her about his efforts to return to her what she deposited in the Zionist archive, as she requested back in 1959. Hebrew, 1973.	Zwei Briefe an Leoni von ihrem Anwalt, Dr. Ernst W. Kalimowsky, in denen er sie über seine Bemühungen informiert, ihr das zurückzugeben, was sie im zionistischen Archiv hinterlegt hat, wie sie bereits 1959 beantragt hatte. Hebräisch, 1973.	"שני מכתבים אל לאוני מאת עו""ד שלה, ד""ר ארנסט ו. קלימובסקי Dr. Ernst W. Kalimowsky בהם הוא מיידע אותה על מאמציו להחזיר לה את שהפקידה בארכיון הציוני, כפי שבקשה כבר בשנת 1959. עברית, 1973."	Hebrew	1973	Unknown	מכתב|Letter	Dr. Ernst W. Kalimowsky	Communication Document	1973
IL-MTFN-001-G-F-0047-027-R0007	IL-MTFN-001-G-F-0047-027	papers	Letter from Dr. Michael Heimann to Chava Pelz	Letter to Chava Pelz (daughter of Leoni and Alfred Landsberg) from Dr. Michael Heimann; Director of the Central Zionist Archives in Jerusalem, in which he asks the daughter to transfer the remaining materials from her parents' estate to the archive. Hebrew, 1982.	Brief an Chava Pelz (Tochter von Leoni und Alfred Landsberg) von Dr. Michael Heimann; Direktor des Zentralen Zionistischen Archivs in Jerusalem, in dem er die Tochter bittet, das restliche Material aus dem Nachlass ihrer Eltern an das Archiv zu übergeben. Hebräisch, 1982.	"מכתב אל חוה פלץ (בתם של לאוני ואלפרד לנדסברג) מאת ד""ר מיכאל היימן Dr. Michael Heimann; מנהל הארכיון הציוני המרכזי בירושלים, בו הוא מבקש מהבת להעביר לארכיון את יתר החומרים מעזבון הוריה. עברית, 1982."	Hebrew	1982	Typewritten	מכתב|Letter	Chava Pelz	Communication Document	1982
IL-MTFN-001-G-F-0047-029-R0011	IL-MTFN-001-G-F-0047-029	visit	Home Visits in Transit Camps in the 1950s	Home visits in the transit camps and exposure to the customs and habits of the immigrants in the 1950s of the 20th century.	Hausbesuche in den Übergangslagern und Einblicke in die Bräuche und Gewohnheiten der Einwanderer in den 1950er Jahren des 20. Jahrhunderts.	ביקורי בית במעברות והחשפות למנהגים והרגלים של העולים בשנות ה-50 למאה ה-20.	Hebrew		Unknown	Report		Report	1950
IL-MTFN-001-G-F-0047-037-R0006	IL-MTFN-001-G-F-0047-037	visit	Competition Announcement Form for Shmaryahu Levin House	Competition announcement form, distributed by the committee for the establishment of the Shmaryahu Levin House in Kfar Shmaryahu. The committee announces a competition among the plan submitters. The form details the competition conditions, the composition of the judges, the prize amount, and more. Rassco Company is the address for further information or proposals. Hebrew typewritten 1938.	Wettbewerbsankündigungsformular, herausgegeben vom Komitee zur Errichtung des Shmaryahu Levin Hauses in Kfar Shmaryahu. Das Komitee kündigt einen Wettbewerb unter den Einreichern der Pläne an. Das Formular enthält die Wettbewerbsbedingungen, die Zusammensetzung der Jury, die Höhe des Preises und mehr. Die Firma Rassco ist die Adresse für weitere Informationen oder Vorschläge. Hebräisch Maschinenschrift 1938.	טופס הכרזת התחרות, שמפיץ הועד להקמת בית שמריהו לוין בכפר שמריהו. הועד מכריז על תחרות בין מגישי התוכניות. בטופס מפורטים תנאי התחרות, הרכב השופטים, גובה הפרס, ועוד. חברת רסקו היא הכתובת לקבלת פרטים נוספים או הצעות. עברית הדפסה 1938.	Hebrew	1938	Typewritten	טופס|Form		Organization Papertrail	1938
IL-MTFN-001-G-F-0047-039-R0005	IL-MTFN-001-G-F-0047-039	correspondence	Correspondence between Leoni Landsberg and Various Individuals	Correspondence between Leoni Landsberg; Frank with various individuals regarding issues faced by her brother Kurt Frank and his fiancée staying in London. Among the correspondents is also Martin Rosenblüth, the brother of Pinchas Rosen. German, typewritten and handwritten, 1938.	Korrespondenz zwischen Leoni Landsberg; Frank mit verschiedenen Persönlichkeiten im Zusammenhang mit Problemen, die ihr Bruder Kurt Frank und seine Verlobte haben, die in London verweilen. Unter den Korrespondenten ist auch Martin Rosenblüth, der Bruder von Pinchas Rosen. Deutsch, Schreibmaschine und Handschrift, 1938.	התכתבות בין לאוני לנדסברג;פרנק עם אישים שונים בקשר עם בעיות שיש לאחיה קורט פרנק וארוסתו ששוהים בלונדון. בין המכותבים גם מרטין רוזנבליט Martin Rosenblüth, אחיו של פנחס רוזן. גרמנית, הדפסה וכתב יד, 1938.	German|Hebrew	1938	Unknown	מכתב|Letter	Leoni Landsberg	Communication Document	1938
IL-MTFN-001-G-F-0047-045-R0008	IL-MTFN-001-G-F-0047-045	visit	Postcard from Arthur Ruppin to the Landsberg couple	Postcard with greetings written by Arthur Ruppin to the Landsberg couple, from a trip in Baalbek, Lebanon. 1936.	Postkarte mit Gruß von Arthur Ruppin an das Ehepaar Landsberg, von einer Reise in Baalbek, Libanon. 1936.	"גלויה עם ד""ש שכתב ארתור רופין אל הזוג לנדסברג, מטיול בבעלבק, לבנון. 1936."	Hebrew	1936	Print	גלויה|Postcard	Arthur Ruppin	Communication Document	1936
IL-MTFN-001-G-F-0047-045-R0013	IL-MTFN-001-G-F-0047-045	visit	Letter from Ruppin to Leoni from 'Mariette Pascha'	A letter from Ruppin to Leoni from the ship 'Mariette Pascha', he regrets not reaching her before his departure with his daughter Carmela for recovery in Switzerland. German 1939.	Ein Brief von Ruppin an Leoni vom Schiff 'Mariette Pascha', er bedauert, dass er sie nicht vor seiner Abreise mit seiner Tochter Carmela zur Erholung in die Schweiz erreichen konnte. Deutsch 1939.	"מכתב של רופין אל לאוני מהאוניה ""Mariette Pascha"", הוא מצטער שלא השיג אותה לפני הפלגתו עם בתו כרמלה להבראה לשוייץ. גרמנית 1939."	German	1939	Unknown	מכתב|Letter		Communication Document	1939
IL-MTFN-001-G-F-0047-048-R0008	IL-MTFN-001-G-F-0047-048	visit	Letter from Eliza Marx to Peter and Leonie Frank	Letter to the brothers Peter and Leonie Frank in England (Leonie visiting her brother) from their aunt Eliza Marx; Alice Marx in the USA. German handwriting, 1953.	Brief an die Brüder Peter und Leonie Frank in England (Leonie besucht ihren Bruder) von ihrer Tante Eliza Marx; Alice Marx in den USA. Deutsch Handschrift, 1953.	"מכתב אל האחים פטר ולאוני פרנק באנגליה (לאוני מבקרת את אחיה) מאת דודתם אליזה מרקס; Alice Marx בארה""ב. גרמנית כתב יד, 1953."	German	1953	Handwritten	מכתב|Letter		Communication Document	1953
IL-MTFN-001-G-F-0047-048-R0011	IL-MTFN-001-G-F-0047-048	visit	Letter from Leoni to her daughter Ohe	Copy, letter from Leoni to her daughter Ohe. She addresses her and asks her to receive her father (Alfred) kindly and with understanding when he comes to visit her. Kfar Shmaryahu, German, typewritten, 1945.	Kopie, Brief von Leoni an ihre Tochter Ohe. Sie wendet sich an sie und bittet sie, ihren Vater (Alfred) freundlich und verständnisvoll zu empfangen, wenn er sie besuchen kommt. Kfar Shmaryahu, Deutsch, Maschinenschrift, 1945.	העתק, מכתב של לאוני אל בתה אוה. היא פונה אליה ומבקשת ממנה לקבל את אביה (אלפרד) יפה ובהבנה שיבוא אליה לביקור. כפר שמריהו, גרמנית הדפסה, 1945.	German	1945	Typewritten	מכתב|Letter		Communication Document	1945
IL-MTFN-001-G-F-0066-001-R0002	IL-MTFN-001-G-F-0066-001	visit	Articles by Dr. W. Preuss on Organization and Journey in Israel	"Articles written by Dr. W. Preuss on the topics ""Organization"" 1944 ""Journey in Israel 1914"" Motivation and Leadership"	"Artikel geschrieben von Dr. W. Preuss zu den Themen ""Organisation"" 1944 ""Reise in Israel 1914"" Motivation und Führung"	"כתבות שנכתבו ע""י ד""ר ו. פרויס בנושאים ""הסתדרות"" 1944 ""מסע בארץ ישראל 1914"" Motivation and Leadership"	Hebrew|German		Unknown	מאמר|Article	Dr. W. Preuss	Creative Nonfiction	1944
IL-MTFN-001-G-F-0070-032-R0001	IL-MTFN-001-G-F-0070-032	visit	Certificate for Prof. P. Ollendorff - Rothschild Prize 1973	1973 Certificate given to Prof. P. Ollendorff upon receiving the Rothschild Prize for his contribution to science.	1973 Zertifikat, das Prof. P. Ollendorff bei der Verleihung des Rothschild-Preises für seinen Beitrag zur Wissenschaft verliehen wurde.	1973 תעודה שנתנה לפרופ. פ. אולנדורף עם קבלת פרס רוטשילד על תרומתו למדע.	Hebrew	1973	Unknown	תעודה|Certificate	Prof. P. Ollendorff	Certificate	1973
IL-MTFN-001-G-F-0070-006-R0004	IL-MTFN-001-G-F-0070-006	diary	Diary on Jerusalem 1940-1944	Diary about Jerusalem 1940-1944	Tagebuch über Jerusalem 1940-1944	יומן על ירושלים 1940-1944	Hebrew	1940	Unknown	יומן|Diary		EgoDocument	1944
IL-MTFN-001-G-F-0084-001-R0003	IL-MTFN-001-G-F-0084-001	correspondence	Correspondence with the International Red Cross	Correspondence with the International Red Cross 1940-1942.	Korrespondenz mit dem Internationalen Roten Kreuz 1940-1942.	התכתבות עם הצלב האדום הבינלאומי 1940-1942.	Hebrew|Other	1940	Unknown	מכתב|Letter	International Red Cross	Communication Document	1942
IL-MTFN-001-G-F-0093-005-R0001	IL-MTFN-001-G-F-0093-005	correspondence	Correspondence between Hans Bernkopf and Fritz Rosenau	Letters in German from 1928-1935, some typewritten, from the correspondence between friends Hans Bernkopf; Germany and Fritz Rosenau; the letters contain material about the political-social situation in Germany, considerations on where to go, where to complete medical studies, immigration to Palestine and adaptation, philosophy, culture.	Briefe in deutscher Sprache von 1928-1935, teilweise mit Schreibmaschine, aus der Korrespondenz zwischen den Freunden Hans Bernkopf; Deutschland und Fritz Rosenau; die Briefe enthalten Material über die politische und soziale Lage in Deutschland, Überlegungen, wohin man gehen soll, wo man das Medizinstudium abschließen soll, Einwanderung nach Palästina und Anpassung, Philosophie, Kultur.	1928-1935 מכתבים בגרמנית, חלקם במכונת כתיבה, מהתכתבות בין החברים הנס ברנקופף Hans Bernkopf; גרמניה ופרנץ רוזנאו Fritz Rosenau; במכתבים יש חומר על המצב הפוליטי-חברתי בגרמניה, התלבטויות לאן לפנות, היכן ךסיים לימודי רפואה, עליה לפלסטינה וההתאקלמות, פילוסופיה, תרבות.	German	1928	Typewritten	מכתב|Letter	Hans Bernkopf|Fritz Rosenau	Communication Document	1935
IL-MTFN-001-G-F-0093-005-R0002	IL-MTFN-001-G-F-0093-005	correspondence	Correspondence with Parents in Germany, 1934	1934 correspondence with the parents who remained in Germany.	1934 Korrespondenz mit den Eltern, die in Deutschland geblieben sind.	1934 התכתבות עם ההורים שנשארו בגרמניה.	Hebrew|German	1934	Unknown	Letter		Communication Document	1934
IL-MTFN-001-G-F-0093-006-R0005	IL-MTFN-001-G-F-0093-006	visit	Notices to Dr. Hans Branko about Research Award	1935/6 Notices to Dr. Hans Branko regarding the receipt of the research award named after Dr. Oscar Hornik;	1935/6 Mitteilungen an Dr. Hans Branko über die Verleihung des Forschungspreises benannt nach Dr. Oscar Hornik;	"1935/6 הודעות לד""ר הנס ברנקועל קבלת פרס מחקר ע""ש ד""ר אוסקר הורניק;"	Hebrew|German	1935	Unknown	מכתב|Letter	Dr. Hans Branko	Communication Document	1935
IL-MTFN-001-G-F-0098-001-R0011	IL-MTFN-001-G-F-0098-001	visit	Notice of Departure from Palestine Office in Paris	Notice of Avat's departure from the Palestine Office in Paris, that her passport has arrived and is being transferred to the Paris police. French, typewritten, December 1946.	Mitteilung über die Abreise von Avat aus dem Palästina-Büro in Paris, dass ihr Pass angekommen ist und an die Pariser Polizei übergeben wird. Französisch, maschinengeschrieben, Dezember 1946.	הודעה לפרידה אבט ממשרד פלשתינה בפריז, שדרכונה הגיע והוא מועבר למשטרת פריז. צרפתית הדפסה, דצמבר 1946.	French	1946-12	Typewritten	מכתב|Letter		Communication Document	1946
IL-MTFN-001-G-F-0103-001-R0002	IL-MTFN-001-G-F-0103-001	diary,visit	Schlangenritual, Ein Reisebericht	1995 book in German written based on the travel diary of Aby Warburg to New Mexico in 1895, the title of the book is Schlangenritual, Ein Reisebericht;	1995 Buch auf Deutsch, basierend auf dem Reisetagebuch von Aby Warburg nach Neu-Mexiko im Jahr 1895, Titel des Buches Schlangenritual, Ein Reisebericht;	1995 ספר בגרמנית שנכתב עפי יומן נסיעה של אבי ורבורג ל Neu Mexico ב-1895 שם הספר Schlangenritual, Ein Reisebericht;	German|גרמנית	1895	Print	ספר|Book	Aby Warburg	Creative Nonfiction	1995
IL-MTFN-001-G-F-0103-001-R0009	IL-MTFN-001-G-F-0103-001	correspondence	Correspondence between Eva Warburg and Bernhard Gelbart	1939-1941, Vilnius, Kaunas, correspondence between Eva Warburg and Bernhard Gelbart, the letters were written in the pool of the Nazis, about the difficulties, about requests to Eva Warburg and about the thanks of the pioneers, German, the letters in handwriting printed by Miriam Poland;	1939-1941, Vilnius, Kaunas, Korrespondenz zwischen Eva Warburg und Bernhard Gelbart, die Briefe wurden im Pool der Nazis geschrieben, über die Schwierigkeiten, über Anfragen an Eva Warburg und über den Dank der Pioniere, Deutsch, die Briefe in Handschrift gedruckt von Miriam Polen;	1939-1941, וילנה, Kaunas, התכתבות בין אווה ורבורג לבין Eva Warburg ברנהרט גלברט Bernhard Gelbart, המכתבים נכתבו בבריכה מהנצים, על הקושי, על בקשות לאווה ורבורג ועל תודות של החלוצים, גרמנית, מהמכתבים בכתב יד מודפסים על ידי מרים פולין;	German|עברית	1939	Handwritten	מכתב|Letter	Eva Warburg	Communication Document	1941
IL-MTFN-001-G-F-0103-002-R0003	IL-MTFN-001-G-F-0103-002	diary	Charlotte Warburg's Diary Pages	Printing of Charlotte Warburg's diary pages; the work was done by Mrs. Miriam Polin (2002/2003)	Druck der Tagebuchseiten von Charlotte Warburg; die Arbeit wurde von Frau Miriam Polin durchgeführt (2002/2003)	"הדפסה דפי היומן של שרלוטה ורבורג; העבודה נעשתה ע""י גב. מרים פולין (2002/2003)"	Hebrew	2002-2003	Typewritten	יומן|Diary	Charlotte Warburg	EgoDocument	2003
IL-MTFN-001-G-F-0103-004-R0002	IL-MTFN-001-G-F-0103-004	memoir	Photo Album of Eva Warburg's Children	"1938-1935, photo album with ""the children"" of Eva Warburg in various summer activities, mainly trips to Kregme, Jersey, Hochhallee, Fanö. Miriam Polin added her memories of the photos in German."	"1938-1935, Fotoalbum mit ""den Kindern"" von Eva Warburg bei verschiedenen Sommeraktivitäten, hauptsächlich Ausflüge nach Kregme, Jersey, Hochhallee, Fanö. Miriam Polin fügte ihre Erinnerungen an die Fotos auf Deutsch hinzu."	"1938-1935, אלבום תמונות עם ""הילדים"" של אווה ורבורג בפעילויות קיץ שונות בעיקר טיולים ל Kregme, Jersey,Hochhallee, Fanö, מרים פולין הוסיפה את זכרונותיה של התמונות בגרמנית."	German|Hebrew	1935	Visual Element	תצלום|Photograph	Eva Warburg	Image	1938
IL-MTFN-001-G-F-0103-004-R0003	IL-MTFN-001-G-F-0103-004	memoir	Photo Album of Jewish Youth in Sweden, 1942	1942, photo album of Jewish youth in Sweden, Stockholm, who established a factory for wooden toys and decorative items. Miriam Polin recorded the names of the children from her memories and explained the picture. An article about the story was published in Haaretz on Holocaust Remembrance Day in 2017. It is also attached.	1942, Fotoalbum jüdischer Jugendlicher in Schweden, Stockholm, die eine Fabrik für Holzspielzeug und Dekorationsgegenstände gründeten. Miriam Polin schrieb aus ihren Erinnerungen die Namen der Kinder auf und erklärte das Bild. Über die Geschichte wurde am Holocaust-Gedenktag 2017 ein Artikel in Haaretz veröffentlicht. Auch dieser ist beigefügt.	1942, אלבום תמונות של נוער יהודי בשוודיה שטוקהולם שהקימו מפעל לצעצועי עץ ודברי נוי. מרים פולין רשמה מתוך זכרונותיה את שמות הילדים והסבירה את התמונה. על סיפור המעל יצאה כתבה בהארץ ביום השואה ב 2017. גם היא מצורפת.	Hebrew|עברית	1942	Unknown	תצלום|Photograph		Image	2017
IL-MTFN-001-G-F-0104-010-R0001	IL-MTFN-001-G-F-0104-010	correspondence	Correspondence between Moshe Kalwari and Gideon	Correspondence, translated into Hebrew and typewritten, between Moshe Kalwari and his son Gideon from the years 1926-1938.	Briefwechsel, ins Hebräische übersetzt und gedruckt, zwischen Moshe Kalwari und seinem Sohn Gideon aus den Jahren 1926-1938.	חליפת מכתבים, תורגמו לעברית והודפסו, בין משה קלוורי לבנו גדעון מהשנים 1926-1938.	Hebrew	1926	Typewritten	מכתב|Letter		Communication Document	1938
IL-MTFN-001-G-F-0104-010-R0002	IL-MTFN-001-G-F-0104-010	memoir	זכרונות גדעון קלוורי 1919-2004	Memories of Gideon Kalvari 1919-2004, Hebrew, typewritten.	Erinnerungen von Gideon Kalvari 1919-2004, Hebräisch, Maschinenschrift.	זכרונות גדעון קלוורי 1919-2004, עברית הדפסה.	Hebrew		Typewritten	רשימות|Personal Notes	גדעון קלוורי	EgoDocument	2004
IL-MTFN-001-G-F-0113-005-R0001	IL-MTFN-001-G-F-0113-005	diary	Dr. Fritz Wolf's Diary	Almost daily diary of Dr. Fritz Wolf Notes / Diary 1983;1985; 232 pages	Fast tägliches Tagebuch von Dr. Fritz Wolf Aufzeichnungen / Tagebuch 1983;1985; 232 Seiten	יומן כמעט יומי של דר' פריץ וולפ Aufzeichnungen / Tagebuch 1983;1985; 232 עמודים	German	1983	Unknown	יומן|Diary	Dr. Fritz Wolf	EgoDocument	1985
IL-MTFN-001-G-F-0113-006-R0001	IL-MTFN-001-G-F-0113-006	diary	Das letzte Tagebuch	The last diary, 1978, 61 pages.	Das letzte Tagebuch, 1978, 61 Seiten.	Das letzte Tagebuch, 1978, 61 עמודים.	German	1978	Unknown	יומן|Diary		EgoDocument	1978
IL-MTFN-001-G-F-0113-006-R0002	IL-MTFN-001-G-F-0113-006	diary	Unwritten Diary, 1991	Unwritten diary, 1991, 82 pages.	Ungeschriebenes Tagebuch, 1991, 82 Seiten.	Ungeschriebenes Tagebuch, 1991, 82 עמודים.	German	1991	Unknown	יומן|Diary		EgoDocument	1991
IL-MTFN-001-G-F-0113-0063 #2-R0001	IL-MTFN-001-G-F-0113-0063 #2	correspondence	Correspondence between Dr. P.W. and Sonja & Wilherm Krall	Correspondence between Dr. P.W. and Sonja & Wilherm Krall, Düsseldorf 1960;1970	Korrespondenz zwischen Dr. P.W. und Sonja & Wilherm Krall, Düsseldorf 1960;1970	"התכתבות בין ד""ר פ.ו. לבין Sonja & Wilherm Krall, מדיסלדורף 1960;1970"	Hebrew|German	1960	Unknown	מכתב|Letter		Communication Document	1970
IL-MTFN-001-G-F-0113-0063 #2-R0002	IL-MTFN-001-G-F-0113-0063 #2	correspondence	Correspondence between Dr. P.W. and Elsi von Kaltenborn	Correspondence between Dr. P.W. and Elsi von Kaltenborn from Garmischpartenkirchen, 1960;1970	Korrespondenz zwischen Dr. P.W. und Elsi von Kaltenborn aus Garmischpartenkirchen, 1960;1970	"התכתבות בין ד""ר פ.ו. לבית Elsi von Kaltenborn aus Garmischpartenkirchen, 1960;1970"	German	1960	Unknown	מכתב|Letter		Communication Document	1970
IL-MTFN-001-G-F-0113-007-R0002	IL-MTFN-001-G-F-0113-007	correspondence	Intimate Correspondence with Elisheva Cohen	1977;1979 Intimate correspondence with Elisheva Cohen from Nahariya	1977;1979 Intime Korrespondenz mit Elisheva Cohen aus Nahariya	1977;1979 התכתבות אינטימית עם אלישבע כהו מנהריה	Hebrew	1977	Unknown	מכתב|Letter	אלישבע כהו	Communication Document	1979
IL-MTFN-001-G-F-0113-012-R0001	IL-MTFN-001-G-F-0113-012	visit	Hoppla, אנחנו נוסעים לארץ הוויקיטים	Hoppla, we're going to Vikingland; Translation: Hoppla, we're going to Vikingland. Dr. Fritz Wolf writes a travel report to Norway and Germany and dedicates it to his fellow travelers. The trip was in a group with guides. The folder also contains a list of group members. 1989, 121 pages	Hoppla, wir fahren ins Wikingerland; Übersetzung: Hoppla, wir fahren ins Wikingerland. Dr. Fritz Wolf schreibt einen Reisebericht nach Norwegen und Deutschland und widmet ihn seinen Mitreisenden. Die Reise war in einer Gruppe mit Führern. In der Mappe befindet sich auch eine Liste der Gruppenmitglieder. 1989, 121 Seiten	"Hoppla wir fahren ins Wikingerland; תרגום: הופלה, אנחנו נוסעים לארץ הוויקיטים ד""ר פריץ וולף כותב דוח הנסיעות לנורבגיה וגרמניה ומקדיש אותו לחבריו בנסיעה. הנסיעה היתה בקבוצה עם מדריכים. בתיק גם רשימוה של חברי הקבוצה. 1989, 121 עמודים"	Hebrew|German	1989	Typewritten	דוח|Report|רשימה|List	Dr. Fritz Wolf	Report	1989
IL-MTFN-001-G-F-0113-015-R0002	IL-MTFN-001-G-F-0113-015	diary	Peas and Potato Peels Diary	Peas and Potato Peels; Translation: Peas and Potato Peels; the prose is structured as a diary; daily writing; 1993-1994, unnumbered pages, a total of 45 pages counted	Erbsen und Kartoffelschale; Übersetzung: Erbsen und Kartoffelschalen; die Prosa ist als Tagebuch strukturiert; tägliches Schreiben; 1993-1994, unnummerierte Seiten, insgesamt 45 Seiten gezählt	"Erbsen und Kartoffelschale ; תרגום: אפונה וקליפות תפוח אדמה; הפרוזה ערוכה כיומן; כתיבה יום-יומית; 1993-1994 עמודים לא ממוסםרים, נספרו סה""כ 45 עמודים"	Hebrew|German	1993-1994	Typewritten	יומן|Diary		EgoDocument	1994
IL-MTFN-001-G-F-0113-015-R0006	IL-MTFN-001-G-F-0113-015	diary	Thoughts and Events 1986	Thoughts and Events 1986; Translation: Thoughts and Events 1986 Biographical notes in diary form 1986, pages 104	Gedanken und Ereignisse 1986; Übersetzung: Gedanken und Ereignisse 1986 Biographische Notizen in Tagebuchform 1986, Seiten 104	Gedanken und Geschehnis 1986; תרגום: מחשבות ואירועים 1986 רשימות ביוגרפיה בצורת יומן 1986, עמודים 104	German|Hebrew	1986	Typewritten	רשימות|Personal Notes|יומן|Diary		EgoDocument	1986
IL-MTFN-001-G-F-0113-017-R0001	IL-MTFN-001-G-F-0113-017	diary	Excerpts from Alfred Wolf's Writings	The Lady Daughter; Excerpts from the thesis of Dr. Alfred Wolf; Excerpts from the war diary of Dr. Alfred Wolf; Alfred the brother of Fritz Wolf 1914;1918; Translation: The Lady Daughter. Dr. Fritz Wolf uses excerpts from his brother Alfred's writings from 1. the thesis 2. the war diary 1914-1918; The manuscript was written by Fritz in 1948 in Nahariya, 87 pages.	Das Fräulein Tochter; Auszüge aus der Diplomarbeit von Dr. Alfred Wolf; Auszüge aus dem Kriegstagebuch von Dr. Alfred Wolf; Alfred der Bruder von Fritz Wolf 1914;1918; Übersetzung: Die Dame Tochter. Dr. Fritz Wolf verwendet Auszüge aus den Schriften seines Bruders Alfred aus 1. der Diplomarbeit 2. dem Kriegstagebuch 1914-1918; Das Manuskript wurde 1948 von Fritz in Nahariya geschrieben, 87 Seiten.	"Das Fräulein Tochter ; Auszüge aus der Diplomarbeit von Dr. Alfred Wolf; Auszüge aus dem Kriegstagebuch von Dr. Alfred Wolf; Alfred der Bruder von Fritz Wolf 1914;1918; תרגום: הגברת בת. ד""ר פריץ וולף משתמש בקטעי כתיבה של אחיו אלפרד מתוך 1. עבודת הדיפלומה 2. יומן המלחמה 1914-1918; המנוסקריפט נכתב ע""י פריץ ב-1948 בנהריה, 87 עמודים."	Hebrew|German	1948	Unknown	Translated Document|Diary	Fritz Wolf	EgoDocument	1948
IL-MTFN-001-G-F-0113-027-R0001	IL-MTFN-001-G-F-0113-027	visit	Die Heimkehr; A play by Fritz Wolf	The Return Home; A play in four acts by Fritz Wolf; The piece is dedicated to Margot Klausner; Translation: The Return Home (And the sons shall return to their borders) a play in 4 acts by Fritz Wolf, bound, 67 pages 1938-1939 dedicated to Margot Klausner	Die Heimkehr; Spiel in vier Akten von Fritz Wolf; Das Stück ist Margot Klausner Gewidmet; Übersetzung: Die Heimkehr (Und die Söhne kehren heim) ein Stück in 4 Akten von Fritz Wolf, gebunden, 67 Seiten 1938-1939 gewidmet Margot Klausner	Die Heimkehr; Spiel in vier Akten von Fritz Wolf ; Das Stück ist Margot Klausner Gewidmet; תרגום: החזרה הביתה (ושבו בנים לגבולם) מחזה ב-4 מערכות מאת פריץ וולף, כרוך, 67 עמודים 1938-1939 מוקדש למרגוט קלאוזנר	German|עברית	1938-1939	Print	ספר|Book	Margot Klausner	Creative Fiction	1939
IL-MTFN-001-G-F-0113-041-R0016	IL-MTFN-001-G-F-0113-041	visit	Germany, a Winter Journey Lecture	Germany, a Winter Journey; Lecture for the Golden Age Club of Wizo Nahariya, Translation: Germany; Winter Journey. Lecture for the Golden Age Club of Wizo Nahariya	Deutschland, eine Winterreise; Vortrag für den Goldenen ;Age;Klub der Wizo Nahariya, Übersetzung: Deutschland; Winterreise. Vortrag für den Goldenen Club der Wizo Nahariya	15 עמודים, 1969 Deutschland, eine Winterreise; Vortrag für den Goldenen ;Age;Klub der Wizo Nahariya, תרגום: גרמניה; נסיעת חורף. הרצאה עבור מועדון גיל הזהב של ויצו נהריה	German|עברית	1969	Typewritten	הרצאה|Lecture		Communication Document	1969
