093$c סימול פרויקט (מעודכן)	issues, comments (by the AGSJI team)	adlib	Update (name, date)	351$c רמת תיאור	ParentId	245$a10 כותרת	German Summary (AI translation)	English Summary (AI translation)	תקציר מקור - חלק 1	תקציר מקור - חלק 2	260$c תאריך מנורמל	500$a הערה גלויה למשתמש - תפן	590$a הערה חסויה (לא גלויה למשתמש)	500$a מילות מפתח נושאים	500$a מספר עמודים	IE PID Delete, not for Alma	Cyra:
IL-MTFN-001-G-F-0343-001		255050545		sub-series	IL-MTFN-001-G-F-0343	Lavy Jaacov, לביא יעקב, חיבור באנגלית: About Jaacov and Alisa Lavy (Leo and Ilse Klein		Materials related to Yaakov and Alisa Lavi (Leo and Ilse Klein), including writings about their lives by their son Uri, family photos, and documentation of the name change from Leo Klein to Yaakov Lavi. The collection also includes information about the Hebrew-German and German-Hebrew dictionary edited by Yaakov Lavi, and their family connections to Dr. Harry Torczyner (Tor Sinai).  Note: This description was generated automatically using AI.	: About Jaacov and Alisa Lavy (Leo and Ilse Klein החומר נשלח בדוא"ל ע"י הבן, הבן אורי כתב על הוריו (3 עמ') וצרף מספר תמונות. האב, לאו קליין עיברת את שמו ליעקב לביא ב-1950 כאשר יצא במשלחת רשמית ללונדון. ישנה קרבה משפחתית לד"ר הרי טורטשינר (מאוחר יותר טור;סיני).; יעקב לביא ערך את המילון העברי;גרמני והגרמני;עברי. הוא הלך בדרכי טור;סיני.			החומר נשלח בדוא"ל; המשפחה מתועדת ביתר שאת במוזיאון של קרית ביאליק		נושא התיק על פי הקיטלוג בארכיון תפן: תולדות משפחה, מדעים *כתיבת מילון עברי-גרמני, גרמני-עברי	כרטיס 1 מתוך 1	7;IE49834798	
IL-MTFN-001-G-F-0344-001		255050548		sub-series	IL-MTFN-001-G-F-0344	Epstein Kurt, אפשטיין קורט, חוברת מודפסת / יומן	Das Tagebuch von Dr. Kurt Epstein, einem in Breslau geborenen Arzt, beschreibt seine Erlebnisse in England und Australien während des Zweiten Weltkriegs. Das Tagebuch wurde auf Deutsch verfasst und von seinem Sohn, Yoram Epstein, ins Hebräische übersetzt. Es enthält auch einige Fotos und dokumentiert seinen Aufenthalt in Internierungslagern, nachdem er mit Kriegsbeginn als Deutscher verhaftet wurde. Zentrale Themen sind das Dritte Reich, der Zweite Weltkrieg und die Internierungslager.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Diary of Dr. Kurt Epstein, a doctor born in Breslau, describing his experiences in England and Australia during World War II. The diary was written in German and translated into Hebrew by his son, Yoram Epstein. It also includes several photographs and documents his time in internment camps after being detained as a German at the outbreak of the war. Key topics include the Third Reich, World War II, and the internment camps.  Note: This description was automatically generated using AI.	הבן, יורם אפשטיין, תרגם מגרמנית לעברית את יומן אביו, שהיה בין הגולים לאוסטרליה., ד"ר קורט אפשטיין יליד ברסלאו, רופא, הגיע לאנגליה היה עצור במחנה בוכנוולד ב-1938 לאחר שחרורו, הגר ב-1939 לאנגליה. עם פרוץ מלח"ע II נעצר כגרמני ושהה במחנות עד לשליחתו על האוניה דונרה לאוסטרליה. הוא כתב יומן בגרמנית ל כל הקורות אותו באנגליה ואוסטרליה. בחוברת/יומן יש גם מספר תמונות, סה"כ 69 עמודים.					נושא התיק על פי הקיטלוג בארכיון תפן: הרייך השלישי, מלח"ע II, מחנות מעצר, פעילות תרבותית *במחנות	כרטיס 1 מתוך 1	70;IE49834972	
IL-MTFN-001-G-F-0345-001		255050549		sub-series	IL-MTFN-001-G-F-0345	Geva Josef, גבע יוסף, ביוגרפיה	Schriftliche Materialien und ein Porträt, die sich auf die Aktivitäten des Militärs Josef Geva beziehen.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Written materials and a portrait related to the activities of the military man Yosef Geva.     Note: This description was generated automatically using AI.	חמישה עמודים כתובים עברית על פעילותו של איש הצבא יוסף גבע + תמונת דיוקן (צוצגת בתערוכת המוזיאון).			התורמת שלחה את החומר שמתוכו נכתבה כתובית לצד התמונה - החומרהוצג בשולחן התצוגה "צבא".		נושא התיק על פי הקיטלוג בארכיון תפן: קורות חיים, צבא *בישראל	כרטיס 1 מתוך 1	9;IE49834818	
IL-MTFN-001-G-F-0346-001		255050550		sub-series	IL-MTFN-001-G-F-0346	Gadish Falk, גדיש פלק, צילומי מאמרים	Artikelkopien aus der Zeitung Der Stürmer, die Berichte über das Familienunternehmen der Eltern des Spenders enthalten.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Photographs of articles from the newspaper Der Stürmer, including reports on the donor's parents' family business.     Note: This description was automatically generated using AI.	צילומי מאמרים מהעיתון Der Stürmer בהם כתבות על העסק המשפחתי של הורי התורם			הנ"ל הפקיד 3 ספרים שנאספו מביתו	הסכם תרומה נחתם ב-04.04.2013	נושא התיק על פי הקיטלוג בארכיון תפן: הרייך השלישי, אנטישמיות	כרטיס 1 מתוך 1	10;IE49834814	
IL-MTFN-001-G-F-0347-001		255050551		sub-series	IL-MTFN-001-G-F-0347	Jakob Ruth, יעקב רות	Die Sammlung umfasst persönliche Dokumente und Familiendokumente von Ruth (Gertrud) Jakob, geborene Wechtel, ihrem Ehemann Hugo Chaim Jakob und ihrer Familie aus dem 20. Jahrhundert. Die Dokumente beinhalten Geburtsurkunden, Heiratsurkunden, Adressänderungsbescheinigungen, Impfnachweise und familiäre Registrierungsurkunden. Zusätzlich enthält die Sammlung Dokumente, die mit dem Familiengeschäft und geschäftlichen Transaktionen in Verbindung stehen.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes personal documents and family papers of Ruth (Gertrude) Jacob née Wechtel, her husband Hugo Chaim Jacob, and their family, from the 20th century. The documents include birth certificates, marriage certificates, address change confirmations, vaccination certificates, and family registration documents. Additionally, the collection contains documents related to the family business and business transactions.  Note: This description was automatically generated using AI.	רות (גרטרוד) יעקב לבית וכטל, בעלה הוגו חיים יעקב, מותיקי נהריה; שותפים במאפיית "זליג & יעקב". תעודת לידה של גרטרוד וכטל (רות יעקב) ילידת 1919, בצרבסט Zerbst. תעודת רישום ההולדת של גרטרוד וכטל במשרד של עירית צרבסט; תעודה רישום משפחתית מפלשתינה, חיפה, מרץ 1948, הורים (חיים ורות) & שני בנים (גד ויורם). לתעודה מצורפות תמונות של חיים ורות יעקב. תעודת נישואין, של חיים יעקב ורות לבית וכטל, חיפה, 1942. כתובה של רות יעקב לבית וכטל מאת חיים יעקב. אישור שינוי כתובת להוגו יעקב Hugo Jakob, יליד 1913,אופה, עוזב את גרבנאו Grabenau למייסן Meissen, 1934. אישור חיסון לגרטרוד וכטל, 1921, צרבסט Zerbst. אישור חיסון לגרטרוד וכטל, 1931, צרבסט Zerbst. תעודת לידה של זיגמונד וכטל Siegmund Wachtel בשנת 1879, בקלטננורדן Kaltennorden, טורינגן. האב, יעקב וכטל, היה סוחר בהמות. רישום עסקה, זיגמונד וכטל נרשם כמנהלה החדש של חברת/בית חרושת לצללאויד בצרבסט, 1911. צילום מוקטן של אישור לחייל / סטודנט, זיגפריד שפיר Siegfried Spier ,על על שרות צבאי ב-1915.				הסכם תרומה נחתם ב-02.05.2013	נושא התיק על פי הקיטלוג בארכיון תפן: תעודות אישיות	כרטיס 1 מתוך 1	41;IE49834958	
IL-MTFN-001-G-F-0348-001		255050552		sub-series	IL-MTFN-001-G-F-0348	Strauss Ludwig, שטראוס לודויג, תמונת דיוקן של המשורר	Ein Bild von Ludwig Strauss.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Image of Ludwig Strauss.     Note: This description was generated automatically using AI.	; תמונת דיוקן של לודויג שטראוס				הנ"ל הפקידה בספריית המוזיאון את כל כתבי בעלה, לודויג שטראוס - 5 כרכים. מוקמו במדור שירה 'S'		כרטיס 1 מתוך 1	3;IE49834807	
IL-MTFN-001-G-F-0349-001		255050554		sub-series	IL-MTFN-001-G-F-0349	Tachauer Alexander, טכאואר אלכסנדר, ספר "ספר הבריתות	Eine Sammlung, die das Tagebuch des Mohels Alexander Tkachauer aus Nirberg enthält, einschließlich Aufzeichnungen über die Termine der Beschneidungen, die Namen der Beschnittenen und ihre Wohnorte, die als Buch veröffentlicht wurde. Die Sammlung konzentriert sich auf Bräuche im Zusammenhang mit der Arbeit des Mohels.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	A collection containing the diary of the mohel Alexander Tkachauer from Nuremberg, including documentation of circumcision dates, names of those circumcised, and their places of residence, which was published as a book. The collection focuses on customs related to the work of the mohel.  Note: This description was automatically generated using AI.	פירסום יומנו של המוהל אלכסנדר טכאואר מנירברג כספר. המוהל כתב מספר שורות על "עבודתו" תוך ציון התאריך של המילה, שם הנימול, מקום מגוריו.			הספר הועבר מלשכתו של סטף ורטהיימר - היה מיועד עבורו.		נושא התיק על פי הקיטלוג בארכיון תפן: מנהגים	כרטיס 1 מתוך 1	130;IE49835407	
IL-MTFN-001-G-F-0350-001		255050555		sub-series	IL-MTFN-001-G-F-0350	Heymans Lion, היימנס ליאון	Die Sammlung umfasst eine Vielzahl von Dokumenten und Fotografien, die mit der Familie Heymans und der Familie Linz in Verbindung stehen. Unter den Gegenständen findet sich ein Brief von Leon Heymans an seine Verwandten in den USA aus dem Jahr 1938, Fotografien von Geburts- und Heiratsurkunden, eine Aktie der jüdischen Kolonialbank von Salomon Linz, Personalausweise und Familienfotos. Außerdem dokumentiert die Sammlung das Schicksal der Familie Heymans während des Holocaust, einschließlich des Grabsteins von Salomon und Martha Linz sowie Heiratsurkunden der Familienmitglieder aus dem 19. Jahrhundert. Die Sammlung konzentriert sich auf die Zeit des Dritten Reiches und enthält persönliche Dokumente und Bilder.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes a variety of documents and photographs related to the Heymans family and the Lynch family. Among the items, you can find a letter from Leon Heymans to his relatives in the USA from 1938, photographs of birth and marriage certificates, a stock certificate from the Jewish Colonial Bank of Solomon Lynch, identity cards, and family photos. Additionally, the collection documents the fate of the Heymans family during the Holocaust, including the gravestone of Solomon and Martha Lynch and marriage certificates of family members from the 19th century. The collection focuses on the period of the Third Reich and includes personal documents and photos.  Note: This description was automatically generated using AI.	; מכתב שליאון היימנס Lion Heymans כותב לקרובים בארה"ב ככל הנראה בשנת 1938 (קשה לקרוא את התאריך לכן נעזרתי בתורם והוא אישר את השנה). המכתב הוא מדווח שבגלל טעות של ידידה פקידה במשרד המכס הוא נאלץ לברוח מביתו ולהסתתר כי דווח לו שהשלטונות מחפשים אותו ורוצים לעצור אותו. מאוחר יותר הסתבר שזה היימנס אחר. שתי תמונות דיוקו של ליאון היימנס; תצלום מוקטן של תעודת הלידה של מרתה לינץ Martha Linz ב-1895 לימים מרתה היימנס. תצלום מוקטן של תעודת הנישואין של ליאון היימנס ומרתה לבית לינץ, 1918; מניה שנקנתה בסכום 1 לירה שטרלינג של הבנק היהודי הקולוניאלי Jewish Colonial Trust, רכושו של סלומון לינץ (אביה של מרתה), קלן משנת 1900. על המניה יש טקסט כתוב עברית תחת הכותרת: אוצר התישבות היהודים. תעודת זהות של סלומון לינץ, יליד 1864. תמונה של כל משפחת היימנס.חלק ממשפחת היימנס ניספו בשואה: ליאון ניספה במאוטהאוזן, מרתה באושוויץ, האחות הלגה בסוביבור. האחיות רוזל ואילזה הגיעו לשבי ציון ואלברט לחיפה. תמונת מצבת הקבר לסלומון ומרתה לינץ, קלן. אישור נישואין לסלומון ומרתה לינץ, 1890; צילום תעודת הנישואין האזרחים של סלומון ומרתה לינץ. תעודה/מסמך משנת 1830 עם טקסט ארוך במיוחד על הנישואין האזרחיים של אברהם לוי עם קרולינה וולף. המסמך הוצא אחרי שהזוג נישא נישואין יהודיים אצל רב.			החומר התקבל בסוף 2007, כל הרישומים + מכתב תודה נרשמו בינואר 2008.	הסכם תרומה חתום מרץ 2008.	נושא התיק על פי הקיטלוג בארכיון תפן: הרייך השלישי *מכתבו של ליאון היימנס לארה"ב, תעודות אישיות, תמונות	כרטיס 1 מתוך 1	40;IE49835093	
IL-MTFN-001-G-F-0351-001		255050561		sub-series	IL-MTFN-001-G-F-0351	Dan Kaete, דן קטה, מאמר מודפס, עברית & גרמנית	Artikel und Zusammenfassungen aus der Arbeit von Dr. Ines Sonder zur Biografie der Architektin Lotte Cohn, einschließlich einer Beschreibung der Aktivitäten von Kate Dan im Bereich des Hotelwesens in Palästina während der britischen Mandatszeit.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Articles and abstracts from the work of Dr. Ines Sonder regarding the biography of architect Lotte Cohen, including a description of Kate Dan's activities in the field of hospitality in the Land of Israel during the British Mandate period.     Note: This description was generated automatically using AI.	תקציר מתוך עבודתה של דר' אינס זונדר; Dr. Ines Sonder, ברלין, שכותבת את הביוגרפיה של האדריכליט לוטה כהן. אנגלית 7 עמודים, עברית 5 עמודים., המאמר מתייחס בעיקר לקטה דן, חלוצת ענף המלונאות בארץ. הנ"ל היתה "לקוחה" של האדריכלית לוטה כהן בעת, שבנתה את מלונה "קטה דן" על חוף תל אביב. המאמר מאיר את אישיותה ופעילותה של קטה דן על הרקע המדיני בפלשתינה בין השנים 1922;1947.					נושא התיק על פי הקיטלוג בארכיון תפן: כלכלה, פעילות תרבותית	כרטיס 1 מתוך 1	12;IE49834846	
IL-MTFN-001-G-F-0352-001		255050556		sub-series	IL-MTFN-001-G-F-0352	Marcus Max, מרכוס מקס, תעודות השכלה מקצועית, תעודות אישיות, תעודות נוטריוניות עסקיות, תעודות עיסוק ביבוא ממצאים ארכיולוגיים		The collection includes a variety of materials and documents related to Professor Max Marcus, a surgeon born in Germany. Among the items, one can find personal and professional certificates from different periods of his life, including educational certificates, confirmations of his work in Germany and Palestine, and legal and financial documents. The collection also contains letters and various correspondences, including letters requesting professional assistance and congratulatory letters. Additionally, the collection includes a printed manifesto in German that was distributed in the Land of Israel, as well as certificates of donations Marcus made to various institutions. The collection provides an in-depth picture of Marcus's professional and social activities over the years.  Note: This description was automatically generated using AI.	פרופסור מקס מרכוס יליד 1892 ב-Rees; מאחר והחומר הועבר ע"י "פלוני אלמוני" אין אפשרות לקבל מידע מעמיק ורחב על האיש מקס מרכוס. מידע מהאינטרנט: פרופ. דר' מקס מרכוס היה רופא ראשי כירורג בברלין. ב-1933 הוא סולק מתפקידיו בגלל יהדותו. היגר לפלשתינה והקים בי"ס לכירורגיה (?). דף מודפס מהאינטרנט עם פרטים מינימליים על הרופא מקס מרכוס. מנשר (2 זהים) בגרמנית שהודפס והופץ בפלשתינה, השנה לא ידועה, עליו מודפס צלב קרס אדום. המנשר פונה לקהל, תרגום: "הצילו את הוריכם, את אחיכם, את אחיותיכם ואת עצמכם! מי אשם בשקיעתו של העם היהודי? מי אשם בשקיעתה של היהדות? אלה האשמים: משה גולדמן נציג הקהילה היהודית בברלין". מפיץ המנשר מזדהה: "יושב ראש ארגון הסוחרים בתל אביב ובעלי O.B.G חיפה בע"מ המרכז בתל אביב פלשתינה". המנשר פורסם ב"יקינטון" במטרה לקבל הסברים. נכדתו של משה גולדמן כתבה בדוא"ל הסבר למנשר. ההסבר : משה גולדמן היה בעליו של א.ב.ג. והוא זה שעומד מאחורי הפצת המנשר; ראה הסבר מצוף למנשר. קבלה על תרומה שפרופסור מרכוס נתן למוסד זקנים בצפת ע"ס 2 לא"י בשנת 1933; תעודות מהאוניברסיטה של מינכן לסטודנט מקס מרכוס מהשנים 1921 & 1927; תעודת התאזרחות גרמנית (מחדש) למקס מרכוס, 1956. תעודות אישורים והערכות על עבודתו והשיגיו ברפואה הכירורגית בגרמניה, נכתבו ב-1929 ב-1930; רשיון לעסוק במקצוע הרפואה; משרד הבריאות 1950; אישור על לימודיו בבון ב-1912; הוצא ב-1938 עם חותמת הרייך השלישי; תשובה מלשכת שר הפנים של גרמניה, 1954, לבקשתו של מקס מרכוס לפיצוים ושילומים על הנזקים שנגרמו לו במשטר הנאצי. אישורים מממשלת קפריסין, מחלקת העתיקות על יצוא עתיקות מקפריסין בשנים 1942, 1944, 1946. תעודה נוטריונית על עיזבון שהיורש הנס קתר Hans Kaether מעביר למקס מרכוס, 1930. שטר חוב לדר' מקס מרכוס ע"ס 500 פאונד מאת חברת יבוא Efma; Import משנת 1938; רשימת הפירסומים המדעיים של דר' מקס מרכוס, תל אביב. תעודה נוטריונית: דר' מרכוס מצהיר בשבועה על השרות הצבאי שלו במלח"ע I, הגיזרות והתפקידים בהם שרת. התעודות המקוריות היו במזוודה שנגנבה ממנו בעת עלייתו לפלשתינה. תעודת הוקרה מ"אקים" על תרומה שפרופסור מרכוס העלה ב-1976. אישור משנת 1933 על מגורים בברלין; מחלקת משרד האוצר במואביד/ברלין מאשר שלדר' מקס מרכוס אין חובות והוא רשאי להגר. תעודה על שנת עבודה מעשית במחלקה שפנימית של ביה"ח העירוני מואביד, ברלין, 1922 והערכה לעבודתו שם.; הכתובה של מקס מרכוס לרעייתו לילי לבית ארנולד,משנת 1936; תעודת/טופס זהוי לדר' מרכוס, 1938, מהמנדט הבריטי. הודעה בנוגע להוצאת פסק דין לפועל משנת 1936 על חשבון חוב כספי. תעודה נוטריונית וטופס הוצאה לפועל לדר' מקס מרכוס על חלקה בעיר הולדתו Rees. פנקס הלימודים של דר', לימודי רפואה 1912;1920, הוצא ב-1938. לשכת הרופאים בברלין מאשרת שדר' מרכוס הצהיר שאינו עוסק ברפואה, 1933; מכתבי בקשה לעזרה שכותב דר' מרכוס אל עמיתיו הרופאים בהם הוא מבקש שיתמכו במועמדותו לתפקיד מנהל המחלקה הכירורגית בביה"ח בפרידריכהיין Friedrichhain, משנת 1932. מכתבי איחולים לדר' מרכוס לרגל סיום התמחותו לרופא כירורג, 1932. תעודות על עבודתו ותפקידיו של דר' מרכוס מהשנים 1930, 1939.			בתיק יש דו"ח תוכנה מודפס המפרט את תכולתו ; - העיזבון הועבר אל רותי אופק מארגון יוצאי מרכז אירופה - אין פרטים מזהים נוספים		נושא התיק על פי הקיטלוג בארכיון תפן: רפואה *תעודות ואישורים בנושא רפואה, פלשתינה *המנשר עם צלב הקרס שהופץ בארץ ישראל, הרייך השלישי *ראה לשכת הרופאים בברלין, מנהגים *כתובה, אישורי תרומה, משפט *תעודות נוטריוניות למיניהן, תעודות אישיות *תעודת התאזרחות	כרטיס 1 מתוך 3	153;IE49836128	
IL-MTFN-001-G-F-0352-002		255050557		sub-series	IL-MTFN-001-G-F-0352	Marcus Max, מרכוס מקס, מכתבים, אלבום תמונות ההפצצה על תל אביב		The collection includes a variety of materials describing the activities and dilemmas of Dr. Max Marcus regarding immigration to the Land of Israel in the 1930s and 1940s. The collection contains letters and telegrams written by Marcus on various subjects, including job offers in Tel Aviv and Cairo, correspondence with various individuals, and letters of thanks for medical treatment. Additionally, the collection includes documents related to training and immigration to the country, materials on the Betar organization, and documentation of the social and economic conditions of the immigrants. Also found in the collection is a photo album documenting the damage from bombings in Tel Aviv during the War of Independence.  Note: This description was automatically generated using AI.	מתוכן התיק ניתן להבין את ההתלבטויות הקשות שהיו לדר' מרכוס וחסר ההתלהבות להגר לארץ ישראל. גם כאשר החליט לקבל משרה בתל אביב לא היה משוכנע שהחליט נכון וחשב שאולי ההצעה בקהיר היתה טובה יותר. מכתב שכותב מקס מרכוס אל הקונסוליה הגרמנית ביפו, 1938, בקשר עם אובדן מזוודתו, מפרט את תכולתה. קורות חיים של מקס מרכוס (במספר עותקים); חוזר באנגלית שמופנה אל חברי בית"ר שרוצים לעלות לארץ ישראל. נכתב בתל אביב 1937. נטישת בית"ר את הציונות הממוסדת ומוסדות קרן קיימת לישראל ה; JNF, מעמידה לחברי בית"ר תנאים הקשורים בהכשרה טרם עלייתם לארץ ישראל (מקצת מהתוכן חוזר). שני מכתבים זהים שכותב דר' מקס מרכוס בגרמנית וצרפתית ב-1933 אל אברמינו מנשה Abramino Menasce מנהל בי"ח בקהיר. הוא מודה לנ"ל על הצעת העבודה בקהיר ומודיע לו שקיבל עבודה גם בתל אביב. למרות זאת הוא מרשה לעצמו לשקול את ההצעה במידה והנ"ל יהיה עדיין מעוניין. חיבור, 8 עמודים, עם הכותרת "שלום" Schalom שכתב דר' ולטר מוזס Walter Moses. כותב על הדרכים האפשריות לחיות בשלום בארץ ישראל לצד הנוצרים והערבים. אין תאריך. מכתב שתורגם לאנגלית, ככל הנראה מגרמנית, אותו כתב דר' ו. סנטור W. Senator, יו"ר מחלקת ההגירה של הסוכנות היהודית, אל דוד בן גוריון ב-1935. בין היתר הוא קובל על כך שניתנים אישורי כניסה לארץ ישראל למהגרים שאינם עומדים בתנאי ההכשרה שנקבעו, ישנן רמאויות בנידון. הקובלנה מתייחסת בעיקר למהגרים ממזרח אירופה, ליטא פולין וכדומה. שני מברקים ששולח מקס מרכוס אל דנציגר Danziger, ב-1934 מורשה ו;1937 מבולצנו (ככל הנראה דר' דנציגר). מברק מ-1933 מאת רוקח Rokach (ראש העיר תל אביב) אל דר' מרכוס כותב "בכעס" שיבוא מיד ... ככל הנראה מדובר בעבודה שמחכה לדר' מרכוס בתל אביב. (בהתכתבות עם הרופא מקהיר דר' מרכוס מודה שהצליח להרגיז גם אנשים בארץ ישראל כי לא עמד בתאריכים שנקבעו לתחילת עבודתו). מברק נוסף מ-1932 עם איחולים כל שהם מעו"ד קרון Krohn. מכתב בגרמנית שכותב דר' מרכוס מברלין אל אליס Alice. הוא כותב על התלבטויותיו בין תל אביב וקהיר ומודה שנתן עדיפות לתל אביב כי הבטיחו לבנות עבורו בי"ח עם 100 מיטות, מחלקה כירורגית ושהוא ינהל את ביה"ח, מ-1933. מכתב בגרמנית מאת רוקח, ראש עיריית תל אביב אל דר' מרכוס; הוא קורא לו להפגש איתו באותו יום, ללא תאריך. מכתב בגרמנית אל דר' מרכוס מאת פריץ ורשבסקי Fritz Warschawski. הנ"ל מבקש תרומה חד פעמית למחלקה הסוציאלית של "בית ישראל" עבור עולים נצרכים, 1941. מכתב תודה בגרמנית אל דר' מרכוס מאת גמה כהן;וינר Gamma Cohn;Wiener על הטיפול המסור ".... על ששחררת את ראשי ונשמתי מהלחץ הפיזי והפסיכי...." היא כותבת בין היתר. המכתב התלווה אל כלי מצרי עתיק שהנ"ל נתנה לרופא כמתנה. המכתב הודפס בשפת המקור ע"י נילי דוידסון, מצורף. מכתב תודה בעברית אל דר' מרכוס מאת חיה ריזקין, על שהמליץ עליה לבית הספר לאחיות, 1941. שלוש מעטפות ריקות מבוילות בבולי גרמניה ופלשתינה; מסמכים וחשבונות בנקאיים. תמונה/צילום מצבת הקבר של ארנולד דנציגר. מכתב בגרמנית אל ש. שכטר S.Schächter, תל אביב מאת (לא ניתן לזהות חתימה). המכתב כתוב על נייר רשמי של חברה בשם EFMA ככל הנראה חברה פיננסית, 1936. הכותב מחזק את ידי הנמען שהיגר לפלשתינה כי במקומו הקודם קשה להרויח כסף במצב שנוצר. מכתב אל ש. שכטר S. Schächter, שנמצא בפלשתינה מאת (חתימה לא מזוהה) עובד של החברה הפיננסית EFMA, שנת 1936. בין היתר הכותב מחזק את החלטתו של שכטר להגר לפלשתינה כי בגרמניה מצב חוסר עבודה חמור. אלבום עם תמונות: בנינים הרוסים בתל אביב, פצועים ברחובות, בביה"ח; בעקבות ההפצצות של המטוסים המצרים ב-15.05.1948. אלבום, שקיבל דר' מרכוס כמחווה תודה מאחד החולים שלו, ברק שפינר;הרפורד. באלבום 4 תמונות דיוקן של דר' מרכוס ותמונת כלב, ככל הנראה כלבו של דר' מרכוס.			העיזבון הועבר אל רותי אופק מארגון יוצאי מרכז אירופה - אין פרטים מזהים נוספים		נושא התיק על פי הקיטלוג בארכיון תפן: ציונות, התיישבות, ההכשרה, הגירה, אירגונים *בית"ר, שירה *שיר גוסטב קרויאנקר, קורות חיים, מנהגים *מכתבי תודה ומתן תשורה, עזרה הדדית *בקשה לתרומה, צפת, מלחמןת ישראל *אלבום תמונות, ההרס בתל אביב, מלחמת השחרור	כרטיס 2 מתוך 3	183;IE49836817	
IL-MTFN-001-G-F-0352-003		255050558		sub-series	IL-MTFN-001-G-F-0352	Marcus Max, מרכוס מקס, תמונות, מאמרים	Diese Sammlung enthält eine Vielzahl von Bildern und Dokumenten, die mit Dr. Marcus in Verbindung stehen, darunter Bilder aus verschiedenen Epochen und offiziellen festlichen Anlässen, bei denen er mit Politikern, Militärs und Diplomaten abgebildet ist. Außerdem gibt es Bilder von Vernichtungslagern, zerstörten Häusern, Kindern in Schuluniformen, Soldaten aus dem Ersten Weltkrieg und Dr. Marcus in der Uniform einer Studentenorganisation. Darüber hinaus umfasst die Sammlung zwei Bilder des Malers Reuven Rubin und Aufnahmen von Artikeln in Deutsch und Hebräisch aus den 1940er und 1970er Jahren mit Bezug auf Prof. Marcus.  Hinweis: Diese Beschreibung wurde automatisch mit Hilfe von KI übersetzt.	This collection contains a variety of images and documents related to Dr. Marcus, including photographs from different periods and official festive events where he is pictured with politicians, military personnel, and diplomats. Additionally, there are images from extermination camps, destroyed homes, children in school uniforms, soldiers from World War I, and Dr. Marcus in student organization uniforms. Furthermore, the collection includes two pictures of the painter Reuven Rubin and photographs of articles in German and Hebrew from the 1940s and 1970s referencing Prof. Marcus.  Note: This description was automatically generated using AI.	תמונות מתקופות שונות ללא תיעוד על גב התמונה. תמונות מאירועים חגיגיים רשמיים. דר' מרכוס מצולם בחברתם של פוליטיקאים, שרים, אנשי צבא, דיפלומטים (?) ושחקנים. תמונות ממחנות השמדה, בתים הרוסים בערים כלשהן. תמונת ילדים במדי בי"ס (גרמניה?), 2 תמונות של חיילים, מלח"ע I, תמונה של דר' מרכוס במדי אירגון סטודנטים כלשהו. שתי תמונות של הצייר ראובן רובין. תמונות נוספות של דר' מרכוס, בתים ועוד. צילומי מאמרים, בגרמנית ועברית, משנות ה-40, ה;70 למאה ה;20 עם התייחסות לפרופ' מרכוס.			העיזבון הועבר אל רותי אופק מארגון יוצאי מרכז אירופה - אין פרטים מזהים נוספים			כרטיס 3 מתוך 3	231;IE49838190	
IL-MTFN-001-G-F-0353-001	duplicate	255050832		sub-series	IL-MTFN-001-G-F-0353	Struck Hermann, שטרוק הרמן											
